Year	No of sighting in Rural	No of sighting in Urban
2003	218	175
2010	139	97
2005	278	119
1994	8	0
1991	5	0
1993	4	1
1992	12	14
1995	54	3
1997	114	3
1996	10	1
1999	166	83
2002	158	79
2000	320	97
2001	187	91
2006	253	143
2007	182	180
2004	427	155
1998	209	44
2008	162	192
2009	307	51
