,Date,Location,Shape,Duration,Population,Count
887,1970-07-26," Cottonwood (30 min.west of Sedona), AZ", cylinder,1hr. 15 min.,226.0,2
18877,1970-08-01," Everton, MO", light,1 hour,319.0,2
40042,1970-08-15," Newport, RI", rectangle,several minutes,24672.0,2
40432,1970-08-20," Spring City, TN", fireball,Approx 1 minute,1981.0,1
22180,1970-08-22," Sebastian, FL", unknown,5 minutes,21929.0,1
40000,1970-08-24," Toms River, NJ", sphere,Ten Minutes,88791.0,1
13049,1970-08-26," Brady, TX", circle,1 1/2 hrs,5528.0,2
33270,1970-09-01," Los Angeles, CA", disk,2 minutes,3792621.0,1
16942,1970-09-10," San Angelo, TX", light,20 seconds,93200.0,1
31840,1970-09-20," Russellton, PA", triangle,10 Minutes,1440.0,1
32359,1970-09-21," Quincy, IL", unknown,3 hours,40633.0,1
29222,1970-09-22," Homestead, FL", light,5 MINUTES,60512.0,1
27146,1970-10-01," Bentonville, AR", other,about 4 hours,35301.0,2
32067,1970-10-10," Manchester, KY", unknown,3 minutes,1255.0,2
38718,1970-10-15," San Diego/Pacific Beach, CA", light,1 minute,1307402.0,2
2816,1970-10-29," Lindenhurst, NY", sphere,10 seconds,27253.0,1
20801,1970-11-05," Beardstown, IL", light,4 min.,6123.0,1
17625,1970-11-07," Franklin, TN", sphere,5 minutes,62487.0,1
23707,1970-11-15," Somerville, NJ", disk,three hours,12098.0,2
21933,1970-12-05," Albuquerque, NM", other,a few min,545852.0,1
22170,1971-02-01," Gorham, NH", light,5 minutes,1600.0,2
27143,1971-02-05," Havensville, KS", circle,20 minutes,133.0,2
39772,1971-02-15," Savannah, GA", circle,20 minutes,136286.0,2
30118,1971-03-03," Los Angeles, CA", other,2 minutes,3792621.0,1
16096,1971-04-01," Boulder Creek, CA", cigar,20min,4923.0,1
12319,1971-04-03," Santa Rosa, CA", light,30 Minutes,167815.0,1
34949,1971-04-05," Orlando, FL", disk,2 Minutes,238300.0,2
40163,1971-04-06," Osceola, IA", disk,16 minutes,4929.0,1
10911,1971-04-14," Dennis, MA", unknown,10 seconds,2407.0,1
29327,1971-04-15," Thomasville, GA", disk,15 minutes,18413.0,2
7861,1971-05-01," Cherokee, AL", light,20 mins,1048.0,2
3761,1971-05-05," Molson, WA", circle,2 sec,,1
26145,1971-05-20," Irmo, SC", circle,"10,seconds",11097.0,1
16967,1971-05-21," Kennett Square, PA", disk,20 minutes,6072.0,1
29083,1971-06-01," Holliday, TX", disk,2 to 4 hours,1758.0,7
14808,1971-06-06," Victorville, CA", light,30 minutes,115903.0,1
29827,1971-06-10," Goodman, MO", disk,3-5 minutes,1248.0,4
25046,1971-06-14," Broken Bow, OK", triangle,3 minutes,4120.0,1
29912,1971-06-15," Brockton, MA", disk,one hour,93810.0,5
36816,1971-06-30," Ashland, VA", disk,driving,7225.0,2
20539,1971-07-01," Morgantown-Martinsville area, IN", other,1 minute,986.0,1
19864,1971-07-04," Liberal, KS", cigar,15-20 minutes,20525.0,2
21385,1971-07-10," St. Cloud, MN", light,15seconds,65842.0,2
26231,1971-07-14," Danese, WV", unknown,5 minutes,,1
29849,1971-07-15," Steelville, MO", light,5 minutes,1642.0,3
22357,1971-07-17," Wauwatosa, WI", disk,10 mins,46396.0,1
25438,1971-07-20," New Goshen, IN", diamond,1 to 2 min,390.0,3
17579,1971-07-22," Tucson, AZ", teardrop,1 minute,520116.0,1
30167,1971-07-25," Allentown, PA", light,3 minutes approx.,118032.0,2
