,Date,Location,Shape,Duration,Population,Count
5133,1987-09-16," Spokane, WA", disk,3-4 min,208916.0,1
14876,1987-09-18," Lima, OH", rectangle,5-8mins.,38771.0,1
9973,1987-09-20," Santa Fe, NM", unknown,15 minutes,67947.0,1
17606,1987-09-25," Alvarado, TX", light,10 min,3785.0,1
35137,1987-10-01," Roseburg (7 miles northwest of), OR", oval,30 mins.,21181.0,3
21620,1987-10-08," Wytheville, VA", light,8-12 minutes,8211.0,1
30529,1987-10-15," Bolingbrook, IL", triangle,5 minutes,73366.0,7
17963,1987-10-26," Fort Wayne, IN", unknown,8 minutes,253691.0,1
17132,1987-10-28," Las Cruces, NM", changing,30 minutes,97618.0,1
1795,1987-10-29," Kerens, TX", circle,1 second,1573.0,1
20522,1987-11-01," Daytona Beach, FL", cylinder,1min,61005.0,2
35861,1987-11-15," St. Petersburg, FL", rectangle,2-3 min,244769.0,4
20541,1987-11-17," Anchorage, AK", light,3 min,291826.0,1
9052,1987-11-20," Uvalde, TX", circle,ABOUT 3 SECONDS,15751.0,1
25987,1987-11-23," Knoxville, TN", chevron,20min,178874.0,2
23783,1987-11-26," Tehachapi, CA", unknown,8 minutes,14414.0,1
20428,1987-11-27," El Paso, TX", oval,30 seconds,649121.0,1
4391,1987-12-12," Lake Ozark, MO", cigar,10 minutes,1586.0,1
32102,1987-12-20," Tampa/Miami (on highway between), FL", unknown,15 minutes?,335709.0,2
10492,1987-12-23," Ocala, FL", triangle,two minutes,56315.0,1
32713,1988-01-01," Kenner, LA", circle,20 minutes,66702.0,2
12021,1988-01-09," Ellington, CT", triangle,3 min,,1
35114,1988-01-12," Cambridge, MA", oval,15 seconds,105162.0,1
14731,1988-01-15," Vandalia, MO", triangle,10 minutes,3899.0,2
32579,1988-01-18," Stonewall, OK", light,5-7 minutes,470.0,1
1602,1988-01-25," Duluth, MN", triangle,unknown,86265.0,1
25297,1988-02-05," Houma, LA", disk,30 min.,33727.0,1
24224,1988-02-08," Brooklyn Park, MN", cylinder,3 min,75781.0,1
28419,1988-02-15," Huntsville, AL", other,45 minutes,180105.0,1
411,1988-02-25," Brandon, FL", light,5mins,103483.0,1
2866,1988-03-05," New Brighton, PA", changing,17:30,6025.0,1
24527,1988-03-08," Powhatan, VA", triangle,12 sec.,,1
26970,1988-03-15," Wataga (near), IL", disk,5MIN.,843.0,4
4500,1988-03-17," Pleasantville, NY", egg,20 minutes,7019.0,2
20353,1988-04-04," Brunswick, ME", unknown,10 secs,15175.0,2
19935,1988-04-12," Pleasant Hill, MO", disk,5 min,8113.0,1
10186,1988-04-15," Bremerton, WA", disk,~ 20 seconds,37729.0,2
10661,1988-04-26," Dallas, TX", light,1 to 2 minutes,1197816.0,1
29425,1988-04-30," McNeill, MS", cigar,15 minutes,,1
6984,1988-05-01," Cleveland, OH", circle,2-3MIN,396815.0,1
36847,1988-05-05," Virginia Beach, VA", unknown,2 Minutes,437994.0,1
41020,1988-05-15," Allison Park, PA", sphere,2 minutes,21552.0,2
16799,1988-05-17," Chicago, IL", chevron,15 minutes,2695598.0,1
41064,1988-05-20," Wheeler, TX", light,5 minutes,1592.0,1
42348,1988-06-01," Ironton, OH", unknown,5minutes,11129.0,11
36075,1988-06-10," Pensacola, FL", light,1 minute,51923.0,5
32640,1988-06-14," Carrollton, TX", cross,4 minutes,119097.0,1
32690,1988-06-15," Budd Lake, NJ", triangle,1 hour,8968.0,6
25193,1988-06-20," Woburn, MA", light,12 minutes,38120.0,2
4678,1988-06-26," Napa, CA", chevron,5 seconds,76915.0,1
30267,1988-06-30," Louisville, KY", circle,3 minutes,597337.0,1
38713,1988-07-01," Show Low, AZ", unknown,1 min,10660.0,7
35865,1988-07-04," Morganton, NC", sphere,30 sec,16918.0,2
31440,1988-07-07," Denton, TX", rectangle,10-May,113383.0,1
30223,1988-07-10," Monroe, WA", other,5 min,17304.0,1
21004,1988-07-14," Fort Wayne, IN", oval,10 minutes,253691.0,1
33132,1988-07-15," Corona, NM", cross,4 min,172.0,4
32314,1988-07-16," Malibu, CA", other,&gt;15 Min,12645.0,2
31478,1988-07-19," Houston, TX", oval,5 minutes,2099451.0,1
10360,1988-07-20," Fairfax, VA", disk,3-4 minutes,22565.0,1
13902,1988-07-26," Cape Canaveral, FL", rectangle,5 min.,9912.0,1
35330,1988-08-01," Danbury, CT", circle,45 minutes,80893.0,7
15125,1988-08-02," Clinton, MS", circle,5 minutes,25216.0,1
9920,1988-08-05," Posen, MI", fireball,23:00,234.0,1
12888,1988-08-07," Basking Ridge (near), NJ", chevron,30 seconds,,1
41580,1988-08-08," Plymouth, OH", triangle,15 mins,1857.0,3
17477,1988-08-10," Jamesville, NY", light,30 seconds,,4
19545,1988-08-12," Union, SC", disk,10 minutes,8393.0,1
40928,1988-08-15," West Milford (Upper Greenwood Lake), NJ", light,7 min,,5
27145,1988-08-20," Farmington, NM", unknown,8 minutes,45877.0,4
34012,1988-09-01," Vaughn, NM", unknown,uncertain,446.0,3
7204,1988-09-12," Oakvale, WV", cylinder,seconds,121.0,1
5483,1988-09-15," Darlington, LA", unknown,15 min,,1
17391,1988-09-20," Mansfield (outside of), OH", sphere,15-20minutes,47821.0,2
28459,1988-09-21," Detroit, MI", oval,1 minute,713777.0,1
24227,1988-09-28," Monroe, WI", circle,15 Seconds,10827.0,1
8616,1988-10-02," Fishkill, NY", formation,10 minutes,2171.0,1
36271,1988-10-10," New Gloucester, ME", unknown,few minutes,,4
23491,1988-10-15," Pilot Knob, MO", cigar,about 15 minutes,746.0,7
35554,1988-10-16," Philadelphia, PA", oval,1 hour,1526006.0,1
21188,1988-10-17," Charlotte, MI", triangle,10 min,9074.0,1
6480,1988-10-20," Spokane, WA", changing,15-20 minutes,208916.0,1
31241,1988-10-22," Green River, UT", cone,11 minutes,952.0,1
12115,1988-10-25," Miami, FL", light,1 minute,399457.0,1
10581,1988-10-30," Collinsville/Granite City, IL", light,20 Minutes,25579.0,1
5135,1988-10-31," Tacoma, WA", disk,45 seconds,198397.0,1
9073,1988-11-01," Clackamas, OR", cylinder,45 seconds,,1
13257,1988-11-14," Sweetwater, TX", changing,30 min,10906.0,1
41746,1988-11-15," Dexter, NY", disk,1 minute-2mins,1052.0,4
21341,1988-11-19," Tecumseh, OK", other,25 minutes,6457.0,4
33088,1988-11-27," Alamogordo, NM", light,15-20 minutes,30403.0,2
1820,1988-12-01," Fort Lauderdale, FL", circle,1.5minutes,165521.0,1
2454,1988-12-02," Hilo, HI", light,2 - 3 Hours,43263.0,1
2150,1988-12-14," Ohio City, OH", disk,10 min,705.0,1
4380,1988-12-15," Liberty, NC", triangle,1 minute,2656.0,1
1143,1988-12-22," Santa Rosa (23 km. south of), CA", changing,2 hours,167815.0,1
14575,1988-12-23," Ovid, MI", formation,aprox 6 mins,1603.0,1
631,1989-01-01," Wagoner, OK", light,1-2 mins,8323.0,2
26146,1989-01-05," Philadelphia, PA", cigar,10 minutes,1526006.0,1
14980,1989-01-07," Fort Collins (north of), CO", light,20 minutes,143986.0,1
15618,1989-01-10," San Diego, CA", light,0:15,1307402.0,1
14968,1989-01-17," Laramie, WY", other,15 minutes,30816.0,1
14978,1989-01-19," Laramie, WY", disk,10 minutes,30816.0,1
28299,1989-01-20," Bourbonnais, IL", other,3 min,18631.0,1
16128,1989-01-29," Montgomery, IL", unknown,3-5seconds,18438.0,1
40533,1989-02-01," Waldorf, MD", oval,1 hour,67752.0,1
2935,1989-02-10," Mont Alto, PA", oval,2 minutes,1705.0,1
16399,1989-02-11," Chicago, IL", other,2 hours and 15 minutes,2695598.0,1
24618,1989-02-12," Kenosha, WI", other,10 minutes,99218.0,1
2118,1989-02-15," Savannah, GA", other,one minute?,136286.0,1
7615,1989-03-01," Yakima, WA", unknown,4Min,91067.0,2
12204,1989-03-06," New Lenox, IL", egg,3 days,24394.0,1
2951,1989-03-12," Houston, TX", sphere,15 seconds,2099451.0,1
41332,1989-03-15," Tulsa, OK", rectangle,3 to 5 minutes,391906.0,2
8632,1989-04-01," Grand Junction, CO", changing,30 min,58566.0,1
7257,1989-04-15," Idaho Falls, ID", rectangle,10 minites,56813.0,1
37730,1989-04-16," Mentone, CA", other,4 min.,8720.0,1
5165,1989-04-23," Port Townsend (10 nm so.), WA", cigar,4-5 minutes,9113.0,1
25068,1989-05-01," Tuttle, OK", formation,all night,6019.0,4
14388,1989-05-05," Sedona, AZ", other,1 minute,10031.0,1
2523,1989-05-07," Talladega (Super Speedway), AL", rectangle,1 minute,15676.0,1
21889,1989-05-10," Tucson, AZ", other,20 minutes,520116.0,1
22039,1989-05-12," Wichita Falls, TX", oval,1-1/2 Minute,104553.0,2
27727,1989-05-15," Manassas, VA", triangle,7-10 seconds,37821.0,6
16478,1989-05-19," Quitman, MS", circle,1 hour,2323.0,1
16918,1989-05-30," Baker City, OR", unknown,10 - 15 minutes?,9828.0,1
39809,1989-06-01," Mansfield, OH", other,1-2 minutes,47821.0,14
8342,1989-06-02," Macon, GA", circle,a few minutes,153691.0,1
15262,1989-06-07," Hooverson Heights, WV", other,1 minute,2590.0,1
14239,1989-06-11," Sacramento, CA", other,3 minutes,466488.0,1
38064,1989-06-12," Port Isabel, TX", disk,10mins,5006.0,1
14173,1989-06-15," Pensacola, FL", unknown,15 minutes,51923.0,7
21079,1989-06-20," Severna Park, MD", unknown,2 hours,37634.0,1
32027,1989-06-23," Palm City, FL", light,5 minutes,23120.0,1
37124,1989-06-30," Coolidge, AZ", triangle,1 min,11825.0,3
34361,1989-07-01," Lovell, ME", triangle,5 - 10 Minutes,,8
27748,1989-07-03," Belleville, KS", triangle,30 seconds,1991.0,2
4578,1989-07-04," Morganton, NC", sphere,30 sec,16918.0,1
7242,1989-07-05," Loveland, CO", cigar,1 minute,66859.0,1
31434,1989-07-06," Waterford, MI", light,2 minutes,,1
21935,1989-07-09," Destin, FL", fireball,20 minutes,12305.0,2
33168,1989-07-10," Daytona Beach, FL", other,10 seconds or more,61005.0,2
37998,1989-07-15," Fresno, CA", fireball,1-2 min,494665.0,2
1080,1989-07-17," Marion, IN", disk,?  4 hours?,29948.0,1
15411,1989-07-20," Nags Head, NC", changing,10 minutes,2757.0,1
7067,1989-07-25," Waterloo, IA", sphere,seconds,68406.0,1
36862,1989-07-26," Santa Rosa, CA", sphere,10 minutes,167815.0,2
32243,1989-08-01," Elk Park, NC", triangle,10-15 Min.,452.0,4
15628,1989-08-08," The Dalles, OR", triangle,30 minutes,13620.0,1
26527,1989-08-10," Redmond, OR", triangle,10 to15 sec,26215.0,4
16165,1989-08-11," Portsmouth, NH", egg,30 sec.,20779.0,1
23867,1989-08-15," Highlands, NC", other,5 minutes,924.0,2
20455,1989-08-19," Cleveland, OH", disk,20 seconds,396815.0,1
3023,1989-08-24," Accokeek, MD", unknown,3-5 minutes,10573.0,1
14990,1989-09-01," Franklin, NC", sphere,15secs,3845.0,2
12797,1989-09-03," Glennie, MI", light,morning,,1
15088,1989-09-06," Bellevue, WA", sphere,20-25 sec.,122363.0,2
20202,1989-09-12," Englewood, FL", other,APX.6MIN.,14863.0,1
26264,1989-09-15," Peekskill, NY", unknown,1 minute,23583.0,3
25123,1989-09-17," Grandview, MO", circle,4-5 sec,24475.0,1
18368,1989-09-20," Sierra Madre, CA", teardrop,30 seconds,10917.0,1
17174,1989-09-27," Oak Ridge (over classified Y12 facility), TN", disk,20 to 30 min,29330.0,1
16911,1989-09-29," Miami, FL", chevron,approx 15 min,399457.0,1
31856,1989-09-30," McAlpin, FL", unknown,2 minutes,,1
24343,1989-10-01," Winchester (near), KY", oval,5 minutes,18368.0,4
13532,1989-10-07," Harrison, NY", other,5 minutes,27472.0,1
19595,1989-10-10," Calabasas, CA", disk,approx 5 min,23058.0,2
14639,1989-10-11," Kewanee, IL", sphere,2 to 3 minutes,12916.0,2
37017,1989-10-15," Mint Hill, NC", triangle,2-3 Minutes,22722.0,6
25412,1989-10-16," Tucson, AZ", sphere,2-3 seconds,520116.0,1
18657,1989-10-17," San Jose, CA", triangle,10 sec,945942.0,2
20212,1989-10-18," Wallingford, CT", oval,20 mins.,18209.0,3
32639,1989-10-20," West Palm Beach, FL", cylinder,3 min,99919.0,3
10708,1989-10-22," Fayetteville, NC", fireball,10minutes,200564.0,1
4368,1989-10-30," De Soto, MO", oval,5 minutes,6400.0,1
2276,1989-10-31," El Jebel, CO", unknown,5 seconds,3801.0,1
14328,1989-11-06," Kingman (north of, Mt. Tipton Area), AZ", sphere,1 min,28068.0,1
8923,1989-11-07," Washburn, MO", circle,20 min,435.0,1
42600,1989-11-10," Phoenix, AZ", light,10 seconds,1445632.0,1
12322,1989-11-14," Sapulpa, OK", triangle,3 ninutes,20544.0,1
20001,1989-11-15," San Antonio, TX", diamond,10 seconds,1327407.0,3
21652,1989-11-22," Cooper City, FL", triangle,10 sec.,28547.0,1
39657,1989-11-24," Tallahassee, FL", sphere,5-10 seconds,181376.0,1
36749,1989-11-25," Theresa, WI", triangle,10 minutes,1262.0,3
20,1989-11-26," Dallas, TX", triangle,10 min.,1197816.0,1
34750,1989-12-01," Grand Canyon (North Rim), AZ", formation,30 minutes,,3
17012,1989-12-04," Bushnell, FL", triangle,5 Minutes,2418.0,1
19070,1989-12-10," Cape May, NJ", sphere,5 minutes,3607.0,1
32595,1989-12-13," Pineville, LA", rectangle,5 Minutes?,14555.0,2
1374,1989-12-16," Sunnyvale, CA", other,4-5 mn.,140081.0,1
15429,1989-12-17," Mosheim, TN", oval,5 minutes,2362.0,1
40453,1989-12-22," Cicero, NY", light,5 minutes,,1
22139,1989-12-23," Hockessin, DE", sphere,5 mins,13527.0,2
35626,1989-12-24," Orrington, ME", triangle,15 minutes,,1
22172,1989-12-31," Ocala, FL", triangle,10 minutes,56315.0,1
25842,1990-01-03," Barkhamsted, CT", unknown,15-45 min,,1
18437,1990-01-06," New Orleans, LA", disk,20 minutes,343829.0,1
4081,1990-01-07," Sutton, AK", changing,7 min.,,1
32224,1990-01-11," Americus, IN", oval,10min,423.0,1
12624,1990-01-14," Livingston, CA", circle,30 seconds,13058.0,1
12492,1990-01-15," Platteville, WI", disk,10-15 minutes,11224.0,2
8936,1990-01-23," Richmond, VA", triangle,1 minute,204214.0,1
21286,1990-02-01," Brigantine, NJ", unknown,10 min,9450.0,1
24766,1990-02-02," Murfreesboro, TN", oval,1-2 Mins,108755.0,1
28900,1990-02-03," Douglas, GA", other,Several Minutes,11589.0,1
32714,1990-02-04," Lansing, MI", formation,20sec,114297.0,1
24663,1990-02-14," Davenport, IA", triangle,20-30 minutes,99685.0,1
28762,1990-02-15," Waterloo, IL", formation,30 Min,9811.0,4
27834,1990-02-20," Brownsburg (Speedway), IN", sphere,approximately 3 to 5 min,21285.0,1
16873,1990-02-25," Wimberley, TX", triangle,5 minutes,2626.0,1
30485,1990-02-28," San Clemente, CA", disk,30 minutes,63522.0,1
41364,1990-03-15," Janesville, WI", light,45 min Hour,63575.0,6
1464,1990-04-09," Ponce (Puerto Rico) ?, PR", other,15 minutes,132502.0,1
11604,1990-04-14," Indianapolis, IN", circle,15.min,820445.0,1
27735,1990-04-15," Thornwood, NY", light,5 mins,3759.0,2
37823,1990-04-27," Datil, NM", disk,5 seconds,54.0,1
20905,1990-05-01," Kingman, AZ", flash,5 min,28068.0,2
4829,1990-05-04," Malibu, CA", disk,10 seconds,12645.0,1
814,1990-05-05," Arlington, VA", chevron,2.5,207627.0,1
31465,1990-05-15," Tioga, LA", cigar,10,,4
17917,1990-05-19," Norwalk, CA", other,one minute,105549.0,1
12872,1990-05-24," Eugene, OR", light,3minutes,156185.0,1
4465,1990-05-25," South Fallsburg, NY", circle,30 seconds,2870.0,1
13502,1990-05-26," Lenexa, KS", other,8-10min,48190.0,1
32521,1990-06-01," Bridgeton, NJ", disk,1:00,25349.0,8
1964,1990-06-05," Danville (rural), IL", unknown,20 minutes,33027.0,1
845,1990-06-08," Stonyford, CA", sphere,20 sec.,149.0,1
8545,1990-06-09," Stonyford, CA", sphere,1:00,149.0,1
22740,1990-06-10," Los Angeles, CA", unknown,saw after developing phot,3792621.0,2
40343,1990-06-15," Springfield, OR", oval,20 min,59403.0,3
22106,1990-06-17," Kettering, OH", other,15 minutes,56163.0,1
12460,1990-06-20," Bremerton, WA", triangle,20 seconds,37729.0,1
18734,1990-06-26," Newton, NJ", circle,about 2 min,7997.0,1
24739,1990-06-30," Scottsdale, AZ", triangle,10 MINUTES,217385.0,1
26396,1990-07-01," Corte Madera, CA", fireball,7 min,9253.0,11
40032,1990-07-03," Cape Girardeau, MO", sphere,5 minutes,37941.0,2
18504,1990-07-07," San Antonio/Elmendorf, TX", triangle,2 miuets,1327407.0,1
23622,1990-07-12," Willamina, OR", rectangle,2 min,2025.0,2
13250,1990-07-13," Stonington, CT", triangle,2 min,929.0,1
41124,1990-07-15," Chico, CA", disk,1-2 minutes,86187.0,3
13455,1990-07-18," Ames, IA", disk,10 minutes,58965.0,2
31071,1990-07-20," Ocean City, MD", other,30 minutes,7102.0,2
35980,1990-07-29," Linden, WI", circle,1 minute,549.0,1
15774,1990-08-01," Neenah, WI", light,10 min,25501.0,2
4304,1990-08-05," Carbondale, CO", other,2 minutes,6427.0,1
40909,1990-08-08," Omaha, NE", other,89 seconds,408958.0,2
33773,1990-08-10," Southbridge, MA", unknown,45min-2 hours,16719.0,2
4040,1990-08-12," Corpus Christi, TX", triangle,1 1/2 min.,305215.0,1
16882,1990-08-15," Benbrook, TX", triangle,6 minutes,21234.0,4
13817,1990-08-17," El Dorado Hills, CA", unknown,1 minute,42108.0,1
21140,1990-08-20," Newport, TN", sphere,"2,3min.",6945.0,3
42911,1990-08-21," Phoenix, AZ", other,30 minutes,1445632.0,1
32737,1990-08-23," Redding, CA", changing,3 to 5 minutes,89861.0,1
37405,1990-08-24," Santa Cruz, CA", other,5 seconds,59946.0,1
15194,1990-08-25," Riverside, IL", rectangle,Ten seconds,8875.0,1
15602,1990-08-26," Punxsutawney, PA", sphere,15 minutes,5962.0,1
28816,1990-09-01," Marion, VA", triangle,2 minutes,5968.0,4
13831,1990-09-02," Dallas, TX", light,45 SEC,1197816.0,1
4771,1990-09-07," Dover (south of Dover AFB), DE", triangle,1:00,36047.0,1
23093,1990-09-14," White Lake, NC", other,40secs,802.0,1
32831,1990-09-15," Howe, TX", cigar,10 mins,2600.0,4
21945,1990-09-20," Newburgh, IN", triangle,1 hour,3325.0,3
21451,1990-09-22," Champaign, IL", egg,2 min,81055.0,1
28428,1990-10-01," Jamestown, NY", light,20 minutes,31146.0,1
21292,1990-10-05," Fresno, CA", changing,1-2hours,494665.0,1
30055,1990-10-10," Ashburn, GA", triangle,2 minutes,4152.0,1
2479,1990-10-13," Rising Sun, MD", sphere,10 mins.,2781.0,1
31935,1990-10-14," Reidsville, GA", oval,4 minutes,4944.0,1
22702,1990-10-15," Auburn, WA", sphere,5 sec,70180.0,7
22537,1990-10-17," Flagler Beach, FL", triangle,10 min,4484.0,1
19168,1990-10-18," Forest City, NC", disk,3-4 hours or longer.,7476.0,1
34155,1990-10-20," Almont, MI", oval,30 minutes,2674.0,2
30390,1990-10-27," Wells (30 miles north of), NV", cylinder,15 Seconds,1292.0,1
5395,1990-10-29," Paragould, AR", disk,3 minutes,26113.0,1
13287,1990-10-31," Friendship, MD", disk,30seconds to 1 minute,447.0,1
42571,1990-11-01," Lowell, MA", light,20 seconds,106519.0,2
464,1990-11-12," Stanton, DE", light,30 sec,,1
21545,1990-11-14," New London, NH", other,10  minutes,1415.0,1
14482,1990-11-15," Furnace Creek (Death Valley), CA", unknown,2 Hours,24.0,3
12476,1990-11-17," Hallowell, ME", fireball,2 minutes,2381.0,2
25880,1990-11-20," Roanoke, VA", light,1 minute,97032.0,2
23567,1990-11-30," Naples, FL", other,5 seconds,19537.0,1
7712,1990-12-09," Canton, TX", other,5 mins,3581.0,1
38498,1990-12-10," Honolulu (Hawaii Kai), HI", flash,1 hour,,1
16353,1990-12-12," Madison, WI", light,?,233209.0,1
20714,1990-12-15," Ocean City, MD", oval,3 hours,7102.0,1
724,1990-12-16," Blocker, OK", cigar,10 min,,1
22806,1990-12-20," Great Falls, MT", light,1:hr,58505.0,1
37090,1990-12-24," Gonzales, LA", fireball,In a trailer park,9781.0,2
7007,1991-01-01," Helena, AR", triangle,1 minutes,,1
14647,1991-01-10," Canton, MS", light,45 min,13189.0,1
11324,1991-01-14," Derry, NH", disk,2minutes,22015.0,1
14271,1991-01-15," Willingboro, NJ", unknown,5 hrs,,1
17397,1991-01-20," Scarsdale, NY", other,5 minutes,17166.0,1
22355,1991-02-15," Grand Rapids, MI", disk,5 minutes,188040.0,3
21092,1991-03-01," Ringwood, NJ", cigar,2minutes,12228.0,3
410,1991-03-07," Annapolis, MD", triangle,10sec,38394.0,1
29228,1991-03-08," Garden Grove, CA", light,1 hour,170883.0,1
33207,1991-03-20," Signal Mountain, TN", flash,3 mins,7554.0,1
36704,1991-04-01," Wichita, KS", triangle,1 hour,382368.0,2
16618,1991-04-13," Pagosa Springs, CO", cigar,20 seconds,1727.0,1
39060,1991-04-15," Placerville, CA", light,moments,10389.0,3
7661,1991-04-17," New Boston, TX", oval,3 to 4 minutes,4550.0,1
23449,1991-04-27," Sacramento, CA", changing,20-30 min,466488.0,1
36098,1991-05-01," Massapequa, NY", other,thirty seconds,21685.0,3
1734,1991-05-02," Mayfield, KY", teardrop,Cluster of Blue Lights,10024.0,1
13781,1991-05-05," Grants (southeast of), NM", light,2 minutes,9182.0,1
27747,1991-05-10," Peru, IN", disk,10 minutes,11417.0,2
17828,1991-05-11," Huntington Beach, CA", other,2 minutes,189992.0,2
41197,1991-05-13," Pittsburg, TX", unknown,5 minutes,4497.0,1
29234,1991-05-17," Dayton, OH", oval,2 min,,1
7514,1991-05-20," Northfield, MN", formation,8 minutes,20007.0,2
15598,1991-05-25," Hampstead, NH", disk,2 min,,2
25421,1991-05-30," Las Cruces, NM", fireball,10-15 seconds,97618.0,1
31822,1991-05-31," Marshall, MI", disk,10-15 seconds,7088.0,1
41143,1991-06-01," Port St. Lucie, FL", oval,5 minutes,590.0,11
2412,1991-06-03," Dixon, IL", disk,10 minutes,15733.0,1
3669,1991-06-05," Brawley (rest stop close to; near Yuma), CA", light,30 minutes,24953.0,1
20718,1991-06-06," College Park, MD", other,30 min.,30413.0,1
36860,1991-06-10," Levittown, NY", circle,5 minutes,51881.0,1
442,1991-06-12," Mifflinville, PA", light,2 min,1253.0,1
361,1991-06-13," St. Petersburg, FL", other,5-10 seconds,244769.0,1
20469,1991-06-15," Trementina, NM", cylinder,5 min,,7
22019,1991-06-20," Dover (near), DE", triangle,3-4 hours,36047.0,1
28653,1991-06-25," Okanogan, WA", disk,2-3 Minutes,2552.0,1
36480,1991-06-30," Bedford, PA", triangle,20-25 minutes,2841.0,3
16981,1991-07-01," Houston, TX", light,1 hour,2099451.0,6
35862,1991-07-04," Suisun City, CA", circle,30min,28111.0,2
524,1991-07-05," Detroit, OR", light,30 sec,202.0,1
23555,1991-07-07," Avon, MA", triangle,15-20 minutes,,1
21285,1991-07-08," Austin, TX", triangle,6 min.,790390.0,1
3117,1991-07-09," Derby, NY", triangle,5 minutes,,1
8444,1991-07-11," Albany, OR", egg,10-15 minutes,50158.0,1
19086,1991-07-15," Sumter, SC", disk,&lt;10 minutes,40524.0,8
27932,1991-07-18," Las Vegas, NV", other,2 hrs,583756.0,1
2466,1991-07-19," Virginia Beach, VA", triangle,1 minute,437994.0,1
15168,1991-07-20," Alamo, TX", circle,unkown,18353.0,3
37135,1991-08-01," Kissimmee, FL", other,30 seconds,59682.0,8
42601,1991-08-07," Romeo, MI", light,2-5 minutes,3596.0,1
26390,1991-08-10," Selden, NY", light,30 seconds,19851.0,1
18343,1991-08-15," Peru, IN", egg,15 minutes,11417.0,4
26157,1991-08-16," Hanover, MA", light,20 min +/-,,1
26806,1991-08-20," Middletown, NJ", triangle,5 minutes,,2
22785,1991-08-22," Asheville, NC", oval,5 minutes,83393.0,1
14240,1991-08-28," Canandaigua, NY", sphere,15 minutes,10545.0,1
41455,1991-08-29," Donnelly, ID", unknown,1/2 hour,152.0,1
15726,1991-08-31," Council Bluffs, IA", cylinder,5 min,62230.0,1
33601,1991-09-01," Abilene, TX", triangle,10 Minutes,117063.0,7
2905,1991-09-02," Morgan Hill, CA", unknown,30 min,37882.0,1
22631,1991-09-05," Groton, NY", triangle,2 sec.,2363.0,1
3381,1991-09-12," Renton, WA", fireball,5-10 MINS.,90927.0,1
32516,1991-09-15," Greenbrier, AR", light,21 years,4706.0,1
3635,1991-09-17," Show Low, AZ", formation,10 seconds,10660.0,1
25625,1991-09-18," Olympia, WA", changing,2 to 3 minutes,46478.0,1
10218,1991-09-23," Westwood, CA", light,30-45 minutes,1647.0,1
33084,1991-09-25," Clemson, SC", triangle,2 minutes,13905.0,1
32491,1991-10-01," McKenzie, TN", disk,15 minutes,5310.0,4
13044,1991-10-10," Harrisburg, PA", triangle,10 minutes,49528.0,2
25090,1991-10-15," Snyder, TX", disk,5 minutes,11202.0,1
20674,1991-10-28," Los Angeles, CA", circle,15 minutes,3792621.0,1
31638,1991-10-31," Boulder (10 miles west), CO", circle,30 to 45 seconds,97385.0,2
30672,1991-11-01," Bremen, GA", disk,2-3 minutes,6227.0,3
36777,1991-11-15," Pasadena, TX", unknown,5-10 minutes,149043.0,3
12601,1991-11-18," Colorado Springs, CO", triangle,5min,416427.0,1
11528,1991-11-20," Fulton, KY", light,5 Min.,2445.0,1
4462,1991-11-23," Salem, MO", triangle,22:05,4950.0,1
20452,1991-11-27," Brighton, MI", circle,1-2 minutes,7444.0,1
41078,1991-12-01," Copley, OH", light,3 nours,,1
17104,1991-12-10," Grand Rapids, MI", other,3.5 seconds,188040.0,1
7576,1991-12-13," Etowah, TN", changing,looking at mountains,3490.0,1
32622,1991-12-14," Tell City, IN", circle,30 sec.,7272.0,1
35532,1991-12-20," Macon, GA", disk,2 min&apos;s,153691.0,1
1230,1991-12-23," Pleasanton, NE", sphere,7 minutes,341.0,1
7582,1991-12-24," Grant, MI", circle,3 Minutes,894.0,1
15483,1992-01-01," Seattle, WA", other,2 MIN,608660.0,1
4494,1992-01-15," New Church, VA", sphere,30 MIN,205.0,1
2140,1992-02-01," Grants Pass, OR", light,10 min,34533.0,1
12201,1992-02-02," Makawao, HI", other,One hour,7184.0,1
4827,1992-02-04," Swarthmore, PA", triangle,2 minutes,6194.0,1
24376,1992-02-14," Shawnee, OK", cigar,20 mins,29857.0,1
13964,1992-02-15," West Alexandria, OH", triangle,30min,1340.0,1
8094,1992-02-27," Sacramento, CA", circle,30 min  (?),466488.0,1
22338,1992-03-05," Florence, AL", oval,Unknown,39319.0,1
17655,1992-03-15," Tampa, FL", disk,10 minutes,335709.0,1
9628,1992-03-22," Beaumont/Sour Lake, TX", unknown,30 min,118296.0,1
31865,1992-04-01," Nashua, NH", oval,10 minutes,86494.0,5
336,1992-04-02," Pebble Beach, CA", light,15-20 seconds,,1
37837,1992-04-08," Hartford, CT", unknown,25sec,124775.0,2
38748,1992-04-12," George West, TX", oval,3 Minutes,2445.0,1
6088,1992-04-13," Ely, MN", light,roughly 1 min.,3460.0,1
31084,1992-04-15," Neosho, MO", unknown,one minute,11835.0,3
22057,1992-04-16," Bowling Green, KY", disk,1 hour,58067.0,1
14817,1992-04-17," Billings, MT", disk,5 Min,104170.0,1
20743,1992-04-24," Hamburg, NY", disk,minutes,9409.0,1
25138,1992-04-30," Indianola, IA", unknown,5 Minutes,14782.0,1
6631,1992-05-01," Coupeville, WA", sphere,15 seconds,1831.0,1
5216,1992-05-05," Malibu, CA", light,10 seconds,12645.0,1
16136,1992-05-10," Green Bay, WI", disk,3 SECONDS,104057.0,1
