symbol,date,sightings
UK,Oct 2011,11
UK,Nov 2011,7
UK,Dec 2011,2
UK,Jan 2012,15
UK,Feb 2012,9
UK,Mar 2012,5
UK,Apr 2012,11
UK,May 2012,11
UK,Jun 2012,4
UK,Jul 2012,2
UK,Aug 2012,0
UK,Sep 2012,0
UK,Oct 2012,0
UK,Nov 2012,0
UK,Dec 2012,0
UK,Jan 2013,0
UK,Feb 2013,10
UK,Mar 2013,2
UK,Apr 2013,5
UK,May 2013,7
UK,Jun 2013,11
UK,Jul 2013,10
UK,Aug 2013,17
UK,Sep 2013,14
UK,Oct 2013,14
UK,Nov 2013,10
UK,Dec 2013,14
UK,Jan 2014,14
UK,Feb 2014,11
UK,Mar 2014,12
UK,Apr 2014,17
UK,May 2014,8
UK,Jun 2014,12
UK,Jul 2014,26
UK,Aug 2014,42
UK,Sep 2014,19
UK,Oct 2014,21
UK,Nov 2014,14
UK,Dec 2014,23
UK,Jan 2015,29
UK,Feb 2015,19
UK,Mar 2015,29
UK,Apr 2015,27
UK,May 2015,22
UK,Jun 2015,35
UK,Jul 2015,36
UK,Aug 2015,51
UK,Sep 2015,50
UK,Oct 2015,45
UK,Nov 2015,21
UK,Dec 2015,16
UK,Jan 2016,26
UK,Feb 2016,36
UK,Mar 2016,30
UK,Apr 2016,19
UK,May 2016,17
UK,Jun 2016,17
UK,Jul 2016,25
UK,Aug 2016,29
UK,Sep 2016,25
UK,Oct 2016,25
UK,Nov 2016,26
UK,Dec 2016,20
UK,Jan 2017,44
UK,Feb 2017,33
UK,Mar 2017,17
UK,Apr 2017,69
UK,May 2017,37
UK,Jun 2017,35
UK,Jul 2017,33
UK,Aug 2017,30
UK,Sep 2017,17
UK,Oct 2017,21
UK,Nov 2017,41
UK,Dec 2017,28
UK,Jan 2018,32
UK,Feb 2018,33
UK,Mar 2018,26
USA,Jan 2010,363
USA,Feb 2010,232
USA,Mar 2010,437
USA,Apr 2010,400
USA,May 2010,411
USA,Jun 2010,378
USA,Jul 2010,662
USA,Aug 2010,312
USA,Sep 2010,309
USA,Oct 2010,529
USA,Nov 2010,467
USA,Dec 2010,317
USA,Jan 2011,331
USA,Feb 2011,367
USA,Mar 2011,375
USA,Apr 2011,273
USA,May 2011,332
USA,Jun 2011,369
USA,Jul 2011,417
USA,Aug 2011,933
USA,Sep 2011,697
USA,Oct 2011,597
USA,Nov 2011,538
USA,Dec 2011,449
USA,Jan 2012,668
USA,Feb 2012,560
USA,Mar 2012,351
USA,Apr 2012,589
USA,May 2012,642
USA,Jun 2012,796
USA,Jul 2012,582
USA,Aug 2012,0
USA,Sep 2012,0
USA,Oct 2012,0
USA,Nov 2012,0
USA,Dec 2012,0
USA,Jan 2013,0
USA,Feb 2013,180
USA,Mar 2013,115
USA,Apr 2013,319
USA,May 2013,411
USA,Jun 2013,529
USA,Jul 2013,672
USA,Aug 2013,734
USA,Sep 2013,597
USA,Oct 2013,587
USA,Nov 2013,412
USA,Dec 2013,407
USA,Jan 2014,611
USA,Feb 2014,423
USA,Mar 2014,603
USA,Apr 2014,624
USA,May 2014,631
USA,Jun 2014,597
USA,Jul 2014,751
USA,Aug 2014,630
USA,Sep 2014,633
USA,Oct 2014,647
USA,Nov 2014,429
USA,Dec 2014,403
USA,Jan 2015,587
USA,Feb 2015,480
USA,Mar 2015,551
USA,Apr 2015,550
USA,May 2015,737
USA,Jun 2015,1186
USA,Jul 2015,1039
USA,Aug 2015,835
USA,Sep 2015,769
USA,Oct 2015,772
USA,Nov 2015,638
USA,Dec 2015,501
USA,Jan 2016,492
USA,Feb 2016,480
USA,Mar 2016,441
USA,Apr 2016,408
USA,May 2016,389
USA,Jun 2016,448
USA,Jul 2016,527
USA,Aug 2016,488
USA,Sep 2016,466
USA,Oct 2016,434
USA,Nov 2016,417
USA,Dec 2016,410
USA,Jan 2017,393
USA,Feb 2017,399
USA,Mar 2017,319
USA,Apr 2017,336
USA,May 2017,469
USA,Jun 2017,424
USA,Jul 2017,597
USA,Aug 2017,639
USA,Sep 2017,436
USA,Oct 2017,485
USA,Nov 2017,475
USA,Dec 2017,501
USA,Jan 2018,490
USA,Feb 2018,359
USA,Mar 2018,445
