sepalLength	sepalWidth	species
0.57	75	CA
0.2	76	CA
0.2	68	CA
0.58	46.2	TX
0.4	67.3	WA
2.66	45.7	CA
0.18	76.9	CA
5.09	45.8	CA
4.99	45.4	WA
0.06	69.5	CA
2.17	48.9	TX
0.82	53.3	CA
1.61	48	TX
5.11	28.6	WA
0.21	66.8	WA
5.09	45.8	CA
0.15	67.9	CA
2.03	57	WA
0.38	67.6	CA
8.96	45.6	CA
2.36	82.1	TX
0.67	66.2	CA
11.5	43.6	CA
0.82	53.3	CA
3.26	48	CA
1.43	56.7	WA
2.08	51.3	CA
0.73	64.6	CA
1.04	83.4	TX
0.84	66.4	WA
5.18	68.5	TX
7.66	31.8	WA
0.79	57.5	WA
3.72	58.2	CA
0.14	67.5	WA
1.43	66	WA
2.54	62.2	CA
1.08	56.9	CA
2.22	39.2	WA
1.79	57.3	CA
5.16	39.6	WA
0.15	67.9	CA
1.34	65.8	TX
2.64	51.1	TX
5.77	44	CA
4.03	47.1	CA
1.88	54.8	CA
0.73	58.7	TX
2.35	61.8	TX
2.2	53	CA
0.18	70.7	CA
2.42	81.4	TX
0.14	78.4	CA
0.45	47.2	TX
2.08	52.9	WA
1.43	66	WA
7.81	46.1	CA
0.82	53.3	CA
4.47	61.9	TX
0.3	71.2	CA
2.48	55.6	WA
0.31	63.6	WA
4.21	48.2	CA
4.98	44.9	CA
2.92	81.8	TX
3.28	42.2	WA
3.98	50	CA
10.06	30.2	WA
1.43	66	WA
0.5	67.5	CA
5.41	44	CA
0.06	73.5	CA
1.65	42	CA
0.7	63.3	WA
2.54	62.2	CA
3.48	51.5	CA
0.5	67.5	CA
3.64	54.7	WA
0.59	61.5	CA
0.74	58	CA
0.04	71.2	CA
2.35	46.8	CA
0.12	76.1	CA
3.37	46.3	WA
8.26	36.1	WA
2.4	47.5	CA
1.46	43.7	WA
2.1	56.8	CA
1.2	48.6	TX
3.39	79.5	TX
0.71	69	CA
9.93	35	WA
0.06	75	CA
2.15	66.4	TX
0.17	74.2	CA
0.05	76	CA
2.45	78	TX
1.91	66.1	TX
3.56	40	WA
2.35	46.8	CA
4.34	48.8	CA
0.55	63.3	WA
1.83	53	TX
5.51	44.6	CA
1.79	53	CA
3.21	41.2	CA
4.73	80.9	TX
5.77	44	CA
1.14	50.2	TX
1.27	56.3	CA
0.35	71.4	CA
2.27	43.5	CA
0.31	73.3	CA
0.21	72.6	CA
0.09	65.4	CA
0.19	74.8	CA
0.06	76.1	CA
5.09	45.8	CA
4.51	38.6	WA
3.95	69.7	TX
0.59	64.4	TX
0.77	46.5	CA
1.81	47	WA
3.69	51.1	CA
1.22	49.2	TX
8.26	36.1	WA
0.81	41.5	CA
0.09	65.4	CA
4.28	35.2	WA
1.68	57.5	WA
5.69	70.8	TX
0.06	69.5	CA
5.58	46	WA
1.09	65	WA
0.65	86.1	TX
0.82	53.3	CA
1.7	59.2	CA
2.39	63	TX
0.71	46.6	CA
0.15	68.6	CA
2.1	56.8	CA
0.1	76.2	CA
7.11	41.1	CA
1.3	64.7	WA
0.12	72.1	CA
0.23	56.6	TX
0.19	74.8	CA
0.06	69.5	CA
2.2	53	CA
0.08	70.4	CA
0.21	72.6	CA
3.26	43.5	WA
5.75	52.6	CA
0.06	59.4	CA
1	59.9	CA
0.94	63.9	CA
0.06	75.8	CA
1.17	66.3	TX
3.01	82.4	TX
3.98	43.6	WA
0.98	62	WA
0.94	63.9	CA
0.79	46	CA
0.25	67.8	CA
4.21	51.6	CA
1.35	48.6	WA
2.27	43.5	CA
1.81	47	WA
1.83	53	TX
0.71	63.7	CA
0.74	54.4	CA
1.11	35.8	WA
1.09	62	CA
0.18	76.9	CA
4.98	44.9	CA
4.24	47.6	WA
0.74	54.4	CA
0.81	41.5	CA
1.01	57	TX
0.15	79.3	CA
1.51	58.6	CA
0.67	66.2	CA
2.69	47.7	CA
1.31	65.6	WA
3.49	46.7	WA
0.21	72.6	CA
0.52	60.8	WA
0.22	78.7	CA
2.37	80.7	TX
4.24	46.7	CA
0.31	72.2	CA
0.04	71.2	CA
0.74	54.4	CA
0.41	66.8	CA
10.06	30.2	WA
3.98	50	CA
0.68	63.5	WA
5.77	44	CA
0.06	69.5	CA
0.27	75	CA
0.55	63.3	WA
4.23	46.7	WA
