date,distance,drinking,population,satellite,fireball,pilotballon,precipitation,visibility,smog,shape,timing
20000608,0.924242062,,3090,0,1726.993146,,0.02,,51, flash,one second
20000608,1.419720786,,,0,1726.993146,,,,, oval,40minutes
20000623,,,,0,1726.993146,,0.16,,, circle,2-3 seconds
20000703,10.99710988,,,0,1726.993146,,,,, other,1min and 30sec approx.
20010205,2.522326394,,,0,1726.993146,96.40805272,,,, triangle,1 hour
20000604,,,596382,0,,,,,, disk,2 min.
20000611,,,596382,0,,,0.12,,38, disk,5 Minutes
20000630,2.779821499,,,0,,,0.12,,38, oval,10 mins
20000606,2382.646994,,12779,0,,,0.01,,23, triangle,15MINUTES APPOX
20000609,4.309656718,,,0,,,,,, unknown,5 minutes
20000630,2.375941398,,777885,0,,,,,,,1 min
20010206,13.04761248,,11416,0,,,0.14,,46, triangle,30min
20010223,764.6644628,,8507,0,,,,,, light,5 minutes
20031219,,,,0,,,,,, other,5 MINUTES
20000606,2.234619391,,95240,0,,9.35602344,,,32, sphere,30 seconds
20000606,,,392992,0,,,,,, circle,about 5 minutes
20000620,0.364278352,,347144,0,,,0.19,,42, oval,one minute
20000708,,,,0,,,,,, rectangle,1-2 sec
20060715,,,,0,,,,,, unknown,unsure
20000608,489.213136,,2282,0,,,,,, circle,1to2 minutes
20000609,1.769479879,,158693,0,,3.39203271,0,,, unknown,4 seconds
20010206,1.814317471,,189647,0,,,0,,30, sphere,3-4min
20010302,1.177473246,,2098,0,,,,,, oval,10 sec./15 sec.
20050808,1.604246502,,69942,0,,,,,, unknown,5 min
20060117,1.604246502,,69942,0,,,,,, unknown,5 min
20070628,,,,0,,,,,, unknown,unknown
20070628,,,,0,,,,,, unknown,unknown
20080228,,,3851,0,,,,,, light,3 minute
20000609,,,,0,,,,,, cigar,4 min
20000629,1013.070492,,,0,,,,,, light,10-15 Secs
20000704,0.529625387,,3851,0,,,,,, diamond,1 min
20000609,2.789407164,,116955,0,,,0,12,, light,15 minutes
20000615,2.963600357,,1860,0,,11.46454846,,,, cylinder,2 seconds
20000619,641.9494796,,,0,,,,,, light,25-30 seconds
20000620,0.356806309,,,0,,,0,10,, triangle,&lt; 1 min
20000624,2.067359688,,,0,,,,,, light,15 minutes
20000626,6.080258308,,38878,0,,,,,, teardrop,60 seconds
20010114,1.922723962,,4666,0,,,0,10,, light,15 sec.
20020406,3.277155623,,380,0,,,,,, disk,20 seconds
20000610,0.547127009,,1830,0,,,0,7,36, circle,10-15 MIN
20000610,0.728031018,,736076,0,,,,,, light,1 hour
20000610,365.3127543,,79474,0,,,0,10,, light,8 seconds
20000611,1.316433598,,,0,,,0,10,, unknown,3-4sec
20000611,2.006353859,,,0,,,0,7,, cylinder,1hr 5min
20000611,2.963600357,,116955,0,,11.46454846,,,, unknown,10min
20000611,,,,0,,,,,, triangle,20 min
20000612,,,10086,0,,,0.02,9,, flash,west
20001202,2179.947251,,84319,0,,,0,14,, light,15 seconds
20010130,2166.181567,,,0,,,,,, triangle,`2sec
20011216,1421.228847,,,0,,,,,, circle,?20 Seconds
20020412,1982.815099,,,0,,,,,, light,seconds
20021002,2.654979458,,25570,0,,72.263894,0.02,10,, circle,15 seceonds
20031216,1.108644929,,,0,,,0.15,,, oval,5 minutes approx.
20040813,809.0405599,,2399,0,,,0,10,, circle,5 minutes
20100226,,,,0,,,0.03,10,, triangle,20 minutes
20000611,2.576963743,,3233,0,,,0.19,10,, circle,4-5 minutes
20000611,3.29920742,,67072,0,,,0.24,9,, sphere,1.5 - 2.0 min
20000612,,,3233,0,,,,,, disk,UNK
20000627,1.832017471,,486372,0,,1.778862556,0,20,37, other,20 min
20000706,1.071510106,,9427,0,,,,,, sphere,10 seconds
20001123,,,,0,,,0,5.6,, circle,1
20050308,1087.224243,,215,0,,,0,10,, other,2 min.
20080629,,,,0,,,0,6.2,, light,90 secs
20000612,1.623341722,,36348,0,,,,,, fireball,3 seconds
20000612,2.135328691,,1974324,0,,,0.16,9,, teardrop,approx 10sec
20000613,0.021525339,,1974324,0,,,,,90, disk,3 Minutes
20000812,0.021525339,,34206,0,,,,,90, triangle,35 seconds
20000614,0.251619188,,3701062,0,,50.20050185,0,9,40, light,45 min
20000614,1421.228847,,,0,,,,,, light,15 min.
20000618,0.633865657,,45820,0,,,0.57,9,, cone,as long as it took for th
20020613,9.22E+18,,,0,,,,,, light,
20030628,,,,0,,,,,, triangle,10min
20100501,1.332205254,,50042,0,,,0.1,10,, oval,2 min or less
20000614,9.22E+18,,1238,0,7453.967116,,,,, light,3 to six seconds
20000614,9.22E+18,,,0,7453.967116,,,,, circle,1 hr
20000615,1.206112031,,1175,0,7453.967116,,,,, chevron,2 minutes
20000615,33.6376733,,48309,0,7453.967116,,,,, fireball,3 to 4 Seconds
20000615,118.7398067,,450,0,7453.967116,,0.22,8,, light,20 minutes
20000615,1932.72207,,1175,0,7453.967116,,1.42,6,, other,15 min.
20000910,0.875321726,,8412,0,7453.967116,,0,10,, rectangle,6 mim
20020523,901.8340127,,756506,0,7453.967116,,0,8,38, circle,1.5 - 2 hours
20000614,,,21897,0,,,0.07,9,, circle,15-30 sec
20000615,3.318132393,,14969,0,,,0,10,, sphere,?
20000616,2.335166732,,66995,0,,,0,10,28, light,5 min.
20000616,2.94689417,,521,0,,,,,, light,approx. 15 min.
20000621,0.977536391,,139148,0,,,0,10,31, triangle,4 to 5 minutes
20000714,0.202502287,,40005,0,,,0,7,, other,1-2seconds
20010218,,,,0,,,,,, other,5 mins
20010513,0.251619188,,3701062,0,,,0,8,42, unknown,1 minute
20011104,4270.357185,,,0,,,,,, sphere,few seconds
20020203,622.4702309,,,0,,,,,, triangle,3 seconds
20020216,,,26801,0,,,,,, circle,
20020407,,,,0,,,0,4.7,, sphere,10 minutes
20020629,1.975733544,,20465,0,,,0.35,8,, disk,5 seconds
20020731,,,,0,,,,,, circle,
20020812,,,,0,,,,,, formation,10 Minutes
20030121,9.22E+18,,,0,,,,,, fireball,1-2 minues
20030618,689.7925976,,39372,0,,,,,, oval,5 minutes
20030620,1.628547233,,2001,0,,,0.44,11,, triangle,few minutes
20040328,,,,0,,,,,, light,15 min.
20060726,863.8902297,,26786,0,,,0.15,6,, triangle,10 minutes
20061207,9.22E+18,,,0,,,,,, disk,8 seconds
20070731,,,164971,0,,,0,8,, other,15-20 min.
20091217,0.520696421,,,0,,,0,6,, light,15 Seconds
20000616,,,,0,,,0.54,8,, light,10+ minute
20000617,2.849871528,,63883,0,,74.07718591,,,71, light,5 minutes
20000617,4365.029409,,529845,0,,,0.54,8,19, unknown,5-6 seconds
20000619,,,,0,,,0.03,10,, other,3 minutes
20000621,,,,0,,,,,, triangle,2 minutes
20020512,2.267963494,,201514,0,,,,,77, oval,2min
20021010,438.5586457,,,0,,,,,, fireball,
20000617,2.182284099,,20645,0,,48.03422874,0,10,54, sphere,2 seconds
20000617,2.206985001,,51074,0,,,,,, unknown,90 sec.
20000618,1.470116279,,12769,0,,55.28166039,0,10,36, sphere,hours
20000618,1.553272676,,23016,0,,,,,, disk,3-5 seconds
20000619,1.355099736,,10599,0,,,0,10,, sphere,10 minutes
20000622,5.308240098,,82210,0,,52.76921757,0.08,,, changing,10 minutes plus
20001219,,,,0,,,,,, unknown,12min
20000622,8.360657423,,2205,0,,,0,10,, oval,25 minutes
20000909,,,,0,,,,,, light,@ 3 minutes
20001008,2000.145479,,,0,,,0.4,8,, triangle,15-20 min
20070510,2.196929224,,7812,0,,,0,8,, rectangle,1 minute
20000619,0.58612001,,253964,0,,,0.01,6,47, other,5 seconds
20000619,1.183991425,,9083,0,,,0.16,20,, disk,3 seconds
20000619,355.8438326,,7524,0,,,0,10,, light,7
20000619,2179.947251,,84319,0,,,0,15,, triangle,15 seconds
20000624,21.64846068,,,0,,,,,, triangle,2 minutes
20000628,2.107363761,,13223,0,,86.53362725,0,9,, circle,30 sec
20001112,,,,0,,,,,, fireball,6 Minutes
20010102,0.756143532,,,0,,,0,9,, triangle,:45
20000620,0.600748585,,137608,0,,,,,, changing,4-5 min
20000622,0.401475731,,47480,0,,,0,10,, disk,15 minutes
20000622,1.945086749,,,0,,,0,10,, rectangle,10 minutes
20000622,3.471010616,,450,0,,,0.29,8,, circle,1-1.5 minutes
20000623,1.392261219,,5953,0,,,0,10,, flash,1 minute
20000624,1933.885651,,83427,0,,,,,, light,10 mins.
20000628,9.508545171,,361988,0,,43.81772898,,,, unknown,over 30 minutes
20000704,7.192851673,,3611,0,,,0,9,, fireball,10 sec.
20000723,173.9727144,,,0,,94.41730997,0,8,, light,20 min
20010417,11.47549913,,986,0,,,0.03,6,, light,
20010511,6.819573909,,2394,0,,,0,10,, unknown,2min
20020219,1.892445227,,15521,0,,,,,, unknown,less than one minute
20030709,,,,0,,,,,, circle,5-8 mins
20040619,,,,0,,,,,, unknown,2-3 mins
20060409,1.578715444,,79540,0,,,0,10,, other,10 minutes
20061007,541.0690046,,,0,,,0,10,, triangle,10 minutes
20000621,0.217449418,,529845,0,,,0,10,, cigar,10-20 seconds
20000621,,,4304,0,,,0,10,, changing,20 minutes
20000624,,,9914,0,,,,,, circle,1min
20000622,,,34020,0,6062.707137,,,,, disk,4 Min
20000622,,,,0,6062.707137,,,,, circle,1 min
20000623,0.777795347,,,0,6062.707137,5.002495686,0,10,26, egg,five seconds
20000623,1.459395124,,,0,6062.707137,,0.32,8,, circle,15sec
20000625,3.874429495,,102952,0,6062.707137,,0,,38, light,10 minutes
20000721,,,4823,0,6062.707137,,,,, light,3 seconds
20000806,,,,0,6062.707137,,0,9,, sphere,15 mins
20010121,0.729605881,,224,0,6062.707137,,,,, egg,0:45
20020528,3.213403028,,1314,0,6062.707137,,0.57,7,, unknown,mean
20000623,4.530998845,,193692,0,2959.95566,5.019663925,0,,42, light,5- 10 min
20000624,0.495271855,,203163,0,2959.95566,,0,10,, light,15 seconds
20000624,1.332280362,,6571,0,2959.95566,,0,10,, rectangle,2nin.
20000624,1.693308108,,777885,0,2959.95566,35.07385304,0,6,, circle,10 seconds
20000624,,,193692,0,2959.95566,,,,, other,1:30min
20000625,6.300516983,,,0,2959.95566,,0,10,, unknown,10 seconds
20000703,2382.646994,,13122,0,2959.95566,,0,9,19, unknown,1.5 min
20000723,0.495271855,,10448,0,2959.95566,,0,10,, light,15 sec.
20001026,,,,0,2959.95566,,,,, oval,Reunion
20010414,4.942259185,,,0,2959.95566,8.508940101,,,, circle,1 Minute
20010429,,,,0,2959.95566,,,,, other,30 seconds
20010610,4.942259185,,,0,2959.95566,8.508940101,,,, circle,
20020104,0.466545574,,1430,0,2959.95566,75.62008841,,,, diamond,?
20031117,0.036841752,,189889,0,2959.95566,,0,10,, other,NOT SHURE
20000624,0.38688151,,,0,,,0,10,, light,60 seconds
20000624,1.597678268,,3837,0,,,,,, cylinder,7 seconds
20000624,2.210210704,,94038,0,,,0.01,10,, light,5 seconds
20000624,4.929814151,,21374,0,,,0.04,9,, circle,15 sec
20000624,6.094617224,,45716,0,,,0,10,, chevron,10 sec
20000625,1.240758441,,85381,0,,,0,10,, sphere,1 minute
20000627,,,,0,,,0,,, sphere,23:30
20010727,3.414609479,,6072,0,,,,,, formation,30 seconds
20010729,8.088306436,,,0,,,0,8,, triangle,about 15 minutes
20000625,,,130077,0,,,0,6,, light,15 seconds
20000626,0.25705088,,1188168,0,,3.421863002,0,10,36, diamond,45 sec
20000626,2243.769577,,,0,,,0,7,, other,90 seconds
20000626,,,,0,,18.23218606,0,6,, cigar,8-9 minutes
20000628,0.081219063,,,0,,,0,10,28, unknown,
20000629,,,181617,0,,,,,, light,2 Minutes
20000713,,,,0,,,0.02,,, fireball,10 minutes
20000716,1.945623724,,,0,,,,,, unknown,45 sec
20010207,,,19001780,0,,,0,9,38, oval,30 minutes
20000626,0.251619188,,3710,0,,50.20050185,0,9,35, light,2 minutes
20000626,0.614595558,,483954,0,,,0,10,37, light,2 min.
20000626,0.701057993,,3701062,0,,8.42366389,0,8,24, unknown,20 seconds +/-
20000626,1.600510745,,90474,0,,,0,10,, other,35-45 seconds
20000626,6.5655532,,,0,,,,,, light,ca. 5 min
20000626,321.9541214,,1227854,0,,,0,10,, light,3-3.5 sec
20000626,,,50240,0,,,,,, light,20 min
20000627,,,5603,0,,,0,10,,,3 minutes
20000701,2.236792819,,28171,0,,,0,10,, light,15 seconds
20000726,1.421654444,,,0,,,0,10,, unknown,1-3 seconds
20050406,,,2891582,0,,,0.01,10,40, oval,ten seconds
20000626,4.762983667,,245995,0,7351.605703,,,,, fireball,90 seconds
20000627,0.526876979,,31340,0,7351.605703,,0.39,6,61, light,5 to 6 minutes
20000628,2123.119515,,,0,7351.605703,,0,6,, light,35
20000630,969.2149713,,,0,7351.605703,,,,, unknown,3 min
20000702,0.807325431,,591844,0,7351.605703,23.26503419,0,,, light,10 seconds
20000821,0.671258528,,,0,7351.605703,70.78969341,0,10,106, other,5 minutes
20001111,0.668425491,,4833,0,7351.605703,,0,10,, circle,10 seconds
20030710,,,,0,7351.605703,,0,10,, triangle,1-2 minutes
20000702,1331.278352,,347144,0,,,,,, triangle,2-3 seconds
20000713,,,2592,0,,,0,10,, light,1 minute
20000724,0.924242062,,8081,0,,,0.15,10,40, oval,aprox.5min.
20000819,5.231637854,,451261,0,,,0,20,, light,10 minutes
20020628,,,,0,,,,,, circle,3:50-4:00
20000629,193.7742258,,76843,0,,,0,10,, circle,15 sec
20000629,2265.675439,,40575,0,,,0,15,, triangle,20 minutes
20000630,0.38841118,,,0,,,0,10,, other,5 - 7 sec.
20000630,2.151301058,,383063,0,,,,,, sphere,4 seconds
20000630,3.335566388,,,0,,,0,10,, circle,&lt;90 seconds
20000630,,,,0,,60.85152472,0,15,, light,Approx. 1+ hours
20000630,2.730005288,,,1,,31.12318943,0,10,, formation,I watched for several min
20000701,,,77520,1,,60.85152472,0,11,, sphere,5 MIN
20000701,,,287155,1,,,0,10,, circle,5 minutes
20000708,0.059974531,,675775,1,,,0,10,34, cylinder,30 seconds
20001001,9.22E+18,,,1,,,,,, other,5 mins
20010403,,,,1,,,,,, oval,
20040307,1.879788782,,440,1,,,0,20,, rectangle,1.5 seconds
20041209,3403.673285,,10436,1,,,,,, circle,10 minutes
20060124,0.837116007,,15792,1,,,0.1,9,, circle,
20060303,0.511877376,,196109,1,,,0,14,, rectangle,10 seconds
20060318,0.800096075,,,1,,,0.04,9,10, triangle,10 to 15 min
20060930,329.9035032,,292038,1,,,0,10,, triangle,2 minutes
20061006,1.12496882,,228142,1,,,0.07,9,, formation,10 minutes approximately
20061025,59.92932321,,34553,1,,,,,22, circle,20/30 Minutes
20070106,1129.666308,,18078,1,,,0,9,, light,5 minutes
20070305,207.4468049,,893,1,,,0,10,, triangle,25min
20071021,3.985993255,,,1,,,0,10,, triangle,2 hours
20080630,,,,1,,,,,, light,7 MINS
20080714,,,,1,,,,,, cigar,3 min
20091228,0.614595558,,483954,1,,,0,18,33, triangle,45 sec
20100429,,,,1,,,,,, circle,30 min
20100525,205.821666,,,1,,,0,10,,,HALF HOUR
20000701,1.621440156,,,0,,80.1744485,0,10,20, fireball,5 mins
20000702,0.973131669,,143795,0,,54.15293297,0,13,, fireball,15 seconds
20000702,2.00705264,,904839,0,,33.57954415,0,10,21, fireball,25 sec
20000702,22.15109715,,,0,,,,,, oval,10-15 seconds
20000702,2111.071425,,,0,,,0,10,116, cigar,30 mins?
20000702,,,,0,,,,,,,5 min
20000702,,,536,0,,,,,, light,2 sec
20000704,568.2934168,,7859,0,,,,,, triangle,20 min.
20000705,8.247467333,,,0,,,0,20,, oval,10 seconds
20000706,568.2934168,,,0,,,,,, cigar,30-40 minutes
20000711,11.80616346,,,0,,23.95297063,0,6,71, unknown,1-3 minutes
20000711,,,119556,0,,,,,, disk,30 SECONDS
20000930,374.9368864,,55821,0,,,,,, light,10 min.
20001009,0.056062384,,41775,0,,,0.02,10,, light,4 minutes
20010214,1.471903214,,16606,0,,,0.01,9,, cross,5 minutes
20020803,,,,0,,,0,10,, triangle,5 minutes
20031220,1.870752696,,,0,,,,,, light,30seconds
20040613,0.211329678,,1326682,0,,7.357785934,0,10,43, formation,1 or 2 minutes
20051115,0.896287364,,,0,,,,,, triangle,45 sec
20061130,1.53365796,,,0,,,0,10,, rectangle,30Sec.
20080102,2180.579634,,244883,0,,,0,10,32, disk,15 minutes
20080122,,,,0,,,,,, light,hours
20081217,509.627074,,150113,0,,,0,8,19, sphere,4-5 hours
20091204,3.267718419,,115074,0,,89.03367401,0,10,, circle,west
20000702,1.204978247,,24885,0,,,0,10,, oval,3 Minutes
20000703,97.15004771,,,0,,,0,10,, formation,TEN MINUTES
20000703,,,,0,,,,,, formation,20 minutes
20000724,,,22046,0,,94.40268096,,,, disk,
20010402,5.669506284,,2051,0,,,0.74,7,, light,30+ minutes
20010718,6.021175093,,,0,,,,,, triangle,5 seconds
20020722,1.249934701,,74499,0,,,0,8,, cigar,5 min
20000703,0.614595558,,,0,,,0,20,39, rectangle,30 SECONDS
20000703,2.178352389,,37264,0,,,,,, other,10 - 15 sec.
20000710,25.24584479,,2338,0,,,,,, changing,half hour
20000716,0.802639493,,483954,0,,,0.26,4,, oval,2 min
20000916,59.3979346,,7895,0,,,0.19,7,, light,UFO
20010315,,,,0,,,0,10,, light,2:00 min
20021110,3.555286582,,23482,0,,,0,,, unknown,1 min
20040224,5.731218894,,2807,0,,30.22144531,0.1,9,21, disk,2-3 minutes
20000704,0.433565733,,,0,,,,,, cigar,still occuring
20000704,1.392261219,,20356,0,,,0,10,, cigar,40 minutes
20000705,0.495271855,,47346,0,,,0.01,10,, circle,1 hour
20000705,0.495271855,,361988,0,,,0.01,10,, light,45sec
20000705,1.586406851,,34301,0,,,,,, circle,8-10 minutes
20000705,2.702924081,,193692,0,,,0,10,, light,20.min
20000706,0.495271855,,193692,0,,,0.01,10,, circle,15 min
20000706,0.495271855,,186478,0,,,0.01,10,, light,10 seconds
20000707,349.0306436,,11188,0,,,0,7,, light,5-10 seconds
20000708,1.24304785,,,0,,,,,97, light,2 - 3 Minutes
20000711,557.3796552,,193692,0,,,,,, light,10 - 15 min
20000713,5.424993895,,193692,0,,,0.47,8,30, light,5 minutes
20000715,1.526860208,,,0,,,0.01,7,40, circle,&lt;5 minutes
20001016,,,199273,0,,,0.47,8,30, light,45 minutes
20001017,3.740884134,,4792,0,,,0.47,8,, light,hour
20010123,0.021525339,,1974324,0,,,,,36, fireball,20 MIN.
20010213,5.617447236,,999,0,,,0.08,4,, light,1 1/2 to 2 hrs
20010309,0.263918586,,199273,0,,,0.47,8,30, light,10 minutes
20010704,243.7028607,,2077,0,,,,,, triangle,4 min
20031129,1.082403697,,312816,0,,,0,6,39, triangle,20 minutes
20040929,1.69113338,,9438,0,,,0,5,, triangle,3 minutes
20050605,3.766598534,,29442,0,,,0.47,8,, light,1 hour
20050825,,,347144,0,,,0,10,, fireball,5-10 minuts
20060121,0.495271855,,193692,0,,,0.01,10,, other,5.Minets
20060520,0.180181581,,,0,,,,,, light,5-10seconds
20000705,4.048481265,,21095,0,,,0.02,8,, other,2 minutes
20000706,8.102220644,,563434,0,,,0,10,, light,2-4 second
20000708,0.275470345,,,0,,,0,10,19, cylinder,1 minute
20000713,0.701057993,,1227854,0,,8.42366389,0,10,26, cigar,2-3 minutes
20000713,9529.865969,,,0,,,,,, oval,about 5 seconds
20010526,2.687998409,,49383,0,,,0,10,, other,1-2 seconds
20000706,0.352617291,,,0,,,0,10,, cylinder,Three minutes
20000706,3.895101186,,151475,0,,,0,10,, changing,2-3 seconds
20000706,,,83523,0,,,,,, cylinder,5-10 minutes
20000707,0.25705088,,,0,,3.421863002,0,10,51, cylinder,30 min.
20000707,1.100431875,,26214,0,,,0.01,8,47, sphere,10 seconds
20000707,2.044130813,,,0,,,,,, disk,don&apos;t know
20000707,2.044130813,,83523,0,,,,,, cylinder,05 minutes
20000710,5158.469153,,,0,,,,,, cross,15 sec
20000713,0.133009983,,12599,0,,50.15302158,0,16,49, formation,10-15 min
20000713,,,22743,0,,47.79032946,0.01,10,, cigar,10 minutes
20000819,1890.428844,,181617,0,,,,,, other,20 sec.
20010213,,,,0,,,,,, unknown,7 seconds
20031201,,,,0,,,,,, light,Unknown
20040914,508.7728507,,86252,0,,,0,10,, triangle,5-10 minutes
20000707,0.179143218,,,0,6263.01818,,0,10,49, light,1.5 sec
20000707,0.614595558,,3701062,0,6263.01818,,0,20,32, light,2MIN
20000707,2.800297013,,,0,6263.01818,70.07697443,0,10,31, light,10 mins
20000707,3.021123603,,85236,0,6263.01818,62.50042296,0,10,, other,5 to 7 min.
20000707,3.167515302,,483954,0,6263.01818,56.1885211,0,11,, light,20-30min.
20000707,3.20092409,,,0,6263.01818,83.89799305,0,10,, triangle,1 hour
20000707,43.06687822,,,0,6263.01818,,0,20,, oval,23 Minutes
20000707,509.627074,,3701062,0,6263.01818,,0,9,18, light,5 - 10 minutes
20000707,765.501455,,46623,0,6263.01818,,0,10,41, oval,20 minutes
20000707,1808.584127,,49821,0,6263.01818,,,,30, cone,3-5 minutes
20000707,2090.433897,,475755,0,6263.01818,,,,, unknown,
20000707,,,7075,0,6263.01818,,0,3.6,, light,3 minutes
20000707,,,,0,6263.01818,,0,18,, light,?
20000707,,,150113,0,6263.01818,,0,10,, light,30 seconds
20000708,0.251619188,,408593,0,6263.01818,50.20050185,0,10,30, fireball,15 seconds
20000708,0.251619188,,,0,6263.01818,50.20050185,0,10,30, light,appx 1 minute
20000708,2.800297013,,10004,0,6263.01818,70.07697443,0,10,31, oval,2 or 3 minutes
20000708,3.086098517,,3701062,0,6263.01818,27.86681094,0,10,, sphere,5 mins
20000708,6.426815344,,13011,0,6263.01818,,0,10,, fireball,2 minutes
20000709,2.326522279,,,0,6263.01818,56.1885211,0,11,, other,20 Minutes
20000709,258.1293122,,1227854,0,6263.01818,,0,10,26, light,10 min
20000710,1.836562057,,2782,0,6263.01818,,0,7,, fireball,3 @ 5&quot; ea
20000711,3.086098517,,131083,0,6263.01818,27.86681094,0,10,, circle,10 minutes.
20000712,,,103581,0,6263.01818,,,,, light,5mins (OBject may have be
20000713,0.251619188,,408593,0,6263.01818,50.20050185,0,10,30, rectangle,4 Minutes
20000713,1.52398414,,95464,0,6263.01818,,,,, light,5 minutes
20000718,4.043756871,,131083,0,6263.01818,34.17844435,0,16,, circle,10 minutes
20000718,,,102993,0,6263.01818,,0,10,, light,10 minutes?
20000718,,,,0,6263.01818,8.42366389,0,10,24,,12 minutes
20000808,,,50240,0,6263.01818,27.16210272,0,10,, light,26minutes
20000819,,,,0,6263.01818,,0,6,, light,30 minutes
20020405,,,,0,6263.01818,,,,, unknown,4-5 seconds
20070220,1.786592286,,30415,0,6263.01818,,0,10,, fireball,2 Minutes
20000708,1.544162685,,35169,0,,,,,, unknown,8 minutes
20000708,6.081342075,,48074,0,,,,,, unknown,30 minutes
20000709,2.138622686,,,0,,70.15753224,0,10,, fireball,3 minutes?
20000711,,,,0,,,0,10,, light,1 sec
20000716,2.729468275,,,0,,10.08723865,0,8,, unknown,one minute
20011211,0.401475731,,137608,0,,,0,10,, unknown,10 seconds
20030406,3590.259768,,,0,,,,,, disk,3 or 4 minutes
20040409,1.303986903,,18968,0,,,0,10,43, triangle,5 MINUTES
20000711,0.25705088,,35280,0,,3.421863002,0,10,49, light,20-30minutes
20000715,1.874903492,,,0,,,0,10,, unknown,50 sec
20000718,1.878040642,,181617,0,,,0,10,54, oval,13 mins
20000718,13.24854603,,,0,,,0,6,, cylinder,10 min.
20020107,4.228185375,,11644,0,,,0.12,6,, other,3 SECONDS
20030911,3256.790155,,12509,0,,,0.04,12,, unknown,Approx. 1 Min.
20000710,0.707616446,,21574,0,,,0,7,, light,30 minutes
20000711,,,,0,,,,,, changing,round 4 hrs
20000711,,,49326,0,,,0,9,, sphere,2-3 min
20000712,1.452685892,,,0,,,1.14,7,35, circle,2 HOURS
20000712,,,53585,0,,,,,, other,around 2 hours
20000717,1.677277136,,8418,0,,,0.94,8,, cigar,2-mins
20000718,0.774014988,,,0,,9.860708368,0,10,, triangle,5-7mins
20000720,,,74264,0,,,0,10,, other,one minute
20000724,2.217394446,,20453,0,,,0.04,,, light,30 sec
20000725,1.1219978,,,0,,,,,22, circle,few seconds
20001118,,,,0,,,,,, cross,1 minute
20010529,2.000232295,,426918,0,,84.46963059,0,6,, unknown,2 seconds
20060101,607.475424,,,0,,,0,10,, other,15-30 seconds
20000711,3.301219745,,,0,,,,,, light,Approx: 2 minutes
20000711,43.40296801,,1824,0,,,0,10,, changing,3 minutes
20000712,,,137608,0,,,0,10,, unknown,5-8 sec.
20000718,1.878040642,,35280,0,,,0,10,35, sphere,15 minutes
20000712,1.953055193,,,0,,11.71937854,,,, disk,3-5 seconds
20000712,2.963600357,,,0,,11.46454846,,,, light,5 minutes
20000712,2.963600357,,715,0,,11.46454846,,,, light,30-60 sec
20000712,2.963600357,,,0,,11.46454846,,,, circle,17 minutes
20000712,2.963600357,,116955,0,,11.46454846,,,, light,2min
20000712,454.2633463,,116955,0,,,0,10,50, unknown,10 minutes
20000712,973.3344921,,529845,0,,27.30535278,0,20,37, cylinder,30-45 seconds
20000713,2.963600357,,116955,0,,11.46454846,,,, light,10 to 15 minutes
20000713,2.963600357,,116955,0,,11.46454846,,,, diamond,5 MINUTES
20000713,4.693855284,,116955,0,,,0,11,, circle,20MIN.
20000713,8.29600269,,7178,0,,55.33077969,,,, disk,1 hour
20000714,,,177804,0,,,,,, circle,12 minutes
20000715,4.947878551,,116955,0,,,0,10,, diamond,5 MINUTES
20000715,6.61168431,,219983,0,,,,,, light,5min.
20000726,0.217449418,,,0,,,0,10,, egg,
20000804,2.963600357,,116955,0,,11.46454846,,,, fireball,5 MINUTES
20001230,1.64894723,,,0,,,0.01,10,37, sphere,25:00-25:40
20001230,,,,0,,,,,, disk,around 1h 30m
20010510,4.530998845,,203163,0,,5.019663925,0,,54, fireball,
20071108,4470.397413,,205,0,,,0.04,9,, cigar,2 hours
20000712,1110.270532,,116955,0,,,0,10,, circle,25 minutes
20000713,1.150498233,,219983,0,,,0,10,, fireball,12min.
20000713,2.963600357,,14986,0,,11.46454846,,,, fireball,8 minutes
20000713,2.963600357,,21105,0,,11.46454846,,,, disk,2 mins
20000713,2.963600357,,116955,0,,11.46454846,,,, light,10 minutes
20000714,2.963600357,,116955,0,,11.46454846,,,, circle,10 to 15 minutes
20000714,1105.589464,,,0,,,0,12,, light,15 minutes
20000715,2.963600357,,1794,0,,11.46454846,,,, circle,15 min
20000715,973.3344921,,116955,0,,27.30535278,0,20,30, circle,11:00
20000717,2.039236617,,116955,0,,,,,104, diamond,
20010410,701.0320335,,60053,0,,,0,10,, cigar,25 min
20000714,0.500939756,,,1,,,0,10,47, egg,15 seconds
20000714,573.9030048,,49219,1,,,0,10,, disk,30 seconds
20000714,,,507011,1,,,0,10,, cigar,@ 1 minute
20000715,2.652532376,,23039,1,,99.25592094,0,10,, unknown,unknown
20000716,0.41656499,,183373,1,,,0,10,100, light,3 minutes
20000716,0.761898149,,,1,,,,,, unknown,not sure  possibly a coup
20000720,5.475874152,,688137,1,,,,,, triangle,less than a minute
20000722,0.464076729,,16974,1,,24.5438067,,,, chevron,15-20 minutes
20000723,0.8221612,,,1,,,0,9,97, fireball,5h5m
20000728,9.22E+18,,,1,,,,,, circle,2:40
20000812,0.350095081,,43047,1,,6.338879746,0,8,, light,1-2 seconds
20050208,0.864909801,,15640,1,,,0,6,74, other,10 minutes
20050620,9.22E+18,,,1,,,,,, unknown,none
20000715,1.138352321,,145039,0,,,0,10,34, circle,5 minutes
20000715,321.6205453,,27390,0,,,0.01,7,36, sphere,less than 1 sec
20000715,,,128949,0,,,,,, disk,45-60 sec
