date,distance,drinking,population,satellite,fireball,pilotballon,precipitation,visibility,smog,shape,timing
20000411,0.530263554,,782760,0,,,0.14,7.8,, light,30-45 min
20000421,13.39394071,,40710,0,,,,,, disk,a few minutes
20000425,,,,0,,,0.1,9.8,, disk,3MINS
20000427,0.520902065,,13075,0,,,0,10,, disk,seconds
20000501,1.996661305,,9080,0,,,0,7.8,, other,5 minutes?
20000506,,,,0,,,,,, other,Very Brief
20000521,1737.872524,,193692,0,,,,,, unknown,4 min.
20000525,1.403532597,,6617,0,,,0,9,, circle,
20000601,1.078788535,,9392,0,,,,,, unknown,2-3 min
20000601,,,1612,0,,,,,, light,1 hour
20000621,5.029949636,,,0,,,,,, oval,
20000716,,,24888,0,,,0,6.2,, formation,4 or 5 minutes
20000720,4.803325673,,,0,,,,,, circle,3 hours
20000720,510.7030693,,,0,,,0.18,,, light,10-15 minutes
20000724,,,362453,0,,,,,, cigar,3 min.
20000814,,,,0,,,,,, oval,3-5 min.
20000824,525.6715676,,5116,0,,,0.1,,, cigar,30 min.
20000831,2.945601852,,,0,,,,,, light,5-min
20000903,1.091494687,,,0,,,0,10,, diamond,~5 minutes
20000905,724.2380677,,5594,0,,,,,, fireball,5 seconds
20000905,,,,0,,,0,13,, triangle,3 minutes
20000908,2.605032451,,,0,,,0,10,, fireball,a few seconds
20000911,0.540313119,,1974324,0,,,0,8,, light,4 sec.
20000912,0.167502993,,417534,0,,,0,8,, unknown,unknown
20000916,349.0306436,,22419,0,,,0,10,, teardrop,15 minutes
20000926,,,,0,,,,,, changing,3 hrs
20001016,1.091494687,,,0,,,0,10,, unknown,5 minutes
20001025,0.021525339,,79440,0,,,,,, light,5 Seconds
20001027,1.351574169,,563434,0,,,,,, other,5 min.
20001028,0.866301092,,186478,0,,,0,10,, disk,3 minutes
20001029,,,11235,0,,,0.01,10,, triangle,15 minutes
20001030,,,,0,,,,,, fireball,10 seconds
20001102,0.275470345,,1974324,0,,,0,10,, unknown,Ended by 19:01
20001102,1.28908065,,9830,0,,,0,10,, triangle,30sec
20001103,,,362453,0,,,0.03,6,, sphere,
20001115,,,,0,,,,,, light,
20001123,3.530022018,,,0,,,0,10,, disk,6 hrs.
20001123,3.929058433,,,0,,,,,, other,2 -3 min
20001124,9.654158233,,201276,0,,,0,18,, sphere,25+min
20001124,,,10777,0,,,,,, fireball,10 min
20001231,767.3248195,,,0,,,0,8,, cigar,5-10 secs
20010104,,,,0,,,0,10,, cone,10 mins
20010105,,,829,0,,,,,, sphere,5 hrs
20010121,0.614595558,,29687,0,,,0,10,, unknown,10 min.
20010126,0.251619188,,31647,0,,,0.71,6,, circle,20 seconds
20010131,0.540376914,,18981,0,,,0,9,, teardrop,5minutes
20010202,,,17935,0,,,0,9,, disk,
20010204,354.0633719,,497368,0,,,0.05,5,, disk,10min or more
20010219,3.21411362,,3733328,0,,,,,, disk,5 minutes
20010226,361.6550144,,9451,0,,,0,14,, disk,10-30minutes
20010301,0.590356675,,927136,0,,,0,6,, egg,5 minutes
20010324,,,4131,0,,,,,, other,10 Mins.
20010329,444.5146505,,,0,,,0,9,,,
20010402,,,,0,,,0,9,, oval,5 secnds
20010404,2.00705264,,,0,,,0,10,,,
20010418,1.543165173,,905360,0,,,0,10,, changing,5 minutes
20010418,,,,0,,,,,, disk,
20010419,1233.060777,,29582,0,,,0.08,10,, triangle,5 minutes
20010530,7784.078848,,6690,0,,,,,, triangle,five min.
20010609,2.762100645,,,0,,,,,, triangle,15 min
20010612,0.364278352,,7934,0,,,0,9,, disk,10 MINUTES MAX.
20010627,0.308695956,,3715,0,,,0,9,, triangle,3 to 5 minutes
20010713,0.251619188,,90130,0,,,0,9,,,3 to 5 minutes??
20010726,0.412442816,,3733328,0,,,0,10,, circle,2 minutes
20010727,4698.526371,,391773,0,,,0.01,,, light,
20010801,2.236792819,,487363,0,,,0,,, triangle,6 seconds
20010829,9.19017294,,22917,0,,,0,5.9,, disk,15 seconds
20010830,,,659,0,,,,,, sphere,2 minutes
20010831,1075.217703,,,0,,,,,, light,a few seconds
20010910,0.745593631,,2004,0,,,,,, disk,30 min.
20010911,1.500050797,,,0,,,,,, light,5 minutes
20010916,5.799468536,,34100,0,,,0,10,, circle,2hours
20011021,,,,0,,,,,, circle,1min
20011031,1335.567533,,85641,0,,,,,, chevron,1/2 hour
20020127,,,,0,,,0,8,, sphere,30+ sec
20020309,,,,0,,,,,, light,2mins
20020523,,,,0,,,,,, circle,30-40min
20020528,18.8294487,,,0,,,,,, triangle,15-20 mins
20020528,1156.801998,,136240,0,,,0.04,,, circle,20 seconds
20020729,2.375642734,,,0,,,0,8,, formation,10 seconds
20020806,40.75478684,,,0,,,0,9,,,
20020825,,,49021,0,,,,,, triangle,four minutes
20020910,9.22E+18,,50691,0,,,,,,,?
20021129,2.499510767,,22624,0,,,0,10,, unknown,5 Minutes
20030116,,,,0,,,,,, cigar,8 min.
20030412,98.89018442,,,0,,,0,10,, fireball,5 seconds
20030412,,,,0,,,,,, triangle,10-15 seconds
20030429,,,1169,0,,,0,5.9,, cylinder,5 minutes
20030828,1.83519188,,14421,0,,,0,15,, triangle,8 minutes
20030831,0.167502993,,,0,,,0,9,,,
20030912,9.22E+18,,403080,0,,,,,,,
20031009,,,,0,,,0,,, cigar,0:15
20031018,2.335166732,,75440,0,,,0,10,, other,30 sconds
20040113,0.922295977,,178,0,,,0,10,, cylinder,1 minute
20040204,9.387031014,,25373,0,,,0,,, other,one minute
20040311,0.518479924,,,0,,,0,9,, other,2-3 minutes
20040403,0.614595558,,537788,0,,,0.29,8,,,
20040410,0.073372108,,,0,,,0,10,, oval,
20040410,,,,0,,,,,, cross,unknown
20040504,,,,0,,,,,, egg,45 mins
20040511,,,738386,0,,,,,, disk,
20040520,0.502049943,,,0,,,0,9,, circle,
20040529,,,,0,,,,,, fireball,3-5 seconds
20040531,,,,0,,,,,, fireball,~2-3 sec.
20040702,1.054673958,,63976,0,,,0,9,, unknown,One to two minutes.
20040711,,,,0,,,,,, light,1 minute
20041030,0.036841752,,191433,0,,,0,9,, sphere,20 sec.
