origin,destination
Bastrop  TX,West New York  NJ
West New York  NJ,Bastrop  TX
Bastrop  TX,Tecate  CA
Tecate  CA,Bastrop  TX
Bastrop  TX,Sacramento  CA
Sacramento  CA,Bastrop  TX
Bastrop  TX,Holbrook  NY
Holbrook  NY,Bastrop  TX
Bastrop  TX,Danbury  CT
Danbury  CT,Bastrop  TX
Benton  ME,Shobonier  IL
Shobonier  IL,Benton  ME
Benton  ME,Plymouth  OH
Plymouth  OH,Benton  ME
Johnstown  PA,Denver  CO
Denver  CO,Johnstown  PA
Johnstown  PA,Whitmire  SC
Whitmire  SC,Johnstown  PA
Johnstown  PA,Jamesville  NY
Jamesville  NY,Johnstown  PA
Highlands  NC,Buchanan  NY
Buchanan  NY,Highlands  NC
Highlands  NC,Azucena  LA
Azucena  LA,Highlands  NC
Highlands  NC,Sutcliff  NV
Sutcliff  NV,Highlands  NC
Highlands  NC,Union  SC
Union  SC,Highlands  NC
Splendora  TX,Clayton  NC
Clayton  NC,Splendora  TX
Splendora  TX,Porterville  CA
Porterville  CA,Splendora  TX
Splendora  TX,Farmington  NM
Farmington  NM,Splendora  TX
