origin,destination
Salida  CO,Florence  OR
Florence  OR,Salida  CO
Salida  CO,Greenville  IL
Greenville  IL,Salida  CO
Salida  CO,Clover  SC
Clover  SC,Salida  CO
Salida  CO,Morganton  NC
Morganton  NC,Salida  CO
Salida  CO,Green River  WY
Green River  WY,Salida  CO
Salida  CO,Birmingham  AL
Birmingham  AL,Salida  CO
Salida  CO,Charalton  NY
Charalton  NY,Salida  CO
Salida  CO,Spokane  WA
Spokane  WA,Salida  CO
Salida  CO,Charlotte  NC
Charlotte  NC,Salida  CO
Salida  CO,Buffalo  WY
Buffalo  WY,Salida  CO
Salida  CO,Phoenix  AZ
Phoenix  AZ,Salida  CO
Salida  CO,Coso Junction  CA
Coso Junction  CA,Salida  CO
Salida  CO,Junction City  AR
Junction City  AR,Salida  CO
Salida  CO,Waltham  MA
Waltham  MA,Salida  CO
Salida  CO,Dannemora  NY
Dannemora  NY,Salida  CO
Greenwood  IN,Meadville  PA
Meadville  PA,Greenwood  IN
Greenwood  IN,Plano  TX
Plano  TX,Greenwood  IN
Greenwood  IN,Las Vegas  NV
Las Vegas  NV,Greenwood  IN
Greenwood  IN,Troy  AL
Troy  AL,Greenwood  IN
Greenwood  IN,Grand Rapids  MI
Grand Rapids  MI,Greenwood  IN
Lackawanna  NY,Dillard  GA
Dillard  GA,Lackawanna  NY
Lackawanna  NY,Pine Ridge  SD
Pine Ridge  SD,Lackawanna  NY
Lackawanna  NY,Fremont  OH
Fremont  OH,Lackawanna  NY
Lackawanna  NY,Millstadt  IL
Millstadt  IL,Lackawanna  NY
Morgantown  PA,Knotts Island  NC
Knotts Island  NC,Morgantown  PA
Morgantown  PA,East Hoquiam  WA
East Hoquiam  WA,Morgantown  PA
Morgantown  PA,Annapolis  MD
Annapolis  MD,Morgantown  PA
Morgantown  PA,Virginia Beach  VA
Virginia Beach  VA,Morgantown  PA
Morgantown  PA,Chicago  IL
Chicago  IL,Morgantown  PA
Morgantown  PA,Peabels  OH
Peabels  OH,Morgantown  PA
Morgantown  PA,State College  PA
State College  PA,Morgantown  PA
Pasco  WA,Stokes County  NC
Stokes County  NC,Pasco  WA
Pasco  WA,Tacoma  WA
Tacoma  WA,Pasco  WA
Pasco  WA,Kaukauna  WI
Kaukauna  WI,Pasco  WA
Pasco  WA,Yakima  WA
Yakima  WA,Pasco  WA
Pasco  WA,Cranston  RI
Cranston  RI,Pasco  WA
Pasco  WA,Newton  IA
Newton  IA,Pasco  WA
Tampa  FL,Barrington Hills  IL
Barrington Hills  IL,Tampa  FL
Tampa  FL,Loomis  CA
Loomis  CA,Tampa  FL
Tampa  FL,North Hampton  NH
North Hampton  NH,Tampa  FL
Tampa  FL,Jeromesville  OH
