origin,destination
Covington  KY,Alexandria  LA
Alexandria  LA,Covington  KY
Covington  KY,Orlando  FL
Orlando  FL,Covington  KY
Covington  KY,Fayetteville  IL
Fayetteville  IL,Covington  KY
Covington  KY,Syracuse  NY
Syracuse  NY,Covington  KY
Covington  KY,Tacoma  WA
Tacoma  WA,Covington  KY
Covington  KY,Jacksonville  FL
Jacksonville  FL,Covington  KY
Covington  KY,Waco  TX
Waco  TX,Covington  KY
Covington  KY,Federal Way  WA
Federal Way  WA,Covington  KY
Covington  KY,Midvale  UT
Midvale  UT,Covington  KY
Covington  KY,Haines City  FL
Haines City  FL,Covington  KY
Covington  KY,Santa Paula  CA
Santa Paula  CA,Covington  KY
Fort Worth  TX,Copley  OH
Copley  OH,Fort Worth  TX
Fort Worth  TX,Mansfield  OH
Mansfield  OH,Fort Worth  TX
Fort Worth  TX,San Diego  CA
San Diego  CA,Fort Worth  TX
Fort Worth  TX,Imperial Beach  CA
Imperial Beach  CA,Fort Worth  TX
Simi Valley  CA,Wlkes-Barre  PA
Wlkes-Barre  PA,Simi Valley  CA
Simi Valley  CA,Tulsa  OK
Tulsa  OK,Simi Valley  CA
Simi Valley  CA,Brentwood  NY
Brentwood  NY,Simi Valley  CA
Cactus Flat  SD,Elmira Heights  NY
Elmira Heights  NY,Cactus Flat  SD
Cactus Flat  SD,Kutztown  PA
Kutztown  PA,Cactus Flat  SD
Cactus Flat  SD,Lake McClure  CA
Lake McClure  CA,Cactus Flat  SD
Cactus Flat  SD,Simi Valley  CA
Simi Valley  CA,Cactus Flat  SD
Cactus Flat  SD,Brooksville  FL
Brooksville  FL,Cactus Flat  SD
Cactus Flat  SD,Berrien Springs  MI
Berrien Springs  MI,Cactus Flat  SD
