origin,destination
Satellite Beach  FL,Corydon  IN
Corydon  IN,Satellite Beach  FL
Satellite Beach  FL,Hopkinsville  KY
Hopkinsville  KY,Satellite Beach  FL
Satellite Beach  FL,Olathe  KS
Olathe  KS,Satellite Beach  FL
Satellite Beach  FL,Phoenix  AZ
Phoenix  AZ,Satellite Beach  FL
Satellite Beach  FL,Fremont  CA
Fremont  CA,Satellite Beach  FL
Satellite Beach  FL,Television broadcast  FL
Television broadcast  FL,Satellite Beach  FL
Cedar Rapids  IA,Spokane  WA
Spokane  WA,Cedar Rapids  IA
Cedar Rapids  IA,Rahns  PA
Rahns  PA,Cedar Rapids  IA
Cedar Rapids  IA,Weldon  NC
Weldon  NC,Cedar Rapids  IA
Cedar Rapids  IA,Arenzville  IL
Arenzville  IL,Cedar Rapids  IA
Creston  NC,Sonora  CA
Sonora  CA,Creston  NC
Creston  NC,Kansas City  MO
Kansas City  MO,Creston  NC
Creston  NC,Bethany  OK
Bethany  OK,Creston  NC
Creston  NC,Abilene  TX
Abilene  TX,Creston  NC
Creston  NC,Trout Lake  WA
Trout Lake  WA,Creston  NC
Asbury Park  NJ,Neosho  MO
Neosho  MO,Asbury Park  NJ
Asbury Park  NJ,Yerington  NV
Yerington  NV,Asbury Park  NJ
Asbury Park  NJ,Royal  AR
Royal  AR,Asbury Park  NJ
Asbury Park  NJ,Phoenix  AZ
Phoenix  AZ,Asbury Park  NJ
Asbury Park  NJ,San Antono  TX
San Antono  TX,Asbury Park  NJ
Asbury Park  NJ,Lancaster  CA
Lancaster  CA,Asbury Park  NJ
Asbury Park  NJ,Shelby Township  MI
Shelby Township  MI,Asbury Park  NJ
Casper  WY,Mishawaka  IN
Mishawaka  IN,Casper  WY
Casper  WY,Kansas City  MO
Kansas City  MO,Casper  WY
Casper  WY,Montgomery  IL
Montgomery  IL,Casper  WY
Casper  WY,Duluth  GA
Duluth  GA,Casper  WY
Casper  WY,Bossier City  LA
Bossier City  LA,Casper  WY
Casper  WY,Lawton  OK
Lawton  OK,Casper  WY
Casper  WY,Deming  NM
Deming  NM,Casper  WY
Casper  WY,Chicago  IL
Chicago  IL,Casper  WY
Casper  WY,North Myrtle Beach  SC
North Myrtle Beach  SC,Casper  WY
Milwaukee  WI,East Setauket  NY
East Setauket  NY,Milwaukee  WI
Milwaukee  WI,Eagan  MN
Eagan  MN,Milwaukee  WI
Milwaukee  WI,San Diego  CA
San Diego  CA,Milwaukee  WI
Milwaukee  WI,Westwood  NJ
Westwood  NJ,Milwaukee  WI
Milwaukee  WI,Patterson  CA
Patterson  CA,Milwaukee  WI
Milwaukee  WI,Mauston  WI
Mauston  WI,Milwaukee  WI
Milwaukee  WI,Sibley  MO
Sibley  MO,Milwaukee  WI
Milwaukee  WI,Mojave National Preserve  CA
Mojave National Preserve  CA,Milwaukee  WI
Milwaukee  WI,Charleston  SC
Charleston  SC,Milwaukee  WI
Milwaukee  WI,Russell  KS
Russell  KS,Milwaukee  WI
Milwaukee  WI,Salt Lake City  UT
Salt Lake City  UT,Milwaukee  WI
Torrington  CT,Olathe  KS
Olathe  KS,Torrington  CT
Torrington  CT,Fort Wayne  IN
Fort Wayne  IN,Torrington  CT
Torrington  CT,South San Francisco  CA
South San Francisco  CA,Torrington  CT
Torrington  CT,Carlisle  PA
Carlisle  PA,Torrington  CT
Torrington  CT,Alexandria  VA
Alexandria  VA,Torrington  CT
Freeport  NY,Gainesville  FL
Gainesville  FL,Freeport  NY
Freeport  NY,Greenville  SC
Greenville  SC,Freeport  NY
Gresham  OR,Northeast Kingdom  VT
Northeast Kingdom  VT,Gresham  OR
Gresham  OR,Barstow  CA
Barstow  CA,Gresham  OR
Fort Lauderdale  FL,Santa Clarita  CA
Santa Clarita  CA,Fort Lauderdale  FL
Fort Lauderdale  FL,Freeport  IL
