origin,destination
Mineola  NY,Powhatan  VA
Powhatan  VA,Mineola  NY
Mineola  NY,San Francisco  CA
San Francisco  CA,Mineola  NY
Mineola  NY,Key West  FL
Key West  FL,Mineola  NY
Mineola  NY,Boca Raton  FL
Boca Raton  FL,Mineola  NY
Mineola  NY,Livonia  MI
Livonia  MI,Mineola  NY
Mineola  NY,Chattanooga  TN
Chattanooga  TN,Mineola  NY
Mineola  NY,Joshua Tree National Park  CA
Joshua Tree National Park  CA,Mineola  NY
Mineola  NY,Santa Fe  NM
Santa Fe  NM,Mineola  NY
Mineola  NY,Macon  GA
Macon  GA,Mineola  NY
Mineola  NY,Buckley  WA
Buckley  WA,Mineola  NY
Mineola  NY,Auburn  WA
Auburn  WA,Mineola  NY
Peru  IN,Gilbert  AZ
Gilbert  AZ,Peru  IN
Peru  IN,Escondido  CA
Escondido  CA,Peru  IN
Manzanita  OR,Bluewater Village  NM
Bluewater Village  NM,Manzanita  OR
Manzanita  OR,Greer  AZ
Greer  AZ,Manzanita  OR
San Francisco  CA,Conway  SC
Conway  SC,San Francisco  CA
San Francisco  CA,Sargent  GA
Sargent  GA,San Francisco  CA
San Francisco  CA,Ironton  OH
Ironton  OH,San Francisco  CA
San Francisco  CA,Augusta  KS
Augusta  KS,San Francisco  CA
Clinton Township  MI,Gilbert  AZ
Gilbert  AZ,Clinton Township  MI
Clinton Township  MI,Germantown  MD
Germantown  MD,Clinton Township  MI
Clinton Township  MI,Richland  WA
Richland  WA,Clinton Township  MI
Clinton Township  MI,Kensington  MD
Kensington  MD,Clinton Township  MI
Clinton Township  MI,West Valley  NY
West Valley  NY,Clinton Township  MI
Clinton Township  MI,Circle Pines  MN
Circle Pines  MN,Clinton Township  MI
Clinton Township  MI,Lynnville  IA
Lynnville  IA,Clinton Township  MI
Jacksonville  FL,Parlin  NJ
Parlin  NJ,Jacksonville  FL
Jacksonville  FL,Lakewood  CA
Lakewood  CA,Jacksonville  FL
Jacksonville  FL,Moundsville  WV
Moundsville  WV,Jacksonville  FL
Jacksonville  FL,Levittown  NY
Levittown  NY,Jacksonville  FL
Jacksonville  FL,Gilbert  AZ
Gilbert  AZ,Jacksonville  FL
Jacksonville  FL,Santa Monica  CA
Santa Monica  CA,Jacksonville  FL
