origin,destination
Lawai  HI,Grand Blanc  MI
Grand Blanc  MI,Lawai  HI
Lawai  HI,Devils Lake  ND
Devils Lake  ND,Lawai  HI
Lawai  HI,Avoca  IA
Avoca  IA,Lawai  HI
Hamburg  MI,Seldon  NY
Seldon  NY,Hamburg  MI
Hamburg  MI,Lemon Grove  CA
Lemon Grove  CA,Hamburg  MI
Hamburg  MI,Gloucester  MA
Gloucester  MA,Hamburg  MI
Dallas  TX,Fort Wayne  IN
Fort Wayne  IN,Dallas  TX
Dallas  TX,Maple Valley  WA
Maple Valley  WA,Dallas  TX
Dallas  TX,Phoenix  AZ
Phoenix  AZ,Dallas  TX
Dallas  TX,SAINT LOUIS--CITY  MO
SAINT LOUIS--CITY  MO,Dallas  TX
Dallas  TX,Anthem  AZ
Anthem  AZ,Dallas  TX
Dallas  TX,Concord  CA
Concord  CA,Dallas  TX
Pomona  MO,North Tonawanda  NY
North Tonawanda  NY,Pomona  MO
Pomona  MO,Auburn  WA
Auburn  WA,Pomona  MO
Pomona  MO,Monticello  NY
Monticello  NY,Pomona  MO
Pomona  MO,Schnecksville  PA
Schnecksville  PA,Pomona  MO
Pomona  MO,Beaverton  OR
Beaverton  OR,Pomona  MO
Portland  OR,Brooklyn Park  MN
Brooklyn Park  MN,Portland  OR
Portland  OR,Ardmore  OK
Ardmore  OK,Portland  OR
Portland  OR,Lake Havasu City  AZ
Lake Havasu City  AZ,Portland  OR
Portland  OR,Darrington  WA
Darrington  WA,Portland  OR
Portland  OR,Corvallis  OR
Corvallis  OR,Portland  OR
Pueblo  CO,Tonawanda  NY
Tonawanda  NY,Pueblo  CO
Pueblo  CO,Thorntown  IN
Thorntown  IN,Pueblo  CO
Pueblo  CO,Forks  WA
Forks  WA,Pueblo  CO
Pueblo  CO,Milton  WV
Milton  WV,Pueblo  CO
Pueblo  CO,Roswell  NM
Roswell  NM,Pueblo  CO
Fresno  CA,West Chester  PA
West Chester  PA,Fresno  CA
Fresno  CA,Hollywood  CA
Hollywood  CA,Fresno  CA
Mesa  AZ,Gilbert  AZ
Gilbert  AZ,Mesa  AZ
Mesa  AZ,Beaver  OH
Beaver  OH,Mesa  AZ
Mesa  AZ,Carlsbad  NM
Carlsbad  NM,Mesa  AZ
Mesa  AZ,Beaver  PA
Beaver  PA,Mesa  AZ
Las Vegas  NV,Russellville  AR
Russellville  AR,Las Vegas  NV
Las Vegas  NV,Longwood  FL
Longwood  FL,Las Vegas  NV
Las Vegas  NV,Glen Allen  VA
Glen Allen  VA,Las Vegas  NV
Las Vegas  NV,Mankato  MN
Mankato  MN,Las Vegas  NV
Norwalk  CT,Gilbert  AZ
Gilbert  AZ,Norwalk  CT
Norwalk  CT,Bloomington  CA
Bloomington  CA,Norwalk  CT
Norwalk  CT,Springfield  MO
Springfield  MO,Norwalk  CT
Norwalk  CT,Alexandria  KY
Alexandria  KY,Norwalk  CT
Miami  FL,Cupertino  CA
Cupertino  CA,Miami  FL
Miami  FL,Concord  NH
Concord  NH,Miami  FL
Miami  FL,Madison  OH
Madison  OH,Miami  FL
Miami  FL,Raleigh  NC
Raleigh  NC,Miami  FL
Miami  FL,Kittery  ME
Kittery  ME,Miami  FL
Miami  FL,Greenville  NC
Greenville  NC,Miami  FL
Miami  FL,North Pole  AK
North Pole  AK,Miami  FL
Beaver  PA,Austin  TX
Austin  TX,Beaver  PA
Beaver  PA,Waldorf  MD
Waldorf  MD,Beaver  PA
Beaver  PA,Redwood Valley  CA
Redwood Valley  CA,Beaver  PA
