origin,destination
Taneytown  MD,Sartell  MN
Sartell  MN,Taneytown  MD
Taneytown  MD,Lexington  IN
Lexington  IN,Taneytown  MD
Taneytown  MD,Fresno  CA
Fresno  CA,Taneytown  MD
Harrisonburg  VA,Iota  LA
Iota  LA,Harrisonburg  VA
Harrisonburg  VA,Seattle  WA
Seattle  WA,Harrisonburg  VA
Harrisonburg  VA,San Dimas  CA
San Dimas  CA,Harrisonburg  VA
Harrisonburg  VA,Terre Haute  IN
Terre Haute  IN,Harrisonburg  VA
Harrisonburg  VA,Grass Valley  CA
Grass Valley  CA,Harrisonburg  VA
Harrisonburg  VA,Wickenberg  AZ
Wickenberg  AZ,Harrisonburg  VA
Harrisonburg  VA,Fort Greely  AK
Fort Greely  AK,Harrisonburg  VA
Harrisonburg  VA,Conover  NC
Conover  NC,Harrisonburg  VA
Youngstown  OH,Woodsville  NH
Woodsville  NH,Youngstown  OH
Youngstown  OH,McMurray  PA
McMurray  PA,Youngstown  OH
Youngstown  OH,Vassalboro  ME
Vassalboro  ME,Youngstown  OH
Youngstown  OH,Alexandria  KY
Alexandria  KY,Youngstown  OH
Youngstown  OH,Buffalo  NY
Buffalo  NY,Youngstown  OH
Youngstown  OH,Canfield  OH
Canfield  OH,Youngstown  OH
Youngstown  OH,Parksley  VA
Parksley  VA,Youngstown  OH
Youngstown  OH,Conway  NH
Conway  NH,Youngstown  OH
Youngstown  OH,Heidelburg  MS
Heidelburg  MS,Youngstown  OH
Youngstown  OH,Danville  VA
Danville  VA,Youngstown  OH
Mims  FL,Frankfort  IL
Frankfort  IL,Mims  FL
Mims  FL,Preble  NY
Preble  NY,Mims  FL
Mims  FL,Honolulu  HI
Honolulu  HI,Mims  FL
Mims  FL,Taylors  SC
Taylors  SC,Mims  FL
Mims  FL,Murrieta  CA
Murrieta  CA,Mims  FL
Mims  FL,Auburn  WA
Auburn  WA,Mims  FL
Mineral  VA,Marathon  FL
Marathon  FL,Mineral  VA
Mineral  VA,Key West  FL
Key West  FL,Mineral  VA
Mineral  VA,Smiths Station  AL
Smiths Station  AL,Mineral  VA
Elmira  NY,Newport Beach  CA
Newport Beach  CA,Elmira  NY
Elmira  NY,Cape Fair  MO
Cape Fair  MO,Elmira  NY
Colorado Springs  CO,Wappingers Falls  NY
Wappingers Falls  NY,Colorado Springs  CO
Colorado Springs  CO,Spring Hill  TN
Spring Hill  TN,Colorado Springs  CO
Colorado Springs  CO,Woodbridge  VA
Woodbridge  VA,Colorado Springs  CO
Colorado Springs  CO,Des Allemands  LA
Des Allemands  LA,Colorado Springs  CO
Colorado Springs  CO,Canon City  CO
Canon City  CO,Colorado Springs  CO
Inver Grove Heights  MN,Rockville  MD
Rockville  MD,Inver Grove Heights  MN
Inver Grove Heights  MN,Carlsbad  CA
Carlsbad  CA,Inver Grove Heights  MN
Inver Grove Heights  MN,Baton Rouge  LA
Baton Rouge  LA,Inver Grove Heights  MN
Inver Grove Heights  MN,Sewell  NJ
Sewell  NJ,Inver Grove Heights  MN
