origin,destination
Lumberton  TX,Kingston  AR
Kingston  AR,Lumberton  TX
Lumberton  TX,Mason  MI
Mason  MI,Lumberton  TX
Lumberton  TX,Purchase  NY
Purchase  NY,Lumberton  TX
Lumberton  TX,Washington  PA
Washington  PA,Lumberton  TX
Lumberton  TX,Monument Valley  UT
Monument Valley  UT,Lumberton  TX
Lumberton  TX,Harrisburg  PA
Harrisburg  PA,Lumberton  TX
Lumberton  TX,Wartrace  TN
Wartrace  TN,Lumberton  TX
Fontana  CA,Las Vegas  NV
Las Vegas  NV,Fontana  CA
Fontana  CA,Lagrange  KY
Lagrange  KY,Fontana  CA
Seattle  WA,Lakewood  CO
Lakewood  CO,Seattle  WA
Seattle  WA,Bellflower  CA
Bellflower  CA,Seattle  WA
Phillipsburg  PA,Olathe  KS
Olathe  KS,Phillipsburg  PA
Phillipsburg  PA,Nikishi  AK
Nikishi  AK,Phillipsburg  PA
Phillipsburg  PA,Baltimore  MD
Baltimore  MD,Phillipsburg  PA
Petoskey  MI,Cheboygan  MI
Cheboygan  MI,Petoskey  MI
Petoskey  MI,Groton  CT
Groton  CT,Petoskey  MI
Bakersfield  CA,Long Beach  CA
Long Beach  CA,Bakersfield  CA
Bakersfield  CA,Lacoochee  FL
Lacoochee  FL,Bakersfield  CA
Bakersfield  CA,Gretna  LA
Gretna  LA,Bakersfield  CA
Bakersfield  CA,Los Angeles  CA
Los Angeles  CA,Bakersfield  CA
Bakersfield  CA,Kelso  WA
Kelso  WA,Bakersfield  CA
Bakersfield  CA,Monrovia  CA
Monrovia  CA,Bakersfield  CA
Redding  CA,Gilman  VT
Gilman  VT,Redding  CA
Redding  CA,La Crosse  WI
La Crosse  WI,Redding  CA
Redding  CA,Socorro  NM
Socorro  NM,Redding  CA
Edmonds  WA,Rochester  MN
Rochester  MN,Edmonds  WA
Edmonds  WA,Gunteersville  AL
Gunteersville  AL,Edmonds  WA
Bishop  CA,Santa Barbara  CA
Santa Barbara  CA,Bishop  CA
Bishop  CA,Gold River  CA
Gold River  CA,Bishop  CA
Langley  WA,Merced  CA
Merced  CA,Langley  WA
Langley  WA,Lake Nacemiento  CA
Lake Nacemiento  CA,Langley  WA
Langley  WA,McAllen  TX
McAllen  TX,Langley  WA
Idaho Falls  ID,Mile 69  WY
Mile 69  WY,Idaho Falls  ID
Idaho Falls  ID,Fort Walton Beach  Fl
Fort Walton Beach  Fl,Idaho Falls  ID
Idaho Falls  ID,Holopaw  FL
Holopaw  FL,Idaho Falls  ID
