origin,destination
Middletown  PA,Everett  WA
Everett  WA,Middletown  PA
Middletown  PA,Dublin  HI
Dublin  HI,Middletown  PA
Middletown  PA,Bourbonnais  IL
Bourbonnais  IL,Middletown  PA
Middletown  PA,Diamond Bar  CA
Diamond Bar  CA,Middletown  PA
Middletown  PA,Arlington  VT
Arlington  VT,Middletown  PA
Middletown  PA,Grand Rapids  MI
Grand Rapids  MI,Middletown  PA
Middletown  PA,Plano  TX
Plano  TX,Middletown  PA
Dublin  NH,Heber  AZ
Heber  AZ,Dublin  NH
Dublin  NH,Beatty  OR
Beatty  OR,Dublin  NH
Dublin  NH,Alhambra  CA
Alhambra  CA,Dublin  NH
Dublin  NH,Knoxville  TN
Knoxville  TN,Dublin  NH
