origin,destination
Miami  FL,Lexington  NC
Lexington  NC,Miami  FL
Miami  FL,Fairfiled  ID
Fairfiled  ID,Miami  FL
Miami  FL,Macomb  IL
Macomb  IL,Miami  FL
Miami  FL,Boston  MA
Boston  MA,Miami  FL
Miami  FL,Beardstown  IL
Beardstown  IL,Miami  FL
Miami  FL,Tulsa  OK
Tulsa  OK,Miami  FL
Miami  FL,Westminster  CO
Westminster  CO,Miami  FL
Miami  FL,Colorado City  TX
Colorado City  TX,Miami  FL
Miami  FL,Hanford Nuclear Reservation  WA
Hanford Nuclear Reservation  WA,Miami  FL
Miami  FL,San Bernardino  CA
San Bernardino  CA,Miami  FL
Miami  FL,Carrollton  TX
Carrollton  TX,Miami  FL
Miami  FL,Hamden  CT
Hamden  CT,Miami  FL
Miami  FL,Elizabeth  NJ
Elizabeth  NJ,Miami  FL
Miami  FL,El Cajon  CA
El Cajon  CA,Miami  FL
Miami  FL,San Jose  CA
San Jose  CA,Miami  FL
Miami  FL,Smithville  TX
Smithville  TX,Miami  FL
Bremerton  WA,Tidewater  OR
Tidewater  OR,Bremerton  WA
Bremerton  WA,Verona  PA
Verona  PA,Bremerton  WA
Bremerton  WA,Bowie  TX
Bowie  TX,Bremerton  WA
Bremerton  WA,North Bend  OR
North Bend  OR,Bremerton  WA
Bremerton  WA,Winston-Salem  NC
Winston-Salem  NC,Bremerton  WA
Bremerton  WA,Latonia  KY
Latonia  KY,Bremerton  WA
Loganville  GA,Akron  OH
Akron  OH,Loganville  GA
Loganville  GA,Sioux Falls  SD
Sioux Falls  SD,Loganville  GA
Loganville  GA,Rossville  IL
Rossville  IL,Loganville  GA
Loganville  GA,Frazier Park  CA
Frazier Park  CA,Loganville  GA
Loganville  GA,Colorado Springs  CO
Colorado Springs  CO,Loganville  GA
Erie  PA,Oklahoma City  OK
Oklahoma City  OK,Erie  PA
Erie  PA,Palatka  FL
Palatka  FL,Erie  PA
Erie  PA,Newhall  CA
Newhall  CA,Erie  PA
Erie  PA,Fairview Heights  IL
