origin,destination
El Toro  CA,Knoxville  IA
Knoxville  IA,El Toro  CA
El Toro  CA,Indianapolis  IN
Indianapolis  IN,El Toro  CA
El Toro  CA,Youngstown  OH
Youngstown  OH,El Toro  CA
El Toro  CA,Alliance  OH
Alliance  OH,El Toro  CA
El Toro  CA,Carpinteria  CA
Carpinteria  CA,El Toro  CA
La Crosse  WA,Lakeview  MI
Lakeview  MI,La Crosse  WA
La Crosse  WA,Oppenhium  NY
Oppenhium  NY,La Crosse  WA
Orem  UT,Fontana  CA
Fontana  CA,Orem  UT
Orem  UT,Gig Harbor  WA
Gig Harbor  WA,Orem  UT
Orem  UT,West Union  OH
West Union  OH,Orem  UT
