origin,destination
Moreno Valley  CA,Little Rock  AR
Little Rock  AR,Moreno Valley  CA
Moreno Valley  CA,Prairieville  LA
Prairieville  LA,Moreno Valley  CA
Moreno Valley  CA,Chicago  IL
Chicago  IL,Moreno Valley  CA
Moreno Valley  CA,New York City  NY
New York City  NY,Moreno Valley  CA
Moreno Valley  CA,Geneva  IL
Geneva  IL,Moreno Valley  CA
Moreno Valley  CA,Westlake  LA
Westlake  LA,Moreno Valley  CA
Pittsville  MO,Surprise (witnessed from)  AZ
Surprise (witnessed from)  AZ,Pittsville  MO
Pittsville  MO,Surprise  AZ
Surprise  AZ,Pittsville  MO
Pittsville  MO,Avon Lake  OH
Avon Lake  OH,Pittsville  MO
Pittsville  MO,Newton  MA
Newton  MA,Pittsville  MO
Houston  TX,Ferguson  MO
Ferguson  MO,Houston  TX
Houston  TX,Fallbrook  CA
Fallbrook  CA,Houston  TX
Houston  TX,Gig Harbor  WA
Gig Harbor  WA,Houston  TX
Houston  TX,Kansas City  MO
Kansas City  MO,Houston  TX
Houston  TX,Deweyville  TX
Deweyville  TX,Houston  TX
Atlanta  GA,Simpsonville  SC
Simpsonville  SC,Atlanta  GA
Atlanta  GA,Johnson County  KS
Johnson County  KS,Atlanta  GA
Broad Creek  NC,Costa Mesa  CA
Costa Mesa  CA,Broad Creek  NC
Broad Creek  NC,Bloomingburgh  NY
Bloomingburgh  NY,Broad Creek  NC
Broad Creek  NC,Braintree  MA
Braintree  MA,Broad Creek  NC
Portland  OR,Evansville  IN
Evansville  IN,Portland  OR
Portland  OR,Greenville  DE
Greenville  DE,Portland  OR
Portland  OR,Laguna Beach  CA
Laguna Beach  CA,Portland  OR
Portland  OR,Edinburg  IL
Edinburg  IL,Portland  OR
Portland  OR,Worcester County  MA
Worcester County  MA,Portland  OR
Decatur  GA,Salado  TX
Salado  TX,Decatur  GA
Decatur  GA,Riverside  CA
Riverside  CA,Decatur  GA
Decatur  GA,Shahola Falls  PA
Shahola Falls  PA,Decatur  GA
Decatur  GA,Camp Atturburry  IN
Camp Atturburry  IN,Decatur  GA
Decatur  GA,Lawton  OK
Lawton  OK,Decatur  GA
Decatur  GA,Knoxville  TN
Knoxville  TN,Decatur  GA
Molalla  OR,Riverside  CA
Riverside  CA,Molalla  OR
Molalla  OR,Portland  OR
Portland  OR,Molalla  OR
Molalla  OR,Covina  CA
Covina  CA,Molalla  OR
Molalla  OR,Melbourne  FL
Melbourne  FL,Molalla  OR
Molalla  OR,Candor  NY
Candor  NY,Molalla  OR
Molalla  OR,Milwaukee  WI
Milwaukee  WI,Molalla  OR
Randall  MN,Independence  MO
Independence  MO,Randall  MN
Randall  MN,Federal Heights  CO
Federal Heights  CO,Randall  MN
Randall  MN,Vacaville  CA
Vacaville  CA,Randall  MN
Randall  MN,Auburn  WA
Auburn  WA,Randall  MN
Randall  MN,Talladega  AL
Talladega  AL,Randall  MN
Millston  WI,Stafford Forge  NJ
Stafford Forge  NJ,Millston  WI
Millston  WI,Tuckerton  NJ
Tuckerton  NJ,Millston  WI
Jackson  NJ,Virginia  MN
Virginia  MN,Jackson  NJ
Jackson  NJ,Harrison  AR
Harrison  AR,Jackson  NJ
Jackson  NJ,Lancaster  CA
Lancaster  CA,Jackson  NJ
Jackson  NJ,Shakopee  MN
Shakopee  MN,Jackson  NJ
Jackson  NJ,Bushkill  PA
Bushkill  PA,Jackson  NJ
Jackson  NJ,Johnstown  PA
Johnstown  PA,Jackson  NJ
Jackson  NJ,Ladson  SC
Ladson  SC,Jackson  NJ
Jackson  NJ,Dexter  KY
Dexter  KY,Jackson  NJ
Jackson  NJ,Buttonwillow  CA
Buttonwillow  CA,Jackson  NJ
Jackson  NJ,Fair Lawn  NJ
Fair Lawn  NJ,Jackson  NJ
Jackson  NJ,Pittsburg  TX
Pittsburg  TX,Jackson  NJ
Jackson  NJ,New Rochelle  NY
New Rochelle  NY,Jackson  NJ
Jackson  NJ,Los Angeles  CA
Los Angeles  CA,Jackson  NJ
Jackson  NJ,Winter Haven  FL
Winter Haven  FL,Jackson  NJ
Bakersfield  CA,Wilmington  DE
Wilmington  DE,Bakersfield  CA
Bakersfield  CA,Glen Ridge  NJ
Glen Ridge  NJ,Bakersfield  CA
Bakersfield  CA,Bay City  OR
Bay City  OR,Bakersfield  CA
Bakersfield  CA,Jackson  TN
Jackson  TN,Bakersfield  CA
Bakersfield  CA,Fredericksburg  TX
Fredericksburg  TX,Bakersfield  CA
Cuba  MO,San Francisco  CA
San Francisco  CA,Cuba  MO
Cuba  MO,Brookville  PA
Brookville  PA,Cuba  MO
Santa Clarita  CA,Hudson  OH
Hudson  OH,Santa Clarita  CA
Santa Clarita  CA,Hampton  VA
Hampton  VA,Santa Clarita  CA
Santa Clarita  CA,Viola  WI
Viola  WI,Santa Clarita  CA
Santa Clarita  CA,Lancaster  CA
Lancaster  CA,Santa Clarita  CA
Santa Clarita  CA,Augusta  KS
Augusta  KS,Santa Clarita  CA
Santa Clarita  CA,Glenn Ellyn  IL
Glenn Ellyn  IL,Santa Clarita  CA
Santa Clarita  CA,Index  WA
Index  WA,Santa Clarita  CA
Santa Clarita  CA,Benedicta  ME
Benedicta  ME,Santa Clarita  CA
New Smyrna Beach  FL,Bauxite  AR
Bauxite  AR,New Smyrna Beach  FL
New Smyrna Beach  FL,NASA-INTERNET TV  TX
NASA-INTERNET TV  TX,New Smyrna Beach  FL
Houston  TX,Dayton  OH
Dayton  OH,Houston  TX
Houston  TX,Paso Robles  CA
Paso Robles  CA,Houston  TX
Houston  TX,Visalia  CA
Visalia  CA,Houston  TX
Houston  TX,Gardner  KS
Gardner  KS,Houston  TX
Sun Prairie  WI,Tulsa  OK
Tulsa  OK,Sun Prairie  WI
Sun Prairie  WI,Cleveland  TN
Cleveland  TN,Sun Prairie  WI
Phoenix  AZ,Dallas  TX
Dallas  TX,Phoenix  AZ
Phoenix  AZ,Cottage Hills  IL
Cottage Hills  IL,Phoenix  AZ
Phoenix  AZ,Victor  NY
Victor  NY,Phoenix  AZ
Littleton  CO,South Pasadena  CA
South Pasadena  CA,Littleton  CO
Littleton  CO,Burbank  CA
Burbank  CA,Littleton  CO
Littleton  CO,Jersey City  NJ
Jersey City  NJ,Littleton  CO
Littleton  CO,Yuma  AZ
Yuma  AZ,Littleton  CO
Littleton  CO,Newton  NH
Newton  NH,Littleton  CO
Cincinnati  OH,Los Angeles  CA
Los Angeles  CA,Cincinnati  OH
Cincinnati  OH,Lake Havasu  AZ
Lake Havasu  AZ,Cincinnati  OH
Decatur  TX,Fresno  CA
Fresno  CA,Decatur  TX
Decatur  TX,Sacramento  CA
Sacramento  CA,Decatur  TX
Decatur  TX,White Sands  NM
White Sands  NM,Decatur  TX
Decatur  TX,Maricopa  CA
Maricopa  CA,Decatur  TX
Sioux Falls  SD,Tallahassee  FL
Tallahassee  FL,Sioux Falls  SD
Sioux Falls  SD,Clovis  CA
Clovis  CA,Sioux Falls  SD
Prescott Valley  AZ,Fort Morgan  AL
Fort Morgan  AL,Prescott Valley  AZ
