origin,destination
San Francisco  CA,Greenfield  IN
Greenfield  IN,San Francisco  CA
San Francisco  CA,Sunnyside  WA
Sunnyside  WA,San Francisco  CA
San Francisco  CA,Memphis  TN
Memphis  TN,San Francisco  CA
San Francisco  CA,Bartlett  IL
Bartlett  IL,San Francisco  CA
Covington  WA,Shelby  OH
Shelby  OH,Covington  WA
Covington  WA,Pampa  TX
Pampa  TX,Covington  WA
Covington  WA,Braceville  OH
Braceville  OH,Covington  WA
Covington  WA,Wells  ME
Wells  ME,Covington  WA
Covington  WA,Hayward  WI
Hayward  WI,Covington  WA
Covington  WA,Flemington  FL
Flemington  FL,Covington  WA
