origin,destination
Twenty Nine Palms  CA,Little Falls  NY
Little Falls  NY,Twenty Nine Palms  CA
Twenty Nine Palms  CA,Fort Valley  GA
Fort Valley  GA,Twenty Nine Palms  CA
Twenty Nine Palms  CA,North Miami Beach  FL
North Miami Beach  FL,Twenty Nine Palms  CA
Campbellsville  KY,Bistolville  OH
Bistolville  OH,Campbellsville  KY
Campbellsville  KY,Wenatchee  WA
Wenatchee  WA,Campbellsville  KY
Campbellsville  KY,West New York  NJ
West New York  NJ,Campbellsville  KY
Campbellsville  KY,Gaithersburg  MD
Gaithersburg  MD,Campbellsville  KY
Stone Mountain  GA,Cass City  MI
Cass City  MI,Stone Mountain  GA
Stone Mountain  GA,North Platte  NE
North Platte  NE,Stone Mountain  GA
