origin,destination
Marathon County  WI,Sturgeon Bay  WI
Sturgeon Bay  WI,Marathon County  WI
Marathon County  WI,Coxsackie  NY
Coxsackie  NY,Marathon County  WI
Marathon County  WI,Roseburg  OR
Roseburg  OR,Marathon County  WI
Marathon County  WI,Kneeland  CA
Kneeland  CA,Marathon County  WI
Albuquerque  NM,Gula  AK
Gula  AK,Albuquerque  NM
Albuquerque  NM,Lee Vining  CA
Lee Vining  CA,Albuquerque  NM
Albuquerque  NM,Sag Harbor  NY
Sag Harbor  NY,Albuquerque  NM
Albuquerque  NM,Burien  WA
Burien  WA,Albuquerque  NM
Albuquerque  NM,Westford  MA
Westford  MA,Albuquerque  NM
