origin,destination
Seattle  WA,Port Hadlock  WA
Port Hadlock  WA,Seattle  WA
Seattle  WA,Castro Valley  CA
Castro Valley  CA,Seattle  WA
Seattle  WA,Rainier  WA
Rainier  WA,Seattle  WA
Seattle  WA,Edmonds  WA
Edmonds  WA,Seattle  WA
Seattle  WA,Oakland  CA
Oakland  CA,Seattle  WA
Seattle  WA,Courtland  VA
Courtland  VA,Seattle  WA
Seattle  WA,Grants  NM
Grants  NM,Seattle  WA
Seattle  WA,Santa Fe  NM
Santa Fe  NM,Seattle  WA
Seattle  WA,Athol  ID
Athol  ID,Seattle  WA
Seattle  WA,Germantown  MD
Germantown  MD,Seattle  WA
Seattle  WA,Orlando  FL
Orlando  FL,Seattle  WA
Seattle  WA,Monroe  WI
Monroe  WI,Seattle  WA
Seattle  WA,Riverton  UT
Riverton  UT,Seattle  WA
Seattle  WA,Kingston  NY
Kingston  NY,Seattle  WA
Seattle  WA,Nebraska City  NE
Nebraska City  NE,Seattle  WA
Seattle  WA,Winslow  AZ
Winslow  AZ,Seattle  WA
Watertown  NY,Northford  CT
Northford  CT,Watertown  NY
Watertown  NY,Santa Fe  NM
Santa Fe  NM,Watertown  NY
Augusta  GA,Palmdale  CA
Palmdale  CA,Augusta  GA
Augusta  GA,Morrisville  NC
Morrisville  NC,Augusta  GA
Augusta  GA,Smithville  TN
Smithville  TN,Augusta  GA
Augusta  GA,Olive Branch  MS
Olive Branch  MS,Augusta  GA
Pueblo West  CO,El Paso  TX
El Paso  TX,Pueblo West  CO
Pueblo West  CO,Alhambra  CA
Alhambra  CA,Pueblo West  CO
Pueblo West  CO,Newport Township  PA
Newport Township  PA,Pueblo West  CO
Pueblo West  CO,Quartzite  AZ
Quartzite  AZ,Pueblo West  CO
Pueblo West  CO,Houston  TX
Houston  TX,Pueblo West  CO
Boulder  CO,Lander  WY
Lander  WY,Boulder  CO
Boulder  CO,Taos  NM
Taos  NM,Boulder  CO
Boulder  CO,Provo  UT
Provo  UT,Boulder  CO
Boulder  CO,Farmingdale  NY
Farmingdale  NY,Boulder  CO
Boulder  CO,Union  NJ
Union  NJ,Boulder  CO
Boulder  CO,Harrisonville  IL
Harrisonville  IL,Boulder  CO
Boulder  CO,Denver  CO
Denver  CO,Boulder  CO
Boulder  CO,Corcoran  MN
Corcoran  MN,Boulder  CO
Boulder  CO,Inwood  NY
Inwood  NY,Boulder  CO
Boulder  CO,none  AZ
none  AZ,Boulder  CO
Boulder  CO,Spring Hill  FL
Spring Hill  FL,Boulder  CO
Boulder  CO,Grifton  NC
Grifton  NC,Boulder  CO
Boulder  CO,North Las Vegas  NV
North Las Vegas  NV,Boulder  CO
Camden  AR,San Bernardino  CA
San Bernardino  CA,Camden  AR
Camden  AR,Jersey City  NJ
Jersey City  NJ,Camden  AR
Camden  AR,Rome  NY
Rome  NY,Camden  AR
Camden  AR,Hayward  CA
Hayward  CA,Camden  AR
Camden  AR,Plymouth Meeting  PA
Plymouth Meeting  PA,Camden  AR
Camden  AR,Longmont  CO
Longmont  CO,Camden  AR
Camden  AR,Melbourne Village  FL
Melbourne Village  FL,Camden  AR
Camden  AR,Castle Rock  CO
Castle Rock  CO,Camden  AR
Camden  AR,Port Orchard  WA
Port Orchard  WA,Camden  AR
Camden  AR,Eugene  OR
Eugene  OR,Camden  AR
Camden  AR,Sky City  NM
Sky City  NM,Camden  AR
Golden  CO,Forest Park  IL
Forest Park  IL,Golden  CO
Golden  CO,Lone Pine  CA
Lone Pine  CA,Golden  CO
Hayward  WI,Philomath  OR
Philomath  OR,Hayward  WI
Hayward  WI,Seattle  WA
Seattle  WA,Hayward  WI
Hayward  WI,Cincinnati  OH
Cincinnati  OH,Hayward  WI
Hayward  WI,Portland  OR
Portland  OR,Hayward  WI
Reno  NV,Springfield  MO
Springfield  MO,Reno  NV
Reno  NV,Dallas  TX
Dallas  TX,Reno  NV
Reno  NV,Randolph  MA
Randolph  MA,Reno  NV
Renton  WA,Rose Lake  ID
Rose Lake  ID,Renton  WA
Renton  WA,Prescott  AZ
Prescott  AZ,Renton  WA
Renton  WA,Redmond  WA
Redmond  WA,Renton  WA
Renton  WA,Boca Raton  FL
Boca Raton  FL,Renton  WA
Renton  WA,San Francisco  CA
San Francisco  CA,Renton  WA
Renton  WA,San Leandro  CA
San Leandro  CA,Renton  WA
Renton  WA,Winfield  TX
Winfield  TX,Renton  WA
Renton  WA,Tinton Falls  NJ
Tinton Falls  NJ,Renton  WA
Renton  WA,Paris  TX
Paris  TX,Renton  WA
Chicago  IL,Eastman  GA
Eastman  GA,Chicago  IL
Chicago  IL,Alameda  CA
Alameda  CA,Chicago  IL
Chicago  IL,Port Angeles  WA
Port Angeles  WA,Chicago  IL
Chicago  IL,Mary Esther  FL
Mary Esther  FL,Chicago  IL
Chicago  IL,Smithfield  NC
Smithfield  NC,Chicago  IL
Chicago  IL,Ship Bottom  NJ
Ship Bottom  NJ,Chicago  IL
Chicago  IL,Heltonville  IN
Heltonville  IN,Chicago  IL
San Jose  CA,Littleton  CO
