origin,destination
Maysville  KY,State College  PA
State College  PA,Maysville  KY
Maysville  KY,Syracuse  NY
Syracuse  NY,Maysville  KY
Maysville  KY,Cedar Rapids  IA
Cedar Rapids  IA,Maysville  KY
Turlock  CA,Austin  TX
Austin  TX,Turlock  CA
Turlock  CA,Norton  KS
Norton  KS,Turlock  CA
Turlock  CA,Bee Caves  TX
Bee Caves  TX,Turlock  CA
Sedona  AZ,Azle  TX
Azle  TX,Sedona  AZ
Sedona  AZ,Winthrop  WA
Winthrop  WA,Sedona  AZ
Sedona  AZ,Austin  TX
Austin  TX,Sedona  AZ
Porter  TX,Wright City  MO
Wright City  MO,Porter  TX
Porter  TX,College  UT
College  UT,Porter  TX
Porter  TX,Greenwich  CT
Greenwich  CT,Porter  TX
Cottonwood  AZ,Edinboro  PA
Edinboro  PA,Cottonwood  AZ
Cottonwood  AZ,Petaluma  CA
Petaluma  CA,Cottonwood  AZ
Cottonwood  AZ,Valley Springs  CA
Valley Springs  CA,Cottonwood  AZ
Palm Beach Gardens  FL,Asheville  NC
Asheville  NC,Palm Beach Gardens  FL
Palm Beach Gardens  FL,Great River  NY
Great River  NY,Palm Beach Gardens  FL
Palm Beach Gardens  FL,Bouse  AZ
Bouse  AZ,Palm Beach Gardens  FL
Palm Beach Gardens  FL,Mesquite  TX
Mesquite  TX,Palm Beach Gardens  FL
Palm Beach Gardens  FL,South Bend  IN
South Bend  IN,Palm Beach Gardens  FL
Palm Beach Gardens  FL,Londonderry  NH
Londonderry  NH,Palm Beach Gardens  FL
Palm Beach Gardens  FL,College Station  TX
College Station  TX,Palm Beach Gardens  FL
Palm Beach Gardens  FL,Waco  TX
Waco  TX,Palm Beach Gardens  FL
Palm Beach Gardens  FL,Sorrento  FL
Sorrento  FL,Palm Beach Gardens  FL
Louisville  KY,Los Angeles  CA
Los Angeles  CA,Louisville  KY
Louisville  KY,Jupiter  FL
Jupiter  FL,Louisville  KY
Louisville  KY,North Pole  AK
North Pole  AK,Louisville  KY
Austin  TX,Saxton  PA
Saxton  PA,Austin  TX
Austin  TX,Skies over Sierra Nevada  CA
Skies over Sierra Nevada  CA,Austin  TX
Austin  TX,Syracuse  NY
Syracuse  NY,Austin  TX
Huntington  UT,Winnsboro  LA
Winnsboro  LA,Huntington  UT
Huntington  UT,Laguna Park  TX
Laguna Park  TX,Huntington  UT
Huntington  UT,Arlington  VA
Arlington  VA,Huntington  UT
Huntington  UT,Wichita  KS
Wichita  KS,Huntington  UT
