origin,destination
Sun Prairie  WI,Killawog  NY
Killawog  NY,Sun Prairie  WI
Sun Prairie  WI,Brockton  MA
Brockton  MA,Sun Prairie  WI
Sun Prairie  WI,Zanesville  OH
Zanesville  OH,Sun Prairie  WI
Sun Prairie  WI,White Sands  NM
White Sands  NM,Sun Prairie  WI
Reno  NV,Amsterdam  NY
Amsterdam  NY,Reno  NV
Reno  NV,Alden  NY
Alden  NY,Reno  NV
Huntington  NY,Lebanon  OR
Lebanon  OR,Huntington  NY
Huntington  NY,Watertown  CT
Watertown  CT,Huntington  NY
Massillon  OH,Seattle  WA
Seattle  WA,Massillon  OH
Massillon  OH,Cannon  NH
Cannon  NH,Massillon  OH
Massillon  OH,Gresham  OR
Gresham  OR,Massillon  OH
Massillon  OH,Phoenix  AZ
Phoenix  AZ,Massillon  OH
Edwards AFB  CA,Starkey  OR
Starkey  OR,Edwards AFB  CA
Edwards AFB  CA,Carmichael  CA
Carmichael  CA,Edwards AFB  CA
Edwards AFB  CA,Duarte  CA
Duarte  CA,Edwards AFB  CA
Edwards AFB  CA,Madison  WI
Madison  WI,Edwards AFB  CA
Edwards AFB  CA,Ozark  MO
Ozark  MO,Edwards AFB  CA
Edwards AFB  CA,Santa Fe  TX
Santa Fe  TX,Edwards AFB  CA
Tampa  FL,Framingham  MA
Framingham  MA,Tampa  FL
Tampa  FL,Neah Bay  WA
Neah Bay  WA,Tampa  FL
Dayton  OR,Silver Beach  NY
Silver Beach  NY,Dayton  OR
Dayton  OR,Lake Forest  IL
Lake Forest  IL,Dayton  OR
Portland  OR,McKenzie  TN
McKenzie  TN,Portland  OR
Portland  OR,Kalama  WA
Kalama  WA,Portland  OR
Portland  OR,Killawog  NY
Killawog  NY,Portland  OR
Portland  OR,Geneva  OH
Geneva  OH,Portland  OR
Portland  OR,Wasilla  AK
Wasilla  AK,Portland  OR
Portland  OR,Sage  CA
Sage  CA,Portland  OR
Hillsborough  NJ,Lake Oswego  OR
Lake Oswego  OR,Hillsborough  NJ
Hillsborough  NJ,Freeport  TX
Freeport  TX,Hillsborough  NJ
Federal Way  WA,Glendale  CA
Glendale  CA,Federal Way  WA
Federal Way  WA,Marietta  GA
Marietta  GA,Federal Way  WA
Kansas City  MO,Charlotte  NC
Charlotte  NC,Kansas City  MO
Kansas City  MO,Mesquite  TX
Mesquite  TX,Kansas City  MO
Fox Chapel  PA,Phoenix  AZ
Phoenix  AZ,Fox Chapel  PA
Fox Chapel  PA,Woburn  MA
Woburn  MA,Fox Chapel  PA
Woodland  ME,Brawley  CA
Brawley  CA,Woodland  ME
Woodland  ME,Kent  NE
Kent  NE,Woodland  ME
Jeannette  PA,Brentwood  TN
Brentwood  TN,Jeannette  PA
Jeannette  PA,East Aurora  IL
East Aurora  IL,Jeannette  PA
Jeannette  PA,San Luis Obispo  CA
San Luis Obispo  CA,Jeannette  PA
Tacoma  WA,Hialeah  FL
Hialeah  FL,Tacoma  WA
Tacoma  WA,Arlington  WA
Arlington  WA,Tacoma  WA
Tacoma  WA,Southside  AL
Southside  AL,Tacoma  WA
Bellevue  WA,Eagle Creek  OR
Eagle Creek  OR,Bellevue  WA
Bellevue  WA,Shelton  WA
Shelton  WA,Bellevue  WA
Fairfield  CA,Auburn  WA
Auburn  WA,Fairfield  CA
Fairfield  CA,Jamestown  CA
Jamestown  CA,Fairfield  CA
