origin,destination
Brooksville  FL,Seattle  WA
Seattle  WA,Brooksville  FL
Brooksville  FL,Peebles  OH
Peebles  OH,Brooksville  FL
Pensacola  FL,Camarillo  CA
Camarillo  CA,Pensacola  FL
Pensacola  FL,Newtown  CT
Newtown  CT,Pensacola  FL
Pensacola  FL,Gulf Breeze  FL
Gulf Breeze  FL,Pensacola  FL
Pensacola  FL,Memphis  TN
Memphis  TN,Pensacola  FL
I-10  Marker 174  NM,Upland  CA
Upland  CA,I-10  Marker 174  NM
I-10  Marker 174  NM,Fredericksburg  TX
Fredericksburg  TX,I-10  Marker 174  NM
Simi Valley  CA,Detroit  MI
Detroit  MI,Simi Valley  CA
Simi Valley  CA,Karnak  IL
Karnak  IL,Simi Valley  CA
Simi Valley  CA,Greensboro  NC
Greensboro  NC,Simi Valley  CA
Issaquah  WA,West Covina  CA
West Covina  CA,Issaquah  WA
Issaquah  WA,Vashon Island  WA
Vashon Island  WA,Issaquah  WA
Stevens Pass  WA,Everett  WA
Everett  WA,Stevens Pass  WA
Stevens Pass  WA,Spokane  WA
Spokane  WA,Stevens Pass  WA
Eugene  OR,Salinas  CA
Salinas  CA,Eugene  OR
Eugene  OR,The Woodlands  TX
The Woodlands  TX,Eugene  OR
Highway 37  CA,Hurst  TX
Hurst  TX,Highway 37  CA
Highway 37  CA,Rockford  IL
Rockford  IL,Highway 37  CA
Gardner  MA,Tulsa  OK
Tulsa  OK,Gardner  MA
Gardner  MA,Tucson  AZ
Tucson  AZ,Gardner  MA
