origin,destination
Meridian  ID,College Station  TX
College Station  TX,Meridian  ID
Meridian  ID,Stratford  OK
Stratford  OK,Meridian  ID
Meridian  ID,Olathe  KS
Olathe  KS,Meridian  ID
Meridian  ID,Albany  NY
Albany  NY,Meridian  ID
Meridian  ID,Pratt  KS
Pratt  KS,Meridian  ID
Meridian  ID,Parkside  PA
Parkside  PA,Meridian  ID
Meridian  ID,Clinton Township  MI
Clinton Township  MI,Meridian  ID
Simpsonville  SC,Harlingen  TX
Harlingen  TX,Simpsonville  SC
Simpsonville  SC,Newark  DE
Newark  DE,Simpsonville  SC
Simpsonville  SC,Andover  MN
Andover  MN,Simpsonville  SC
Simpsonville  SC,Colorado Springs  CO
Colorado Springs  CO,Simpsonville  SC
Simpsonville  SC,Wadsworth  IL
Wadsworth  IL,Simpsonville  SC
Simpsonville  SC,Las Cruces  NM
Las Cruces  NM,Simpsonville  SC
Santa Ana  CA,Denver near Aurora  CO
Denver near Aurora  CO,Santa Ana  CA
Santa Ana  CA,Grand Rapids  MI
Grand Rapids  MI,Santa Ana  CA
Santa Ana  CA,Crystal Lake  IL
Crystal Lake  IL,Santa Ana  CA
Santa Ana  CA,Chicago  IL
Chicago  IL,Santa Ana  CA
Santa Ana  CA,Louisville  KY
Louisville  KY,Santa Ana  CA
Fort Worth  TX,Mill Valley  CA
Mill Valley  CA,Fort Worth  TX
Fort Worth  TX,Oak Ridge  TN
Oak Ridge  TN,Fort Worth  TX
Fort Worth  TX,Vancouver  WA
Vancouver  WA,Fort Worth  TX
Fort Worth  TX,Culbertson  MT
Culbertson  MT,Fort Worth  TX
Fort Worth  TX,Yakima  WA
Yakima  WA,Fort Worth  TX
Fort Worth  TX,Simi Valley  CA
Simi Valley  CA,Fort Worth  TX
Fort Worth  TX,Chicago area  IL
Chicago area  IL,Fort Worth  TX
Fort Worth  TX,San Ramon  CA
San Ramon  CA,Fort Worth  TX
Fort Worth  TX,Ormond Beach  FL
Ormond Beach  FL,Fort Worth  TX
Fort Worth  TX,Fresno  CA
Fresno  CA,Fort Worth  TX
Fort Worth  TX,Wisconsin Dells  WI
Wisconsin Dells  WI,Fort Worth  TX
Fort Worth  TX,Tampa  FL
Tampa  FL,Fort Worth  TX
Fort Worth  TX,East Bethel  MN
East Bethel  MN,Fort Worth  TX
Miami  FL,Green Bay  WI
Green Bay  WI,Miami  FL
Miami  FL,Portland  OR
Portland  OR,Miami  FL
Miami  FL,Glen Allen  VA
Glen Allen  VA,Miami  FL
Miami  FL,El Paso  TX
El Paso  TX,Miami  FL
Miami  FL,Key Largo  FL
Key Largo  FL,Miami  FL
Miami  FL,Phoenix  AZ
Phoenix  AZ,Miami  FL
Miami  FL,Howell  MI
Howell  MI,Miami  FL
Spokane  WA,Marion  IL
Marion  IL,Spokane  WA
Spokane  WA,Willow Springs  IL
Willow Springs  IL,Spokane  WA
Spokane  WA,Houston  TX
Houston  TX,Spokane  WA
Spokane  WA,Brick  NJ
Brick  NJ,Spokane  WA
Spokane  WA,Piedmount  MO
Piedmount  MO,Spokane  WA
Spokane  WA,Piedmont  MO
Piedmont  MO,Spokane  WA
Spokane  WA,Martinsville  IL
Martinsville  IL,Spokane  WA
Harwood  TX,Kernersville  NC
Kernersville  NC,Harwood  TX
Harwood  TX,Aurora  IL
Aurora  IL,Harwood  TX
Columbus  OH,Redmond  WA
Redmond  WA,Columbus  OH
Columbus  OH,Seattle  WA
Seattle  WA,Columbus  OH
Columbus  OH,Portland  OR
Portland  OR,Columbus  OH
Columbus  OH,College Place  WA
College Place  WA,Columbus  OH
Columbus  OH,Logansport  IN
Logansport  IN,Columbus  OH
Columbus  OH,Fox Lake  IL
Fox Lake  IL,Columbus  OH
Columbus  OH,Amarillo  TX
Amarillo  TX,Columbus  OH
Columbus  OH,Wichita  KS
Wichita  KS,Columbus  OH
Columbus  OH,Sanford  area  CO
Sanford  area  CO,Columbus  OH
Columbus  OH,Jackson  TN
Jackson  TN,Columbus  OH
Austin  TX,Phoenix  AZ
Phoenix  AZ,Austin  TX
Austin  TX,Lafayette  CA
Lafayette  CA,Austin  TX
Issaquah  WA,Bay City  MI
Bay City  MI,Issaquah  WA
Issaquah  WA,Baton Rouge  LA
Baton Rouge  LA,Issaquah  WA
Issaquah  WA,Athens  GA
Athens  GA,Issaquah  WA
Issaquah  WA,Rockwood  TN
Rockwood  TN,Issaquah  WA
Issaquah  WA,Pensacola  FL
Pensacola  FL,Issaquah  WA
Issaquah  WA,Spring Valley  CA
Spring Valley  CA,Issaquah  WA
Issaquah  WA,Westminster  CO
Westminster  CO,Issaquah  WA
Burns Harbor  IN,San Clemente  CA
San Clemente  CA,Burns Harbor  IN
Burns Harbor  IN,Clarksville  TN
Clarksville  TN,Burns Harbor  IN
Burns Harbor  IN,Leesburg  FL
Leesburg  FL,Burns Harbor  IN
Burns Harbor  IN,Southwest  OH
Southwest  OH,Burns Harbor  IN
Burns Harbor  IN,El Cajon  CA
El Cajon  CA,Burns Harbor  IN
South Lake Tahoe  CA,Miami Springs  FL
Miami Springs  FL,South Lake Tahoe  CA
South Lake Tahoe  CA,Murrieta  CA
Murrieta  CA,South Lake Tahoe  CA
South Lake Tahoe  CA,Koshkonong  MO
Koshkonong  MO,South Lake Tahoe  CA
South Lake Tahoe  CA,Davenport  IA
Davenport  IA,South Lake Tahoe  CA
Glen Gardner  NJ,New Hampton  NH
New Hampton  NH,Glen Gardner  NJ
Glen Gardner  NJ,Buhl  ID
Buhl  ID,Glen Gardner  NJ
Glen Gardner  NJ,Tampa  FL
Tampa  FL,Glen Gardner  NJ
Glen Gardner  NJ,Carrollton  IL
Carrollton  IL,Glen Gardner  NJ
Glen Gardner  NJ,Wilmington  NC
Wilmington  NC,Glen Gardner  NJ
Glen Gardner  NJ,Ferndale  NY
Ferndale  NY,Glen Gardner  NJ
Glen Gardner  NJ,North pole  AK
North pole  AK,Glen Gardner  NJ
Glen Gardner  NJ,Canon City  CO
Canon City  CO,Glen Gardner  NJ
Glen Gardner  NJ,Jacksonville  NC
Jacksonville  NC,Glen Gardner  NJ
Glen Gardner  NJ,Sacramento  CA
Sacramento  CA,Glen Gardner  NJ
Glen Gardner  NJ,Acme  PA
Acme  PA,Glen Gardner  NJ
Glen Gardner  NJ,San Antonio  TX
San Antonio  TX,Glen Gardner  NJ
Somers  CT,Narragansett  RI
Narragansett  RI,Somers  CT
Somers  CT,La Feria  TX
La Feria  TX,Somers  CT
Somers  CT,Kirkland  WA
Kirkland  WA,Somers  CT
Somers  CT,Mission Hills  CA
Mission Hills  CA,Somers  CT
Somers  CT,Fairfield  TX
Fairfield  TX,Somers  CT
Somers  CT,Rocky Mountain National Park  CO
Rocky Mountain National Park  CO,Somers  CT
Plains  PA,Miami  FL
Miami  FL,Plains  PA
Plains  PA,Carlsbad  NM
Carlsbad  NM,Plains  PA
Plains  PA,Vancouver  WA
Vancouver  WA,Plains  PA
Augusta  GA,Butler  PA
Butler  PA,Augusta  GA
Augusta  GA,San Jose  CA
San Jose  CA,Augusta  GA
Augusta  GA,Pie Town  NM
Pie Town  NM,Augusta  GA
Augusta  GA,Valley Springs  CA
Valley Springs  CA,Augusta  GA
Augusta  GA,Miami  AZ
Miami  AZ,Augusta  GA
Augusta  GA,Atlanta  GA
Atlanta  GA,Augusta  GA
Augusta  GA,Onset  MA
Onset  MA,Augusta  GA
Augusta  GA,Delray Beach  FL
Delray Beach  FL,Augusta  GA
Augusta  GA,Paulsboro  NJ
Paulsboro  NJ,Augusta  GA
Augusta  GA,Pacifica  CA
Pacifica  CA,Augusta  GA
Augusta  GA,Colorado Springs  CO
Colorado Springs  CO,Augusta  GA
Augusta  GA,Carl Junction  MO
Carl Junction  MO,Augusta  GA
Augusta  GA,Minneapolis  MN
Minneapolis  MN,Augusta  GA
Boise  ID,Spring Hill  FL
Spring Hill  FL,Boise  ID
Boise  ID,Normal  IL
Normal  IL,Boise  ID
Boise  ID,Sedona  AZ
Sedona  AZ,Boise  ID
Boise  ID,New Philadelphia  OH
New Philadelphia  OH,Boise  ID
Boise  ID,Fullerton  CA
Fullerton  CA,Boise  ID
Boise  ID,Los Angeles  CA
Los Angeles  CA,Boise  ID
Boise  ID,Zephyr Cove  NV
Zephyr Cove  NV,Boise  ID
Coshocton  OH,Lafayette  IN
Lafayette  IN,Coshocton  OH
Coshocton  OH,West Chester  PA
West Chester  PA,Coshocton  OH
Coshocton  OH,Northfield  NJ
Northfield  NJ,Coshocton  OH
Coshocton  OH,Mana  HI
Mana  HI,Coshocton  OH
Coshocton  OH,Eupora  MS
Eupora  MS,Coshocton  OH
Coshocton  OH,Santa Fe Springs  CA
Santa Fe Springs  CA,Coshocton  OH
Coshocton  OH,Rehoboth Beach  DE
Rehoboth Beach  DE,Coshocton  OH
Coshocton  OH,Myrtle Beach  SC
Myrtle Beach  SC,Coshocton  OH
Coshocton  OH,Columbia  MD
Columbia  MD,Coshocton  OH
Coshocton  OH,Tucson  AZ
Tucson  AZ,Coshocton  OH
Somers  CT,Troy  NY
Troy  NY,Somers  CT
Somers  CT,West Islip  NY
West Islip  NY,Somers  CT
Somers  CT,San Jose  CA
San Jose  CA,Somers  CT
Sarasota  FL,Seatle  WA
Seatle  WA,Sarasota  FL
Sarasota  FL,Lyons  IL
Lyons  IL,Sarasota  FL
Sarasota  FL,Houston  TX
Houston  TX,Sarasota  FL
Sarasota  FL,Gaithersburg  MD
Gaithersburg  MD,Sarasota  FL
Sarasota  FL,Barnesville  OH
Barnesville  OH,Sarasota  FL
Boise  ID,Houston  TX
Houston  TX,Boise  ID
Boise  ID,Neptune Beach  FL
Neptune Beach  FL,Boise  ID
Boise  ID,Harris County  TX
Harris County  TX,Boise  ID
Boise  ID,Rex  GA
Rex  GA,Boise  ID
Boise  ID,Denver  CO
Denver  CO,Boise  ID
Boise  ID,Phoenix  AZ
Phoenix  AZ,Boise  ID
Boise  ID,Beaver Dam  WI
Beaver Dam  WI,Boise  ID
Boise  ID,Stockton  KS
Stockton  KS,Boise  ID
Boise  ID,Martinez  GA
Martinez  GA,Boise  ID
Granite Falls  WA,McAllen  TX
McAllen  TX,Granite Falls  WA
Granite Falls  WA,Dayton  OH
Dayton  OH,Granite Falls  WA
Granite Falls  WA,Columbia  MO
Columbia  MO,Granite Falls  WA
Lancaster  PA,Victorville  CA
Victorville  CA,Lancaster  PA
Lancaster  PA,Fort Pierce  FL
Fort Pierce  FL,Lancaster  PA
Lancaster  PA,Portsmouth  VA
Portsmouth  VA,Lancaster  PA
Lancaster  PA,Greendale  WI
Greendale  WI,Lancaster  PA
Lancaster  PA,Newport News  VA
Newport News  VA,Lancaster  PA
Lancaster  PA,Paintsville  KY
Paintsville  KY,Lancaster  PA
Lancaster  PA,Allen Park  MI
Allen Park  MI,Lancaster  PA
Lancaster  PA,Marlborough  MA
Marlborough  MA,Lancaster  PA
Tallahassee  FL,Surprise  AZ
Surprise  AZ,Tallahassee  FL
Tallahassee  FL,Mechanicsville  VA
Mechanicsville  VA,Tallahassee  FL
Tallahassee  FL,Randolph  MA
Randolph  MA,Tallahassee  FL
Tallahassee  FL,Kansas City  MO
Kansas City  MO,Tallahassee  FL
Tallahassee  FL,Davis  CA
Davis  CA,Tallahassee  FL
Austin  TX,Olympia  WA
Olympia  WA,Austin  TX
Austin  TX,Los Angeles  CA
Los Angeles  CA,Austin  TX
Austin  TX,Leavenworth  WA
Leavenworth  WA,Austin  TX
Austin  TX,Vista  CA
Vista  CA,Austin  TX
Austin  TX,Riverside  CA
Riverside  CA,Austin  TX
Austin  TX,Portland  OR
Portland  OR,Austin  TX
Austin  TX,Oklahoma City  OK
Oklahoma City  OK,Austin  TX
China Spring  TX,Panama City Beach  FL
Panama City Beach  FL,China Spring  TX
China Spring  TX,Crescent City  CA
Crescent City  CA,China Spring  TX
China Spring  TX,Bullhead  AZ
Bullhead  AZ,China Spring  TX
China Spring  TX,Casper  WY
Casper  WY,China Spring  TX
China Spring  TX,Pasadena  CA
Pasadena  CA,China Spring  TX
China Spring  TX,Forest Lake  MN
Forest Lake  MN,China Spring  TX
China Spring  TX,unkown  TN
unkown  TN,China Spring  TX
Mountlake Terrace  WA,Shoreview  MN
Shoreview  MN,Mountlake Terrace  WA
Mountlake Terrace  WA,Seattle  WA
Seattle  WA,Mountlake Terrace  WA
Flat Rock  MI,Raddle  IL
Raddle  IL,Flat Rock  MI
Flat Rock  MI,Lakeland  FL
Lakeland  FL,Flat Rock  MI
Flat Rock  MI,Camarillo  CA
Camarillo  CA,Flat Rock  MI
Flat Rock  MI,Galveston  TX
Galveston  TX,Flat Rock  MI
Flat Rock  MI,Hollis  OK
Hollis  OK,Flat Rock  MI
Flat Rock  MI,Blackstone  MA
Blackstone  MA,Flat Rock  MI
Flat Rock  MI,Orlando  FL
Orlando  FL,Flat Rock  MI
Flat Rock  MI,Clearwater  FL
Clearwater  FL,Flat Rock  MI
Flat Rock  MI,San Diego  TX
San Diego  TX,Flat Rock  MI
Flat Rock  MI,Mucie  IN
