origin,destination
Oceanside  NY,Palmetto  GA
Palmetto  GA,Oceanside  NY
Oceanside  NY,Edmonds  WA
Edmonds  WA,Oceanside  NY
Oceanside  NY,Harpswell  ME
Harpswell  ME,Oceanside  NY
Oceanside  NY,Naples  FL
Naples  FL,Oceanside  NY
Oceanside  NY,I-84 Westbound  MA
I-84 Westbound  MA,Oceanside  NY
Oceanside  NY,Keller  TX
Keller  TX,Oceanside  NY
Oceanside  NY,Pensacola  FL
Pensacola  FL,Oceanside  NY
Oceanside  NY,New Orleans  LA
New Orleans  LA,Oceanside  NY
Oceanside  NY,Greensboro  NC
Greensboro  NC,Oceanside  NY
Malta  MT,Redwood Valley  CA
Redwood Valley  CA,Malta  MT
Malta  MT,Whitestone  NY
Whitestone  NY,Malta  MT
Quakertown  PA,Marblehead  MA
Marblehead  MA,Quakertown  PA
Quakertown  PA,Cleveland  OH
Cleveland  OH,Quakertown  PA
Burney  CA,Des Moines  IA
Des Moines  IA,Burney  CA
Burney  CA,Wimberley  TX
Wimberley  TX,Burney  CA
Burney  CA,Valley Mills  TX
Valley Mills  TX,Burney  CA
Harrisburg  PA,Pensacola  FL
Pensacola  FL,Harrisburg  PA
Harrisburg  PA,West Hartford  CT
West Hartford  CT,Harrisburg  PA
Harrisburg  PA,Roellen-Dyersburg area  TN
Roellen-Dyersburg area  TN,Harrisburg  PA
Harrisburg  PA,Vanceburg  KY
Vanceburg  KY,Harrisburg  PA
Harrisburg  PA,Dublin  NC
Dublin  NC,Harrisburg  PA
Syracuse  NY,Glenwood  NM
Glenwood  NM,Syracuse  NY
Syracuse  NY,Ashgrove  MO
Ashgrove  MO,Syracuse  NY
Syracuse  NY,Anchorage  AK
Anchorage  AK,Syracuse  NY
Michigan City  IN,Lawton  OK
Lawton  OK,Michigan City  IN
Michigan City  IN,Las Vegas  NV
Las Vegas  NV,Michigan City  IN
Michigan City  IN,Chesapeake  VA
Chesapeake  VA,Michigan City  IN
Michigan City  IN,Aberdeen  MD
Aberdeen  MD,Michigan City  IN
Dawsonville  GA,Gila Bend  AZ
Gila Bend  AZ,Dawsonville  GA
Dawsonville  GA,Chama  NM
Chama  NM,Dawsonville  GA
Dawsonville  GA,Richardson  TX
Richardson  TX,Dawsonville  GA
Lake Forest  IL,Cleburne  TX
Cleburne  TX,Lake Forest  IL
Lake Forest  IL,Wanaque  NJ
Wanaque  NJ,Lake Forest  IL
Lake Forest  IL,Hartland  ME
Hartland  ME,Lake Forest  IL
Las Vegas  NV,Cape Coral  FL
Cape Coral  FL,Las Vegas  NV
Las Vegas  NV,Bokeelia  FL
Bokeelia  FL,Las Vegas  NV
Las Vegas  NV,Pensacola  FL
Pensacola  FL,Las Vegas  NV
Las Vegas  NV,Midland  TX
Midland  TX,Las Vegas  NV
Las Vegas  NV,Ponca City  OK
Ponca City  OK,Las Vegas  NV
Las Vegas  NV,Lehi  UT
Lehi  UT,Las Vegas  NV
Las Vegas  NV,Gallup  NM
Gallup  NM,Las Vegas  NV
Grand Rapids  MI,Slidell  LA
Slidell  LA,Grand Rapids  MI
Grand Rapids  MI,Lake Worth  FL
Lake Worth  FL,Grand Rapids  MI
Grand Rapids  MI,Rolfe  IA
Rolfe  IA,Grand Rapids  MI
Grand Rapids  MI,Granville  NY
Granville  NY,Grand Rapids  MI
Grand Rapids  MI,Levittown  NY
Levittown  NY,Grand Rapids  MI
Santa Monica  CA,Bloomington  TX
Bloomington  TX,Santa Monica  CA
Santa Monica  CA,Edison  NJ
Edison  NJ,Santa Monica  CA
Hayward  CA,Pacifica  CA
Pacifica  CA,Hayward  CA
Hayward  CA,Waterford  MI
Waterford  MI,Hayward  CA
Hayward  CA,Nashville  TN
Nashville  TN,Hayward  CA
Hayward  CA,Franklin  TN
Franklin  TN,Hayward  CA
Phoenix  AZ,Quartzite  AZ
Quartzite  AZ,Phoenix  AZ
