origin,destination
Cloverdale  CA,Red Wing  MN
Red Wing  MN,Cloverdale  CA
Cloverdale  CA,Sandpoint  ID
Sandpoint  ID,Cloverdale  CA
Cloverdale  CA,Garden City  MI
Garden City  MI,Cloverdale  CA
Cloverdale  CA,Phoenix  AZ
Phoenix  AZ,Cloverdale  CA
Cloverdale  CA,Reno  NV
Reno  NV,Cloverdale  CA
Cloverdale  CA,Shokan  NY
Shokan  NY,Cloverdale  CA
Cloverdale  CA,North Canton  OH
North Canton  OH,Cloverdale  CA
Cloverdale  CA,Jacksonville  FL
Jacksonville  FL,Cloverdale  CA
Cloverdale  CA,Borger  TX
Borger  TX,Cloverdale  CA
North Port  MI,Amesbury  MA
Amesbury  MA,North Port  MI
North Port  MI,Stonewall  LA
Stonewall  LA,North Port  MI
