origin,destination
Fresno  CA,Casa Grande  AZ
Casa Grande  AZ,Fresno  CA
Fresno  CA,Garfield  NJ
Garfield  NJ,Fresno  CA
Fresno  CA,Lockwood  CA
Lockwood  CA,Fresno  CA
Fresno  CA,Roseville  CA
Roseville  CA,Fresno  CA
Fresno  CA,Rapid City  MI
Rapid City  MI,Fresno  CA
Round Lake Beach  Illinois  IL,Cook  MN
Cook  MN,Round Lake Beach  Illinois  IL
Round Lake Beach  Illinois  IL,Boundary Waters  MN
Boundary Waters  MN,Round Lake Beach  Illinois  IL
Round Lake Beach  Illinois  IL,Lake Vermillion  MN
Lake Vermillion  MN,Round Lake Beach  Illinois  IL
Round Lake Beach  Illinois  IL,Panora  IA
Panora  IA,Round Lake Beach  Illinois  IL
Round Lake Beach  Illinois  IL,Portland  ME
Portland  ME,Round Lake Beach  Illinois  IL
Rapid City  SD,Elkhart  IN
Elkhart  IN,Rapid City  SD
Rapid City  SD,Loomis  WA
Loomis  WA,Rapid City  SD
Danville  PA,Massillon  OH
Massillon  OH,Danville  PA
Danville  PA,Marty  SD
Marty  SD,Danville  PA
Danville  PA,Livermore  CA
Livermore  CA,Danville  PA
Danville  PA,Hull  GA
Hull  GA,Danville  PA
Albany  NY,Lakin  KS
Lakin  KS,Albany  NY
Albany  NY,West Bloomfield  MI
West Bloomfield  MI,Albany  NY
Fernley  NV,Sea Ranch  CA
Sea Ranch  CA,Fernley  NV
Fernley  NV,Hubbard  OH
Hubbard  OH,Fernley  NV
San Angelo  TX,Morristown  NJ
Morristown  NJ,San Angelo  TX
San Angelo  TX,Brick  NJ
Brick  NJ,San Angelo  TX
San Angelo  TX,South Prairie  WA
South Prairie  WA,San Angelo  TX
San Angelo  TX,Westford  VT
Westford  VT,San Angelo  TX
San Angelo  TX,New Rochelle  NY
New Rochelle  NY,San Angelo  TX
San Angelo  TX,Arnold  MO
Arnold  MO,San Angelo  TX
Hwy 30  heading west  PA,Chicago  IL
Chicago  IL,Hwy 30  heading west  PA
Hwy 30  heading west  PA,Lincoln  MA
Lincoln  MA,Hwy 30  heading west  PA
Centerville  OH,Angola  NY
Angola  NY,Centerville  OH
Centerville  OH,Decatur  AL
Decatur  AL,Centerville  OH
Schererville  IN,Bakersfield  CA
Bakersfield  CA,Schererville  IN
Schererville  IN,Idaho Falls  ID
Idaho Falls  ID,Schererville  IN
Schererville  IN,Chocowinity  NC
Chocowinity  NC,Schererville  IN
Schererville  IN,San Francisco International Airport  CA
San Francisco International Airport  CA,Schererville  IN
Bay City  TX,York  PA
York  PA,Bay City  TX
Bay City  TX,Shanadoah  IA
Shanadoah  IA,Bay City  TX
San Bernardino  CA,Spokane  WA
Spokane  WA,San Bernardino  CA
San Bernardino  CA,Rachel  NV
Rachel  NV,San Bernardino  CA
San Bernardino  CA,Dublin  OH
Dublin  OH,San Bernardino  CA
San Bernardino  CA,Lynnwood  WA
Lynnwood  WA,San Bernardino  CA
San Bernardino  CA,Salem  NH
Salem  NH,San Bernardino  CA
San Bernardino  CA,Chapel Hill  TN
Chapel Hill  TN,San Bernardino  CA
San Bernardino  CA,Whitehall  MI
Whitehall  MI,San Bernardino  CA
San Bernardino  CA,Medford  OR
Medford  OR,San Bernardino  CA
San Bernardino  CA,Aurora  CO
Aurora  CO,San Bernardino  CA
San Bernardino  CA,Council  ID
Council  ID,San Bernardino  CA
San Bernardino  CA,McMinnville  TN
McMinnville  TN,San Bernardino  CA
San Bernardino  CA,Chirichua Mountains  AZ
Chirichua Mountains  AZ,San Bernardino  CA
San Bernardino  CA,Columbus  OH
Columbus  OH,San Bernardino  CA
San Bernardino  CA,Minneapolis  MN
Minneapolis  MN,San Bernardino  CA
San Bernardino  CA,Sterling  VA
Sterling  VA,San Bernardino  CA
San Bernardino  CA,Scales Mound  IL
Scales Mound  IL,San Bernardino  CA
San Bernardino  CA,Bristol  RI
Bristol  RI,San Bernardino  CA
Muscatine  IA,Carson City  NV
Carson City  NV,Muscatine  IA
Muscatine  IA,Puyallup  WA
Puyallup  WA,Muscatine  IA
Muscatine  IA,Pine Bush  NY
Pine Bush  NY,Muscatine  IA
Portland  OR,Cleveland  OH
Cleveland  OH,Portland  OR
Portland  OR,Fort Lauderdale  FL
Fort Lauderdale  FL,Portland  OR
Longmont  CO,Rimrock Lake  WA
Rimrock Lake  WA,Longmont  CO
Longmont  CO,Chandler  AZ
Chandler  AZ,Longmont  CO
Canton  MI,Sun City  CA
Sun City  CA,Canton  MI
Canton  MI,Pembroke Pines  FL
Pembroke Pines  FL,Canton  MI
Canton  MI,Brownstown  MI
Brownstown  MI,Canton  MI
Canton  MI,Callaway  MN
Callaway  MN,Canton  MI
Canton  MI,Des Moines  IA
Des Moines  IA,Canton  MI
Canton  MI,Clearfield  IA
Clearfield  IA,Canton  MI
Leo  IN,Rochester  NY
Rochester  NY,Leo  IN
Leo  IN,Napoleon  OH
Napoleon  OH,Leo  IN
Leo  IN,Houston  TX
Houston  TX,Leo  IN
Tucson  AZ,Vancouver  WA
Vancouver  WA,Tucson  AZ
Tucson  AZ,Moscow Mills  MO
Moscow Mills  MO,Tucson  AZ
Corte Madera  CA,Ballston Spa  NY
Ballston Spa  NY,Corte Madera  CA
Corte Madera  CA,Erie  PA
Erie  PA,Corte Madera  CA
Corte Madera  CA,Portland  OR
Portland  OR,Corte Madera  CA
Southampton  NY,Castle Creek  NY
Castle Creek  NY,Southampton  NY
Southampton  NY,Charleston  WV
Charleston  WV,Southampton  NY
Grass Valley  CA,San Diego  CA
San Diego  CA,Grass Valley  CA
Grass Valley  CA,Las Vegas  NV
Las Vegas  NV,Grass Valley  CA
