origin,destination
Buena Park  CA,Wauconda  WA
Wauconda  WA,Buena Park  CA
Buena Park  CA,Milwaukee  WI
Milwaukee  WI,Buena Park  CA
Buena Park  CA,Ashland  KY
Ashland  KY,Buena Park  CA
Buena Park  CA,Arizona City  AZ
Arizona City  AZ,Buena Park  CA
Buena Park  CA,Woodbridge  NJ
Woodbridge  NJ,Buena Park  CA
Buena Park  CA,Wichita  KS
Wichita  KS,Buena Park  CA
Buena Park  CA,Wethersfield  CT
Wethersfield  CT,Buena Park  CA
San Saba  TX,Holland  PA
Holland  PA,San Saba  TX
San Saba  TX,Framingham  MA
Framingham  MA,San Saba  TX
San Saba  TX,Heber Springs  AR
Heber Springs  AR,San Saba  TX
Jacksonville  FL,Marion  IN
Marion  IN,Jacksonville  FL
Jacksonville  FL,Geneva  OH
Geneva  OH,Jacksonville  FL
Jacksonville  FL,Pompano Beach  FL
Pompano Beach  FL,Jacksonville  FL
Yakima  WA,Chesapeake  VA
Chesapeake  VA,Yakima  WA
Yakima  WA,Kent  WA
Kent  WA,Yakima  WA
Yakima  WA,Placerville  CA
Placerville  CA,Yakima  WA
Yakima  WA,Ventura  CA
Ventura  CA,Yakima  WA
Yakima  WA,Mason  OH
Mason  OH,Yakima  WA
Yakima  WA,Mantua  OH
Mantua  OH,Yakima  WA
Jonesboro  AR,Boca Raton  FL
Boca Raton  FL,Jonesboro  AR
Jonesboro  AR,Northridge  CA
Northridge  CA,Jonesboro  AR
Jonesboro  AR,Ada  OK
Ada  OK,Jonesboro  AR
Jonesboro  AR,Oglala  SD
Oglala  SD,Jonesboro  AR
San Francisco  CA,Columbus  OH
Columbus  OH,San Francisco  CA
San Francisco  CA,West Springfield  MA
West Springfield  MA,San Francisco  CA
Everett  WA,Pinole  CA
Pinole  CA,Everett  WA
Everett  WA,Cleveland  OH
Cleveland  OH,Everett  WA
Everett  WA,Plymouth  WI
Plymouth  WI,Everett  WA
Louisville  KY,Laguna Niguel  CA
Laguna Niguel  CA,Louisville  KY
Louisville  KY,Goleta  CA
Goleta  CA,Louisville  KY
Louisville  KY,Eureka Aprings  AR
Eureka Aprings  AR,Louisville  KY
Louisville  KY,Wilmette  IL
Wilmette  IL,Louisville  KY
Grove  OH,Round Rock  TX
Round Rock  TX,Grove  OH
Grove  OH,Anaheim  CA
Anaheim  CA,Grove  OH
Grove  OH,Chesterfield  MI
Chesterfield  MI,Grove  OH
Grove  OH,Gainesville  GA
Gainesville  GA,Grove  OH
Grove  OH,Tampa Bay  FL
Tampa Bay  FL,Grove  OH
Grove  OH,Columbia  TN
Columbia  TN,Grove  OH
El Paso  TX,Horatio  AR
Horatio  AR,El Paso  TX
El Paso  TX,Memphis  TN
Memphis  TN,El Paso  TX
Ventura  CA,Santa Monica  CA
Santa Monica  CA,Ventura  CA
Ventura  CA,Goleta  CA
Goleta  CA,Ventura  CA
Ventura  CA,Burlington  WV
Burlington  WV,Ventura  CA
Ventura  CA,Jersey City  NJ
Jersey City  NJ,Ventura  CA
Ventura  CA,Manitowoc  WI
Manitowoc  WI,Ventura  CA
Ventura  CA,Okeene  OK
Okeene  OK,Ventura  CA
Ventura  CA,Longview  TX
Longview  TX,Ventura  CA
Ventura  CA,Highway 64  AZ
Highway 64  AZ,Ventura  CA
Ventura  CA,Stanwood  WA
Stanwood  WA,Ventura  CA
Rancho Santa Margarita  CA,Frankfort  IN
Frankfort  IN,Rancho Santa Margarita  CA
Rancho Santa Margarita  CA,Round Rock  TX
Round Rock  TX,Rancho Santa Margarita  CA
Rancho Santa Margarita  CA,Yosemite  CA
Yosemite  CA,Rancho Santa Margarita  CA
Rancho Santa Margarita  CA,Brookston  IN
Brookston  IN,Rancho Santa Margarita  CA
Rancho Santa Margarita  CA,Belton  TX
Belton  TX,Rancho Santa Margarita  CA
Burnsville  MN,New Ipswich  NH
New Ipswich  NH,Burnsville  MN
Burnsville  MN,Andover  MN
Andover  MN,Burnsville  MN
Burnsville  MN,Houston  TX
Houston  TX,Burnsville  MN
Burnsville  MN,Round Rock  TX
Round Rock  TX,Burnsville  MN
Burnsville  MN,Atco  NJ
Atco  NJ,Burnsville  MN
Woburn  MA,Elsmere  DE
Elsmere  DE,Woburn  MA
Woburn  MA,Las Vegas  NV
Las Vegas  NV,Woburn  MA
Woburn  MA,Phoenix  AZ
Phoenix  AZ,Woburn  MA
Westwego  LA,Albany  CA
Albany  CA,Westwego  LA
Westwego  LA,Surprise  AZ
Surprise  AZ,Westwego  LA
New York City  NY,Tucson  AZ
Tucson  AZ,New York City  NY
New York City  NY,Salt Lake City  UT
Salt Lake City  UT,New York City  NY
New York City  NY,Paducah  KY
Paducah  KY,New York City  NY
San Lorenzo  CA,Winter Springs  FL
Winter Springs  FL,San Lorenzo  CA
San Lorenzo  CA,Orland  CA
Orland  CA,San Lorenzo  CA
San Lorenzo  CA,Winchester  WI
Winchester  WI,San Lorenzo  CA
San Lorenzo  CA,Alburquerque  NM
Alburquerque  NM,San Lorenzo  CA
San Lorenzo  CA,Tempe  AZ
Tempe  AZ,San Lorenzo  CA
Wayne  NJ,Grangeville  ID
Grangeville  ID,Wayne  NJ
Wayne  NJ,Ephrata  WA
Ephrata  WA,Wayne  NJ
Wayne  NJ,Lebanon  IL
Lebanon  IL,Wayne  NJ
Wayne  NJ,Wichita  KS
Wichita  KS,Wayne  NJ
Webster City  IA,San Diego  CA
San Diego  CA,Webster City  IA
Webster City  IA,Franklin  NE
Franklin  NE,Webster City  IA
Jackson  TN,Littleton  CO
Littleton  CO,Jackson  TN
Jackson  TN,Parksley  VA
Parksley  VA,Jackson  TN
Jackson  TN,Vrnal  UT
Vrnal  UT,Jackson  TN
Payson  AZ,Kernville  CA
Kernville  CA,Payson  AZ
Payson  AZ,Clearfork  WV
Clearfork  WV,Payson  AZ
Payson  AZ,Lake Omak  WA
Lake Omak  WA,Payson  AZ
San Jose  CA,Foothill Ranch  CA
Foothill Ranch  CA,San Jose  CA
San Jose  CA,San Antonio  TX
San Antonio  TX,San Jose  CA
San Jose  CA,Fort Myers  FL
Fort Myers  FL,San Jose  CA
San Jose  CA,Fort Worth  TX
Fort Worth  TX,San Jose  CA
Racine  WI,Fremont  CA
Fremont  CA,Racine  WI
Racine  WI,Joplin  MO
Joplin  MO,Racine  WI
Racine  WI,Everett  WA
Everett  WA,Racine  WI
Racine  WI,Phoenix  AZ
Phoenix  AZ,Racine  WI
Racine  WI,Fallbrook  CA
Fallbrook  CA,Racine  WI
Kansas  OK,Boise  ID
Boise  ID,Kansas  OK
Kansas  OK,Douglasville  GA
Douglasville  GA,Kansas  OK
New Ellenton  SC,Fort Collins  CO
Fort Collins  CO,New Ellenton  SC
New Ellenton  SC,Round Rock  TX
Round Rock  TX,New Ellenton  SC
New Ellenton  SC,San Antonio  TX
San Antonio  TX,New Ellenton  SC
New Ellenton  SC,Watertown  MA
Watertown  MA,New Ellenton  SC
Chanhassen  MN,Des Moines  IA
Des Moines  IA,Chanhassen  MN
Chanhassen  MN,Fremont  CA
Fremont  CA,Chanhassen  MN
Chanhassen  MN,Escondido  CA
Escondido  CA,Chanhassen  MN
Chanhassen  MN,Glenwood  IA
Glenwood  IA,Chanhassen  MN
West Valley  UT,Bellevue  OH
Bellevue  OH,West Valley  UT
West Valley  UT,Pichacho Peak  AZ
Pichacho Peak  AZ,West Valley  UT
