origin,destination
Roseville  MI,New Oxford  PA
New Oxford  PA,Roseville  MI
Roseville  MI,Greenfield  IL
Greenfield  IL,Roseville  MI
Roseville  MI,Route 81  PA
Route 81  PA,Roseville  MI
Roseville  MI,Monongahela  PA
Monongahela  PA,Roseville  MI
Roanoke  VA,Marysville  WA
Marysville  WA,Roanoke  VA
Roanoke  VA,Ames  IA
Ames  IA,Roanoke  VA
Roanoke  VA,Oakland  CA
Oakland  CA,Roanoke  VA
Roanoke  VA,Grand Rapids  MI
Grand Rapids  MI,Roanoke  VA
Roanoke  VA,Leesburg  GA
Leesburg  GA,Roanoke  VA
Roanoke  VA,Weston  FL
Weston  FL,Roanoke  VA
Roanoke  VA,Heidenheimer  TX
Heidenheimer  TX,Roanoke  VA
Rockford  MI,Honolulu  HI
Honolulu  HI,Rockford  MI
Rockford  MI,Pell City  AL
Pell City  AL,Rockford  MI
New Richmond  WI,Naples  IL
Naples  IL,New Richmond  WI
New Richmond  WI,Bridgewater  MA
Bridgewater  MA,New Richmond  WI
Indianapolis  IN,Miami  FL
Miami  FL,Indianapolis  IN
Indianapolis  IN,Boston  MA
Boston  MA,Indianapolis  IN
Indianapolis  IN,Cloverdale  CA
Cloverdale  CA,Indianapolis  IN
Indianapolis  IN,Pompano Beach  FL
Pompano Beach  FL,Indianapolis  IN
Indianapolis  IN,Deltona  FL
Deltona  FL,Indianapolis  IN
Indianapolis  IN,Johnsonville  SC
Johnsonville  SC,Indianapolis  IN
Indianapolis  IN,Spokane  WA
Spokane  WA,Indianapolis  IN
Lake Havasu City  AZ,Lindstrom  MN
Lindstrom  MN,Lake Havasu City  AZ
Lake Havasu City  AZ,Federal Way  WA
Federal Way  WA,Lake Havasu City  AZ
Englewood  FL,Eagle  CO
Eagle  CO,Englewood  FL
Englewood  FL,Avon  CO
Avon  CO,Englewood  FL
Brookings  SD,Santa Rosa  CA
Santa Rosa  CA,Brookings  SD
Brookings  SD,Hartsel  CO
Hartsel  CO,Brookings  SD
Brookings  SD,Reedville  VA
Reedville  VA,Brookings  SD
Brookings  SD,Las Vegas  Nevada  Airspace  NV
Las Vegas  Nevada  Airspace  NV,Brookings  SD
Brookings  SD,Springfield  MO
Springfield  MO,Brookings  SD
Sacramento  CA,Temecula  CA
Temecula  CA,Sacramento  CA
Sacramento  CA,Lake Stevens  WA
Lake Stevens  WA,Sacramento  CA
Sacramento  CA,unknown  CA
unknown  CA,Sacramento  CA
Sacramento  CA,Reno  NV
Reno  NV,Sacramento  CA
Sacramento  CA,Endicott  NY
Endicott  NY,Sacramento  CA
Hoboken  NJ,San Antonio  TX
San Antonio  TX,Hoboken  NJ
Hoboken  NJ,Quincy  CA
Quincy  CA,Hoboken  NJ
Hoboken  NJ,Thibodaux  LA
Thibodaux  LA,Hoboken  NJ
Hoboken  NJ,North Hollywood  CA
North Hollywood  CA,Hoboken  NJ
Hoboken  NJ,Milpitas  CA
Milpitas  CA,Hoboken  NJ
Hoboken  NJ,Tobay Beach  NY
Tobay Beach  NY,Hoboken  NJ
Hoboken  NJ,Mountain View  CA
Mountain View  CA,Hoboken  NJ
Hoboken  NJ,Seattle  WA
Seattle  WA,Hoboken  NJ
Sacramento  CA,Powell  OH
Powell  OH,Sacramento  CA
Sacramento  CA,Deltona  FL
Deltona  FL,Sacramento  CA
Sacramento  CA,New Windsor  NY
New Windsor  NY,Sacramento  CA
Sacramento  CA,Florissant  MO
Florissant  MO,Sacramento  CA
Colebrook  NH,Morris  IL
Morris  IL,Colebrook  NH
Colebrook  NH,Long Beach  MS
Long Beach  MS,Colebrook  NH
Colebrook  NH,Salt Lake City  UT
Salt Lake City  UT,Colebrook  NH
Colebrook  NH,Scarborough  ME
Scarborough  ME,Colebrook  NH
Colebrook  NH,Apple Valley  CA
Apple Valley  CA,Colebrook  NH
Vero  FL,Washington  NC
Washington  NC,Vero  FL
Vero  FL,Decatur  IN
Decatur  IN,Vero  FL
Santa Barbara  CA,Lemoore  CA
Lemoore  CA,Santa Barbara  CA
Santa Barbara  CA,San Jacinto  CA
San Jacinto  CA,Santa Barbara  CA
Santa Barbara  CA,Fontana  CA
Fontana  CA,Santa Barbara  CA
Orangeburg  NY,Gilbert  AZ
Gilbert  AZ,Orangeburg  NY
Orangeburg  NY,Wabash  IN
Wabash  IN,Orangeburg  NY
Orangeburg  NY,Lakewood Ranch  FL
Lakewood Ranch  FL,Orangeburg  NY
Orangeburg  NY,Malden  MO
Malden  MO,Orangeburg  NY
Orangeburg  NY,Lehigh  OK
Lehigh  OK,Orangeburg  NY
Orangeburg  NY,Roseville  CA
Roseville  CA,Orangeburg  NY
Orangeburg  NY,Santa Barbara  CA
Santa Barbara  CA,Orangeburg  NY
Orangeburg  NY,Twisp  WA
Twisp  WA,Orangeburg  NY
Orangeburg  NY,Watertown  CT
Watertown  CT,Orangeburg  NY
Orangeburg  NY,Livermore  CA
Livermore  CA,Orangeburg  NY
Orangeburg  NY,Loma Rica  CA
Loma Rica  CA,Orangeburg  NY
Orangeburg  NY,Shawnee  OK
Shawnee  OK,Orangeburg  NY
Orangeburg  NY,Oak Shores Lake Berryessa  CA
Oak Shores Lake Berryessa  CA,Orangeburg  NY
Orangeburg  NY,Longview  TX
Longview  TX,Orangeburg  NY
Orangeburg  NY,Dubuque  IA
Dubuque  IA,Orangeburg  NY
Cascade Locks  OR,Kirkland  WA
Kirkland  WA,Cascade Locks  OR
Cascade Locks  OR,Las Cruces  NM
Las Cruces  NM,Cascade Locks  OR
Las Cruces  NM,Bend  OR
Bend  OR,Las Cruces  NM
Las Cruces  NM,Homer Glen  IL
Homer Glen  IL,Las Cruces  NM
Las Cruces  NM,Carlsbad  NM
Carlsbad  NM,Las Cruces  NM
Las Cruces  NM,Fort Collins  CO
Fort Collins  CO,Las Cruces  NM
Las Cruces  NM,Rapid City  SD
Rapid City  SD,Las Cruces  NM
Las Cruces  NM,Jasper  AL
Jasper  AL,Las Cruces  NM
