airport	count
Clark Field	1
Willow Bend Airport	5
Vaasa Airport	1
Priest River Municipal Airport	1
Midstream Harbor Island Heliport	4
Mineola Wisener Field	5
Sunnyside Municipal Airport	10
Western Surgery Center Heliport	3
Schroeder Airport	5
Massaro Heliport	18
Albrecht Airstrip	2
Soesterberg Air Base	9
Port Isabel Cameron County Airport	2
Culberson County Airport	1
Little Hands STOLport	8
MCHD Heliport	7
Hmc Hanger Heliport	3
Isabel Municipal Airport	1
GAC Waterfront Heliport	5
Independence Regional Health Center Heliport	19
Shenandoah Valley Regional Airport	3
Sitka Seaplane Base	1
Heritage Valley Beaver Heliport	21
Leeds Municipal Airport	11
National Heliport	3
Licenciado Benito Juarez International Airport	2
Quantum (Shrewsbury) Heliport	4
Lynn Louise Heliport	3
Ibm Mount Pleasant Heliport	4
Sikorsky Bridgeport Heliport	12
Camphill Airfield	9
Blue Mountain Academy (Private) Airport	2
Lake Union Heliport	6
Ch 12 News Woodbury Heliport	5
Twin City Airpark	1
Appleton Municipal Hospital Heliport	1
Moran Field	2
Barton County Memorial Hospital Heliport	1
Virginia DMV Headquarters Heliport	8
St James Hospital and Health Center Heliport	6
5 Lakes Airport	1
Tuscaloosa Regional Airport	1
Clark Regional Airport	4
Mather Heliport	10
Port Macquarie Hospital Helipad	1
Parknavy STOLport	1
Circle S Farms Airport	1
Marietta Memorial Hospital Heliport	8
Fort Washington Medical Center Heliport	6
Yatesbury Airfield	2
Pointe Coupee General Hospital Heliport	1
Hercules Inc. Heliport	9
Digger Dougs Airport	4
Scout Lake Seaplane Base	1
Bear Valley STOLport	2
Johnson Field	2
Gananoque Airport	1
Links Airport	2
Galáctica  Heliport	1
Falmouth Hospital Heliport	5
Sprint/Carolina Telephone Heliport	22
Walder's Farm Airport	1
Davis Private Airport	3
Greene Memorial Hospital Heliport	6
Silvies Valley Ranch Airport	2
Peterhead Heliport	1
M.C.R. Airport	1
S R P Tolleson Center Heliport	1
N U I Heliport	8
Mj Aviation Ii Airport	1
Worcester Regional Airport	3
Morgantown Airport	3
Stouffers Heliport	4
Beltsville Shop Heliport	2
San Felipe International Airport	3
Tyabb Airport	1
Billy Joe Airport	27
Monduran Airport	1
Hagan Heliport	1
Cape Girardeau Regional Airport	5
Vancouver Harbour Water Aerodrome	41
Forest Airport	23
Mucky Flat Airport	8
Barnard Airport	4
Blake Medical Center Heliport	5
Brown Heliport	2
Prosser Airport	2
Winchester Medical Center Heliport	10
Ketchikan Harbor Seaplane Base	4
Peco Berwyn Heliport	1
Bonaventure Airport	2
Dusty Wings Field	9
Port Paradise Farms Airport	3
Wythenshawe Hospital Helipad	65
Warren Hospital Heliport	17
Brooklands Farm Airstrip	3
Reggio Calabria Airport	1
Mena Intermountain Municipal Airport	8
Blackpool International Airport	9
St. Joseph's Hospital North Heliport	4
Zahn's Airport	16
Valley Airport	2
Blessing Hospital At 11th St Heliport	2
Franklin County Memorial Hospital Heliport	5
Coffman Heliport	6
Ivinson Memorial Hospital Heliport	19
Gwinnett Medical Center Heliport	18
Tgp 25 Heliport	3
Methodist Medical Center of Illinois Heliport	20
Sheraton Inn Heliport	4
Cady Aerial RLA Restricted Landing Area	1
Michael Pfister Airport	2
Wyrill Farming Airport	5
Sce San Jacinto Valley Service Center Heliport	11
South Texas Regional Airport at Hondo	3
Waldmeister Farm Airport	1
Mercy Regional Medical Center Heliport	7
Brandon Airport	4
Cng Division 4 Heliport	6
Barnes Lonesome Polecat Ranch Heliport	11
Richard Lloyd Jones Jr Airport	2
Busboom Airport	3
Larry F Warren Field	4
Page Municipal Airport	3
Sony Music Heliport	11
Lillooet Airport	5
Gilbert Airport	7
Winterset Madison County Airport	3
Loyola University Medical Center Heliport	14
Quartermaster Harbor Seaplane Base	1
Booneville Baldwyn Airport	2
Holley Mountain Airpark	1
Cross Creek Farms Airport	1
Grieve Airport	2
Rotorspan	9
Landmark Medical Center Heliport	6
Central Valley Aviation Airport	2
Wairoa Hospital Heliport	1
U of Texas Medical Branch Emergency Room Heliport	16
Humboldt County Memorial Hospital Heliport	5
Burle-Lancaster Heliport	1
Union Parish Airport	2
Greater Portsmouth Regional Airport	20
Wbz Heliport	7
Columbus Hospital Heliport	23
Susquehanna Heliport	2
Western Wake Medical Center Heliport	14
Saikkonen Airport	3
Essex Skypark Airport	1
Mvrmc Nr2 Heliport	12
Westchester Resco Heliport	15
St Elizabeth Hospital Heliport	19
Perry Lefors Field	4
Gilbert Field	9
Strawberry Point Medical Center Heliport	4
American Fork Hospital Heliport	5
Phh Heliport	2
Toronto (Mississauga Credit Valley Hospital) Heliport	27
Garrison Airport	2
Amherst Heliport	15
Piedmont Municipal Airport	2
Houston Northwest Medical Center Heliport	15
Hanover Township Fire Station #5 Heliport	14
Marlborough Hospital Heliport	7
Riverode Farms Airport	1
Turlock Airpark	2
Camilo Daza International Airport	7
Trw Manhattan Beach Heliport	16
Galesburg Cottage Hospital Heliport	15
Karolinska Universitetssjukhuset Helipad	11
Pomroy Heliport	9
Spriggs Payne Airport	12
Lindrith Airpark	2
San Luis Reservoir Seaplane Base	1
Halifax (South Battery) Heliport	13
Pilot's Pastures Airport	3
Bedford Hospital Heliport	4
Millinocket Municipal Airport	7
Laguna Army Airfield	1
Robert Newlon Field	5
Moorea Airport	1
Kersten Brothers Airport	3
Center Point Heliport	6
Mashantucket Pequot Tribal Nation Heliport	2
Tracy Municipal Airport	6
Sussex Airport	10
Cameron Park Airport	10
New Castle Henry Co. Municipal Airport	1
North Memorial Heliport	12
Nils Seaplane Base	10
Mc Laughlin Municipal Airport	1
Williams Gliderport	1
Raven Ridge Heliport	1
Hartford Brainard Airport	4
Flat Airport	2
Ainsworth Airport	3
Erbendorf Airfield	1
Black Rock City Airport	1
Gospel Ranch Airport	1
Winthrop University Hospital Heliport	7
Millipore Heliport	3
Murphy-Sherwood Park Airport	4
Lunenburg County Airport	6
Ranger Creek Airport	5
Norwalk Hospital Heliport	9
Minnick's Heliport	3
Woodland Airstrip	5
Stevens Field	5
Papp Airpark	4
Mohawk Air Park	2
Millington Regional Jetport Airport	7
Anna Jaques Hospital Heliport	4
Gold Beach Municipal Airport	6
Commodore Center Heliport	9
Tonopah Test Range Airport	2
Jackson Airport	1
Mays Island Helistop	28
Tocumen International Airport	7
The Moriches Bay Heliport	2
Air Acres Airport	8
Sawyer / Southwest Lakes Airpark	2
Tv2 Heliport	8
West Liberty Airport	7
Kaiser Hospital Heliport	1
Sheriff's Courthouse Heliport	12
Camp 2 Heliport	9
Pacific Gas & Electric Co Camp 5 Heliport	6
Beckett Farm Airport	7
First Flight Airport	7
Mohawk Aviation Center LLC Airport	2
Air Ambulance Heliport	4
Mercy Heliport	12
Northridge Hospital Heliport	6
Plainwell Municipal Airport	4
Progress Airport	1
Fairview Evergreen Airport	3
St-Dominique Airport	3
OPA Heliport	5
Hanford Community Medical Center Helistop	11
Ruth Field	4
Jefferson County Hospital Heliport	12
University of Illinois Willard Airport	2
Parkland Bonne Terre Primary Care Center Heliport	4
Myrtle Werth Medical Center Heliport	3
Springbrook Airport	2
Jacques Heliport	6
Alamogordo White Sands Regional Airport	1
Fitch H Beach Airport	7
Ball Airport	7
Hutson Field	1
Cross' Farm Airport	3
Krey Field Airport	5
Hanley Field	6
Watertown International Airport	5
Brunswick Community Hospital Heliport	9
Clare Municipal Airport	2
Rhinelander Oneida County Airport	2
Terrace Bay Airport	6
Todos Santos Airstrip	1
Moffett Federal Airfield	4
Christus Mother Frances Hospital - Sulphur Springs Heliport	4
Mid Valley Airpark	5
Shelton Laurel Lil National Airport	1
Daybreak Airport	13
Window Rock Airport	5
Putman Heliport	2
Maritsa Airport	3
Camp Edwards Heliport	9
Monroe County Airport	5
Elgin Intracontinental Airport	3
University Medical Center Heliport	12
Friedman Memorial Airport	3
Kenley Aerodrome	11
Lee's Dogpatch Airport	4
Lake Zumbro Seaplane Base	3
Coleman Municipal Airport	10
Travis Air Force Base Aero Club	3
St Mary Hospital Heliport	15
Elko Regional Airport	21
Great River Medical Center Heliport	2
Compaq Andover Heliport	9
Bakers Field	1
Frank R Howard Memorial Hospital Heliport	15
Jennian Hangar, Waikato Hospital Heliport	3
Bandmill Field	2
North Fork Airport	2
Great Yarmouth - North Denes Heliport	1
Ajdovščina Airport	1
My Girls Helistop	1
Full Sutton Airfield	1
Kingman Airport Clyde Cessna Field	8
Wheatland County At Harlowton Airport	1
Sumner County Regional Airport	8
Chevron Place Heliport	1
Hospital Santiago Oriente Heliport	7
Shelter Cove Airport	1
St Anthony Medical Center Heliport	1
Delta Air Base	3
Postojna Airfield	2
York Airport	6
Mercy Medical Center Heliport	15
Stone Castle Motel Airport	2
Rico Heliport	5
Franklin Hospital Heliport	3
Emh Regional Medical Center Heliport	5
Hackensack Medical Center Heliport	1
Camden County Airport	7
Servicentro (Electricidad de Caracas)  Heliport	3
Westport Airport	7
Castlebar Airport	2
Sunriver Airport	4
Heussler Hamburg Heliport	16
Ben L. Briggs Heliport	8
Pq-Lafayette Hill Heliport	5
Mission Hospital Helistop	26
Haigh Field	10
Heartland Hospital West Heliport	8
Teufel'S Heliport	3
La Cholla Airpark	1
Bayfield County Airport	2
Ie Jima Airport	4
Teconnet Seaplane Base	2
East Texas Medical Center Clarksville Heliport	3
Lund Airport	2
Engine Co Nr 109 Heliport	9
Gatlinburg-Pigeon Forge Airport	6
Brookeridge Air Park	10
Oosterschelde Ziekenhuis Heliport	1
Cedar Park Rgnl Medical Center Heliport	4
Lisburg Airport	1
Mid Continent Airport	1
Quantico MCAF /Turner field	3
Ravalli County Airport	3
Grande Ronde Hospital EMS Heliport	11
Winona Lake Seaplane Base	2
Josephs Airport	2
Northwoods Airport	4
Lincolnton Lincoln County Regional Airport	11
Bellamy River Seaplane Base	3
Jesse Viertel Memorial Airport	2
Markdale (Centre Grey General Hospital) Heliport	24
Santiago Municipal Airport	1
Sugar Grove Airport	10
Lavon North Airport	3
Cork Airport	10
Three Rivers Municipal Dr Haines Airport	9
York Electro-Panel Psnl Use Heliport	8
Mercy Medical Center - Clinton Heliport	9
Wgal-Tv Heliport	2
Mercy Memorial Hospital Heliport	6
Wynkoop Airport	2
KRQE Heliport	1
Hashbarger Farm Airstrip	7
Bailes Airport	2
L R M C Emergency Helistop	5
Mount Hagen Kagamuga Airport	1
Rohwer Airport	1
My Airport	6
Eureka Springs Hospital Heliport	3
Giermek Executive Airport	4
Maple Grove Heliport	4
Bridges Medical Center Hospital Heliport	3
Hurlbut Field	6
Ashe County Airport	6
R & R Farms Airport	5
N D Ranch Airport	1
Chipping Airfield	9
Florence Regional Airport	8
Gardner Municipal Airport	6
Starshire Farm Airport	1
Wcvb-Tv Heliport	14
Baldwin Municipal Airport	2
Jefferson General Hospital Heliport	8
St. Ann's Heliport	4
Parkview Noble Hospital Heliport	6
Winona Municipal-Max Conrad Field	4
Houlton International Airport	2
Grossmont Hospital Heliport	8
Meadow Brook Airport	1
Radloff's Cedar View Farms Airport	1
Cotton Patch Airport	1
Amsterdam Airport Schiphol	6
RAF Dishforth	1
Bozeman Deaconess Hospital Heliport	19
Christ Hospital Heliport	1
Daec Heliport	7
William Newton Memorial Hospital Heliport	8
Hodges Airfield	1
Craig Private Airport	2
Airlake Airport	10
Hi Country No 2 Airport	1
Altoona Regional Hospital Heliport	9
Carlson Farms Heliport	1
Indian Lake Airport	3
Stag Air Park	1
Anderson Field	3
DELETE	4
Wyoming Medical Center Heliport	14
Destin Emergency Care Center Heliport	16
Sabanera Heliport	3
Marquette Airport	4
Godman Army Air Field	6
Holiday Inn Lakeview Heliport	8
Milwaukee County Medical Complex Heliport	6
Hillman Airport	1
Lumpkin County Wimpys Airport	5
Clorinda Airport	3
Burke Field	19
Irlbeck Airport	3
Devine Municipal Airport	1
Sky-5 Heliport	34
Mc Guire Air Force Base	4
Frogs End Airport	2
Perth (Great War Memorial Hospital) Heliport	12
Smithville Crawford Municipal Airport	4
Jasper Airport	5
Mother Frances Hospital Heliport	14
Honey Lake Heliport	8
Sills Air Park	5
Spruce Creek Airport	3
Duncan Regional Hospital Heliport	6
Hess Strip	3
Hendrick Landing Area Heliport	6
Sibay Airport	1
Naval Outlying Field Imperial Beach (Ream Field)	7
Greater Southwest International Airport-Amon Carter Field	7
Highway Patrol Troop C Headquarters Heliport	2
Campbell County Memorial Hospital Heliport	8
Oakville (Trafalgar Memorial Hospital) Heliport	13
Hancock Co-Ron Lewis Field	1
Rans Airport	2
Lazy Dog Ranch Airpark	3
Bob-Mar Airport	6
St Marys Heliport	1
Blue Lick Airport	6
Moders Airport	11
Morris Manor Airport	1
De Leon Municipal Airport	1
Lexington Heliport	2
Hunter Mountain Airport	5
Heitman Field	2
St Marys Municipal Airport	4
Baylor University Medical Center Grapevine Heliport	9
Osage City Municipal Airport	3
Martin Memorial Hospital Heliport	13
Baldwin Airport	8
King's Daughters Medical Center Heliport	13
Lakeview Airport	7
Gooding Airport	7
Sw Region Faa Heliport	6
Castle Well Airport	2
Valley View Airport	12
Stevensville Airport	7
Derby Field	4
Roosevelt Field	13
Dairyview Airport	4
Scott Municipal Airport	8
Henry County Airport	4
Dammon Heliport	1
Hadassah Ein Kerem Heliport	3
Fort Hamilton Hospital Heliport	16
Tri-Cities Regional TN/VA Airport	4
Leach Farms Heliport	1
Holt Dam Heliport	11
Lazy F Ranch Airport	1
Southard Field	1
Adams County Legion Field	8
Parkland Airport	2
Tullos Field	4
St Paul Downtown Holman Field	9
Blades Landing Heliport	9
Park Hall Airstrip	4
Mahoning County Joint Vocational School Airport	3
Holland Landing Airpark	6
UCSD Jacobs Medical Center Rooftop Heliport	9
Gallatin Fuel Heliport	3
Emmetsburg Municipal Airport	2
Delnor Community Hospital Heliport	19
Forest Field	3
Midwest City Regional Hospital Heliport	6
Porterville Municipal Airport	4
Cookeville General Heliport	6
Herbst Heliport	7
Solomon Valley Airpark	6
San Carlos Airport	23
Ny Arng Heliport	5
Heaven's Landing Airport	2
Rankin Airport	6
Sharpe Farms Airport	1
St Barnabas Medical Center Heliport	6
West Wind Airport	6
Oak Ridge Airport	2
Barkley Regional Airport	2
Meridian Park Hospital Heliport	11
Warrnambool Airport	1
Presbyterian Intercommunity Hospital Heliport	48
State Police Holmdel Helispot Heliport	10
Kollar's Shoreview Marine Seaplane Base	20
Raintree Seaplane Base	7
Fort Gordon Hqs Helipad Heliport	5
Robertson Airport	1
Leo Airport	1
Karlindo Airport	5
Parkview Regional Medical Center Heliport	7
Moorhead Airpark LLC	1
Gravity Zero Airport	6
Barrow Medical Center Heliport	12
Dickson Field	2
WESCAM Burlington	18
Providence Seward Medical Center Heliport	6
Tillamook Airport	1
Middletown Regional-Hook Field Municipal Airport	13
Washington County Hospital Heliport	21
Owasco Airport	1
Chhatrapati Shivaji International Airport	9
Bedford Medical Center Heliport	2
Alvear Aeroparque Airport	1
Hoopers Heliport	15
Avista Hospital Heliport	6
Brigham City Airport	1
Children's Memorial Hospital Heliport	1
Panola General Hospital Heliport	5
Jukam's Landing Airport	2
Marshall's Airport	5
Sky-Ranch Airport	3
Lancaster General Hospital Heliport	20
Flying E Airport	1
Sandusky City Airport	1
Waterville Airport	1
Charlton Methodist Hospital Heliport	2
Montgomery County Medical Center Hospital Heliport	4
Computer Associates Heliport	5
Jamestown Municipal Airport	3
St Mary's Hospital Helipad	3
Fortman Heliport	6
Moore Private Airport	12
One Montgomery Plaza Heliport	7
Cannon Air Force Base	3
Texas Valley Air Field	1
Northwest Community Hospital Heliport	32
Clarks Dream Strip	11
Red's Field	4
South Central Regional Medical Center Heliport	6
CFB Trenton	3
Weide Ahp (Aberdeen Proving Ground) Heliport	5
Blissville Airport	15
Juergensen Airpark and Maritime Facility Airport	1
Kota Kinabalu International Airport	6
Niklaus RLA Restricted Landing Area	2
Thompson Airport	7
Albers Airport	1
Northern Illinois Medical Cntr Heliport	1
Wells Municipal Airport	7
Meadowlands Hospital Medical Center Heliport	5
Terminal Island Airport/Allen Field	15
Panther Pond Seaplane Base	1
Sky-Go Farms Airport	6
Oaks Airport	3
St Marys Health Care Systems Heliport	12
Westchester Medical Center Heliport	5
Strawbridge & Clothier Exton Heliport	2
North West Indiana Air Airport	5
Crag Mountain Airport	1
Bradbury-Rolf Memorial Heliport	2
Munroe Regional Medical Center Heliport	33
Stouffer's Dublin Heliport	4
Mc Kinney Airport	3
St James Heliport	1
Yuba Airport	4
Intra Coastal Police Sub-Station Heliport	12
Taipei City Hall Helipad	1
Meyer Riverside Airpark	5
Namsos Høknesøra Airport	5
Allegheny County Airport	8
La Porte Plant Heliport	3
Ledet Airfield	3
Taylorville Memorial Hospital Heliport	8
Valley Asphalt Heliport	1
Virginia Regional Hospital Heliport	4
Porter Memorial Hospital Heliport	5
Ingersoll Heliport	7
Deshler Municipal Landing Strip	2
Alderman Airport	2
Aire Parque Airport	3
Okanogan Legion Airport	1
Shaw Field	3
Chestnut Hill Airport	1
Community Medical Center Helistop	15
Timmons Field	4
Dahl Private Airport	1
Warren County Airport/John Lane Field	4
New Martinsville Seaplane Base	4
Riverside Municipal Airport	6
Highlands Seaplane Base	9
Modesto City Co-Harry Sham Field	9
Cedar Creek Airport	7
Harnett Regional Jetport Airport	2
Big Spring Mc Mahon-Wrinkle Airport	4
Sheets Airport	2
Norwood Memorial Airport	14
Maule's Roost Airport	1
Eagle's Roost Heliport	3
Parma Airport	3
White County Airport	7
Longbird Airport	1
Lmc Heliport	18
T & A Land Development Heliport	5
Ranger Municipal Airport	2
Mountain Bay Air Park Inc Airport	2
Cape Blanco State Airport	7
City of Highland Park Heliport	7
Green Valley Farms Airport	4
Hess Plaza Heliport	8
Fire District 5 Ems Heliport	1
W A Foote Memorial Hospital Heliport	1
Muchowiec Airport	3
Tipton Airport	5
Leavesden Aerodrome	5
Dane County Regional Truax Field	1
Smithville Municipal Airport	3
Harvey Police Department Heliport	15
Whitfords Airport	2
The Medical Center of Mesquite Heliport	16
Copacel Airport	1
Lyons-Rice County Municipal Airport	3
Clear Lake Municipal Airport	1
Etowah Fields Airport	5
Harrisburg Medical Center Heliport	3
Clarke County Airport	4
Nordic Heliport	9
Darwin International Airport	5
Boehm's Field	3
Leo's Place STOLport	1
Lake Las Vegas Heliport	1
Viburnum Airport	1
Blue Springs Heliport	17
Ely Airport Yelland Field	4
Hackensack UMC Palisades Heliport	29
Clinton County Fairgrounds Heliport	1
Hca Parkway Medical Center Heliport	10
Henry Tift Myers Airport	5
Montgomery County Airport	1
Texas Health Presbyterian Hospital Dallas Heliport	2
Long Reef Helipad	1
Salem Memorial Hospital Heliport	8
Mercy Hospital Helistop	3
Mercy San Juan Hospital Heliport	15
Hemet Valley Hospital Helistop	12
Woodle Airport	6
Anniston Metropolitan Airport	1
Williams Field	8
Drummondville Seaplane Base	2
Crystal Lake Seaplane Base	6
Danville Airpark	2
Sullivan Correctional Facility Heliport	6
Cold Bay Airport	1
Bondair Airport	4
Bob Thomas Ford Heliport	2
Benalto/Hillmans Farm Airport	6
Keystone Airpark	4
Griffith-Merrillville Airport	3
Pilot Pointe Estates Airport	3
Greensburg Municipal Airport	3
Sudbury/Ramsey Lake Seaplane Base	12
Long Lake Seaplane Base	4
San Manuel Airport	2
Toledo Municipal Airport	2
Gnaden Huetten Memorial Hospital Heliport	6
Diderrich Ranch Airport	1
Olson Field	1
Mary Rutan Heliport	3
Ehrhardt Airport	4
Schiff Airport	3
Firelands Community Hospital Nr 2 Heliport	7
Titan Field	14
Skis Landing Area Airport	5
Mossburg Airport	3
Musina(Messina) Airport	1
Northeast Community Hospital Heliport	6
Steeplechase Pier Heliport	15
Sítio Pouso do Aviador Airport	4
Long Island Mac Arthur Airport	12
Minden (Hospital) Heliport	2
Wesh-Tv Channel 2 Heliport	2
Hällefors Airport	2
Woosley Airport	1
Johnson's Landing Ultralightport	8
St Mary's Hospital & Medical Center Heliport	20
Birch Hills Airport	2
Remsa/Care Flight Heliport	8
Loma Linda University Medical Center-Murrieta Heliport	17
Maritime Institute Heliport	8
Turkey Track Airport	3
Potomac Airpark	11
Fayette County Airport	4
North Oaks Medical Center Heliport	2
State Highway Paris Heliport	2
Sunrise Dusters Airport	1
Northside Airpark	9
Riverside Airport	5
Temse heliport	1
Harvey Municipal Airport	6
Silver City Airpark	2
Prince Albert (Fire Centre) Heliport	5
Blue Mountains Hospital Helipad	1
Schafer Usfs Airport	1
Glasgow City Heliport	44
St Luke's Hospital Heliport	8
NJ Hwy Auth-Admin Bldg Helispot	2
Boomers Field	1
James M Cox Dayton International Airport	5
Miller Farm Airport	1
RAF Bovingdon	8
Chicago O'Hare International Airport	1
D W C Heliport	8
Westlake Regional Hospital Heliport	4
Shultz Airport	16
Franciscan Health Michigan City Heliport	11
Reader-Botsford Airport	1
Briggs Field	2
Lamoni Municipal Airport	3
Eagle Heliport	5
Stender Airport	2
Monroe County Medical Center Heliport	3
Sprint/Midatlantic Telecom Heliport	3
The King's Daughters' Heliport	4
Condron Army Air Field	4
Batchawana Seaplane Base	2
Shanghai Longhua Airport	5
Lanier Heliport	10
Cuba Municipal Airport	4
Fischer's RLA Restricted Landing Area	2
Bagdad Airport	3
Kohles Airport	1
Merkel Field Sylacauga Municipal Airport	5
Neosho Memorial Regional Hospital Heliport	7
Avco/Lowell Heliport	17
Carolina Cow Country Airport	2
Zea Mays Field	5
Crystal River Airport	4
Montluçon-Domérat Airport	1
Estcourt Airport	1
Savannah Agri-Air Airport	1
Erie International Tom Ridge Field	1
Gold Hill Airport	3
Andrews Air Force Base	6
Barnes Farm Airport	6
Trauma Center Heliport	7
Wentworth-Douglass Heliport	7
Norwalk Sheriff Station Heliport	6
Shawano Medical Center Heliport	4
Dorothy Scott Airport	6
Barbourville ARH Heliport	3
Sanger Heliport	3
Lakeland Hospital Watervliet Heliport	1
Krumenacker Airport	2
Cimarron Heliport	1
Carle Hospital Heliport	6
Albury Airport	4
Walton Airport	3
Mathieu Landing Seaplane Base	2
St. Mary's Hospital East Heliport	1
Springhill Airport	5
Barnes Farmland Airport	3
St Mary's Hospital Ozaukee Heliport	3
Griffin Spalding County Airport	9
Pennington Heliport	4
Piedmont Henry Hospital Heliport	7
De Soto Airport	2
Carmen De Patagones Airport	1
Sarita Airport	4
Weirton - Steubenville Seaplane Base	2
Redington-Fairview General Hospital Heliport	4
Bromenn Hospital Heliport	7
Adams Airport	2
Robbins Roost Airport	1
Memorial Hospital West Helistop	18
Benton Field	1
John's Airport	1
Puerto Heliport	1
Platteville Municipal Airport	6
Clark Heliport	4
George Harms Const Heliport	1
Stonewall Airpark	1
General John J Pershing Memorial Hospital Heliport	3
Unity Medical Center Heliport	6
Parkway Farm Strip	1
West Boca Medical Center Heliport	20
North Raleigh Airport	4
Big Sky Airport	4
Regan Airstrip	1
Englefield Airstrip	8
Middenmeer Aerodrome	2
Tambor Airport	2
G. Bray Airport	3
Clay County Hospital Heliport	8
Winge Farms Airport	1
Lester B. Pearson International Airport	22
St. John's Regional Medical Center Heliport	14
Protinal  Heliport	1
Hamilton Medical Center Heliport	7
Famuliner Farms Airport	7
Atlantic Municipal Airport	2
Butch Airport	2
Guillermo León Valencia Airport	2
Empresas Diaz-Rio Pedras Heliport	6
South River Seaplane Base	1
Samuels Field	8
King Heliport	11
Sixmile Lake Airport	1
Baptist Memorial Hospital-Golden Triangle Heliport	3
Gtr Green River Intergalactic Spaceport Airport	3
Landers Loop Airport	6
Van Norman's Airport	1
Thomas Airport	1
Shepard Airport	1
Rite Aid Distribution Center Heliport	6
Prince Albert Glass Field	19
Russell Lands Heliport	1
Beaver Municipal Airport	3
Ses Salines (S’Olivó) Airfield	4
Langlade County Airport	1
Port Elizabeth Airport	5
Seaplane Landing Area Seaplane Base	6
Plant City Municipal Airport	1
Clinton Memorial Hospital Heliport	2
Sampson Regional Medical Center Heliport	5
Ibm Sommers Heliport	10
Thompson International Aviation Airport	2
Scheller Airport	5
Wilkes Barre Scranton International Airport	7
Vancouver International Airport	3
Woodside Airport	1
Blanca Airport	2
Talybont Airstrip	5
Gladwin Zettel Memorial Airport	4
Liberty Building Helipad	3
Scranton Municipal Airport.	7
Southampton University Hospital Helipad	17
Atatürk International Airport	5
Havasu Samaritan Regional Hospital Heliport	33
Lake Station Airport	8
General Edward Lawrence Logan International Airport	1
Maxville Airport	14
Tommy's Airpark	1
Queen of the Valley Hospital Heliport	2
Patten Industries Heliport	4
Hess State Street Heliport	10
Eagles Nest Airport	6
Ferry County Airport	1
Mardin Airport	1
Dutch Creek Seaplane Base	2
Southwestern Vermont Heliport	3
Essex County Airport	4
North Country Pad Heliport	4
Black Canyon City Medical Center Heliport	4
Corporativo 261 Heliport	2
Pheasant Field	3
Platform Henry Heliport	5
Sandy Creek Airpark	5
Maria Parham Health DLP Affiliate Heliport	4
Whangarei Hospital Heliport	1
Ancient Oaks Airport	1
Chalet Suzanne Air Strip	1
Atlantic City Municipal Bader Field	2
Buffalo Niagara International Airport	11
Kenosha Hospital and Medical Center Heliport	14
Three Rivers Ranch Airport	5
Langley Air Force Base	2
Bracebridge Iii Heliport	18
Místek	3
Cedar Creek Park Aerdorome	22
Addington Field	5
Medical Heliport	14
Jellico Hospital Heliport	2
Gnadenhutten Airport	14
Harrah Airport	3
San Juan Seaplane Base	12
Waterbury Airport	2
Shealy Airport	3
Pan Am Building Heliport	5
Dillenburg's Airport	1
Pierick Airport	6
Cass County Memorial Hospital Heliport	3
Baker-Sell Airport	1
Moab Heliport	1
Wise Regional Health System Heliport	3
Oak Glen Ranch Airport	3
Davis Field	7
Flying Ridge Heliport	2
Interstate Airport	2
Galvez Airport	1
Bay Pines Veterans Administration Heliport	3
Country Squire Airport	5
Hite Private Airport	1
Walter Reed Emergency Heliport	11
Lawrence Smith Memorial Airport	4
Stilwell Memorial Hospital Heliport	1
Cumbernauld Airport	18
Praia Verde 23M Airfield	17
Southwest General Hospital Heliport	12
Tuscola Airport	1
Mackay Base Hospital Helipad	2
Clum Airport	3
Mc Curtain Memorial Hospital Heliport	4
Northrop Anaheim Heliport	20
Flushing Airport	13
St. Joseph's Hospital Heliport	11
De Kalb General Hospital Heliport	5
Emerson Heliport	3
Kee Field	1
Massey Ranch Airpark	7
Homer Municipal Airport	1
American Falls Airport	1
Alexandria Aerodrome	1
North Arkansas Medical Center Heliport	6
Lamar Municipal Airport	1
Southern Cross Airport	5
Sutton on Rogue Airport	5
The Wilshire Thayer Heliport	1
Zweibrücken Airport	1
Smyrna Airport	13
Kenai Municipal Airport	6
Montauk Airport	5
Greene County Steam Plant Heliport	3
Clark Ranch Airport	1
Seven Hills Airport	1
Mc Cachren Field	2
Danville Airport	3
Ionia County Airport	4
Pratt Mining Heliport	3
Glasgow International Airport	7
Santa Cruz Sky Park	4
Methodist Healthcare Heliport	7
Vanguard Heliport	5
Hargrove Airport	2
Flying Dare's Ranch Airport	2
Wilkes Regional Medical Center Heliport	5
Clements Creek Seaplane Base	5
Vineland Veterans Home Heliport	4
North Bay Heliport	4
Godofredo P. Ramos Airport	1
Jonesboro Municipal Airport	1
St Louis Regional Airport	3
Plainview Airport	4
Aurora Lakeland Medical Center Heliport	3
Moore's Field	4
Catalina Air-Sea Terminal Heliport	1
Ripon Medical Center Heliport	7
Reid Hospital Heliport	6
St Lukes Hospital Emergency Heliport	1
Sells Airport	2
Bert Walter Berkowitz Heliport	1
Medisch Spectrum Twente Heliport	1
Pge Heliport	6
Schenck Field	2
Malden Regional Airport	3
Brookline - Meadowmere Airport	4
Airport Manatee Airport	7
Rands Airport	1
Beirut Rafic Hariri International Airport	5
Wildwood Airport	2
Carbon County Regional/Buck Davis Field	4
Poole's Heliport	3
Andvik Airport	4
Mountain View Wilcox Memorial Field	5
Robbins Airport	1
Little Falls-Morrison County-Lindbergh field	3
