airport	count
Hoskins Field	13
Grants Pass Airport	3
Mc Call Memorial Hospital Heliport	4
American Stores Heliport	88
Osf Family Medical Center Heliport	2
Albuquerque Regional Medical Center Heliport	141
Swiss Medical Heliport	4
Bowman Field	7
E L Gruber Heliport	12
Mcgraw's Backyard Airport	1
Torchport Airport	4
St Francis Medical Center Heliport	29
Scher Heliport	5
Idaho County Airport	4
Rogers Helicopters Inc Heliport	25
At&T Heliport	4
Hall Airport	4
Medical Center, Navicent Health Heliport	13
Burtch Airport	37
Kadlec Medical Center Heliport	16
Travis Air Force Base	2
One Ten Heliport	5
Jack Mc Namara Field Airport	14
Mirth Airport	4
Johnson County Airport	7
Eisenhower Medical Center Heliport	30
Marcos A. Gelabert International Airport	8
Jewish Hospital Heliport	90
Adair County Memorial Hospital Heliport	2
Fairmont Municipal-Frankman Field	2
Lakewood Heliport	1
State Capital Parking Lot Heliport	78
Us Property & Fiscal Office Heliport	9
Ibm Customer Executive Education Center Heliport	16
Maple Airport	11
Sandpoint Airport	16
Graves Field Heliport	5
Cedarville Airport	3
Hennepin County Medical Center Heliport	73
Kitchens Field	1
East Tennessee Children's Hospital Heliport	49
Holiday Inn Westport Heliport	3
Hospital Heliport	18
Port of Poulsbo Marina Moorage Seaplane Base	10
Flow Through Terminal Heliport	37
Dugger Field	1
Oceana NAS	64
Whidbey Air Park	17
Pittsfield Municipal Airport	9
Marten Hills Airport	1
Liard River Airport	1
Munson Medical Center Heliport	17
Manju Heliport	2
Brawley Municipal Airport	5
Helistop Ridc Industrial Park Heliport	2
Webster Field	3
Lafayette Airstrip	2
Nut Tree Airport	14
Shelby Airport	2
Kent Benaroya Heliport	44
Mission Seaplane Base	63
Aubrey Mountain Airstrip	2
Detroit Metropolitan Wayne County Airport	7
Pioneer Valley Hospital Heliport	6
Pacemaker Landing Zone Airport	4
Tempe St. Luke's Hospital Heliport	53
Edwards Air Force Base	6
S & S Ranch Airport	5
Jim & Julie's Airport	2
Fullerton Municipal Airport	27
Da Nang International Airport	5
La Mesa Park Airport	4
Columbia Regional Airport	15
CFB Greenwood	14
Amch Heliport	42
Presence Holy Family Medical Center Heliport	16
County Poor Farm Airport	3
