id,value
YK,7
WA,3330
BC,735
DE,126
DC,92
WI,902
WV,343
HI,238
FL,2833
YT,12
WY,165
NH,350
SK,76
NJ,1122
PQ,100
NM,634
TX,3008
LA,454
NB,71
NC,1217
ND,113
NE,322
NF,21
.,104
TN,875
NY,2405
PA,1789
PE,21
NS,130
NT,23
CA,7561
NV,720
VA,915
AB,286
CO,1160
ON,1168
MB,122
VI,2
AK,234
AL,492
AR,527
VT,173
IL,2056
GA,987
IN,1042
IA,490
OK,554
AZ,2095
ID,361
SA,40
CT,608
ME,411
MD,610
MA,905
OH,1677
UT,473
MO,1198
MN,750
MI,1546
RI,197
KS,501
MT,345
QC,123
MS,320
PR,36
SC,586
KY,687
OR,1408
SD,142
