Density	fips
8.9154322485	06037
32.930913343	36047
0.8532816651399999	26125
8.042177109	32003
0.12332894151000001	37171
0.0	37121
4.705704051	06065
0.39000213111	26081
1.8104003436999998	55071
0.099006573042	39089
3.2583953677	34023
8.9154322485	06037
1.0717218359	33015
0.0077154296092	48331
12.023103491	24510
4.0607569806	18097
39.872539732999996	34017
3.4369416749000004	36009
2.1983732343	53061
0.54284679179	34029
3.2698904528	27145
1.904366849	06037
2.0728359883	29510
0.020560791959999998	17059
0.19128447335999998	23019
34.969642136000004	72127
2.7648441564	40143
5.1739106385	47157
5.2806423188	12011
0.96417746611	35051
0.005755772573	41047
2.2678721633	53071
3.3639863442	48309
0.026023545726999997	22053
0.18461044481	09013
3.916032479	39145
1.4272420801999999	17097
26.797096602	42101
2.7738013513	20161
0.20246124924	21205
0.038732790766	42015
0.016306580159	26109
0.046935987132	36009
0.08922165368599999	26159
0.044232257134999994	48201
0.0	21017
0.008713565932099999	04001
0.28316067202	54019
0.007032292367000001	06047
7.0544681918	51810
3.6143937402	18141
8.3066251397	39035
1.0049320093	42003
2.1992732093	13135
0.0094566907354	13051
2.3463283551	53045
5.839640735	17043
1.3046365693	26163
1.5824090536000002	21145
1.8367779206000001	26125
0.094401422133	20129
5.956225068699999	08059
1.9901687271000001	17031
0.74039609273	08059
0.23960598509	04025
0.0027237363195	48249
1.5031798198	29189
5.2806423188	12011
0.22326100911	26093
1.3269349471999998	29047
1.0344772786999998	30031
26.797096602	42101
2.1983732343	53061
7.07281852	23031
1.8756751953	26067
32.255236495	06037
3.4075526784	12031
1.1699547434000002	18105
2.5273015232	41035
1.9519865252	34013
0.38381682581	06017
0.061023413128	23031
20.326811262	12086
0.21055528193	42129
3.1363550916	15003
0.0011436416584	30111
1.9967326399999998	12105
3.6045057473	12087
2.4133900562	47037
1.8842395856999998	36119
6.476092148599999	19103
10.483740613	53053
5.4691510362999995	04019
0.8862107011	12097
0.87805703799	06017
1.7194289214	34005
2.5864437607	04013
4.0487710428999995	51760
4.0487710428999995	51760
5.2806423188	12011
0.043887822427999996	40031
0.26346760227	06065
1.2167823025	27019
0.79947559086	36029
0.16352768101	01117
0.00010451484260000001	37089
2.4613306507000003	12109
0.45722781187	72099
4.3210118761	24027
0.033187444513	15001
4.0487710428999995	51760
18.018178269	08031
0.40595414306	25017
5.5404632954999995	53073
0.19933033913	06079
1.1892773848	36001
0.0221610969	48149
0.16960360585999998	08123
0.55651132606	25009
7.3677087818	06013
1.1447576739	51690
5.3528306681	34039
