,lng_y,lat_y
0,-121.80578899999999,38.0049214
1,-101.4787356,32.250398
2,-116.0987364,44.911006
3,-85.2741976,43.446419
4,-76.0585367,41.4214671
5,-122.1770818,48.0517637
6,-111.85696670000002,48.5052631
7,-117.435048,34.0922335
8,-85.25809709999999,43.900575200000006
9,-122.33207079999998,47.6062095
10,-118.24368490000002,34.0522342
11,-122.33207079999998,47.6062095
12,-119.4395039,48.705152899999995
13,-149.90027780000003,61.2180556
14,-121.7462513,48.5392813
15,-122.33207079999998,47.6062095
16,-87.8273152,44.3477718
17,-122.4442906,47.2528769
18,-81.804838,36.4745636
19,-97.54021069,35.4715076
20,-96.80666670000001,32.783055600000004
21,-122.77370619999999,45.299841799999996
22,-105.0480608,36.175592
23,-122.4442906,47.2528769
24,-118.8299848,45.4831849
25,-120.14395230000001,47.377073100000004
26,-84.17663590000001,42.9978049
27,-122.33207079999998,47.6062095
28,-121.78677749999999,47.4956579
29,-82.66509920000001,28.0341847
30,-117.75227930000001,34.0552886
31,-122.40625700000001,48.0400945
32,-82.3248262,29.6516344
33,-80.40893890000001,37.1298517
34,-80.14337859999999,26.122308399999998
35,-83.9508068,43.419469899999996
36,-121.6555013,36.6777372
37,-116.87641029999999,33.9255713
38,-122.33207079999998,47.6062095
39,-122.0310733,37.9779777
40,-117.1572551,32.7153292
41,-104.8319195,39.729431899999994
42,-81.87230840000001,26.640628000000003
43,-83.4810481,42.537811
44,-71.37005450000001,41.813711600000005
45,-94.8466322,39.7686055
46,-77.07746800000001,41.8072961
47,-100.7837392,46.808326799999996
48,-92.6238083,44.8613563
49,-119.8138027,39.529632899999996
50,-116.4003253,36.6438422
51,-122.12514180000001,48.1987118
52,-89.09399520000001,42.2711311
53,-118.22507250000001,33.981681200000004
54,-122.33207079999998,47.6062095
55,-92.85242729999999,44.7433008
56,-73.0889973,41.3206523
57,-111.6585337,40.233843799999995
58,-87.1638574,30.357143800000003
59,-121.82539059999999,47.528713200000006
60,-118.78148200000001,34.2694474
61,-117.69810749999999,33.4669721
62,-80.1130998,26.133974600000002
63,-123.08675359999998,44.0520691
64,-122.3151313,47.820930100000005
65,-121.8949555,37.3393857
66,-92.33407240000001,38.95170529999999
67,-119.8138027,39.529632899999996
68,-90.0489801,35.1495343
69,-119.77236609999999,36.74772720000001
70,-78.4230737,42.5339513
71,-84.1052256,40.742551
72,-122.61026140000001,38.9104546
73,-122.91582930000001,39.0429506
74,-84.52968641,39.1146631
75,-91.91085869,32.77960274
76,-117.9414477,33.773905299999996
77,-98.70843570000001,46.9105438
78,-84.62634320000001,39.902550399999996
79,-84.62634320000001,39.902550399999996
80,-84.62634320000001,39.902550399999996
81,-122.7144314,38.4404675
82,-122.08079640000001,37.6688205
83,-112.18598659999999,33.538652299999995
84,-81.3861568,25.8576597
85,-84.62634320000001,39.902550399999996
86,-105.03720459999998,39.836652799999996
87,-84.2177136,39.0283966
88,-78.8969785,42.652282
89,-121.9499568,37.2871651
90,-106.4869314,31.758719800000005
91,-94.1624895,45.560798600000005
92,-75.1946248,40.9867609
93,-114.88862959999999,39.247439299999996
94,-120.54245549999999,41.4871146
95,-94.729097,31.338240600000002
96,-117.99811809999999,33.867514299999996
97,-115.13722299999999,36.1749705
98,-80.8936735,27.1303277
99,-88.88927199999999,44.670812
100,-71.94979570000001,41.7881541
101,-111.63797930000001,40.5888394
102,-97.9647269,29.568841100000004
103,-115.13722299999999,36.1749705
104,-71.4558911,41.6603788
105,-81.30812259999999,28.6988853
106,-105.084423,40.5852602
107,-105.084423,40.5852602
108,-81.02283309999999,29.2108147
109,-108.50069040000001,45.783285600000006
110,-110.926479,32.2217429
111,-79.260869,40.4311796
112,-79.9958864,40.440624799999995
113,-108.74258429999999,35.5280783
