id,value
0-1 miles,111
1-2 miles,34
2-3 miles,10
3-4 miles,5
4-5 miles,3
5-6 miles,9
6-7 miles,9
7-8 miles,12
8-9 miles,2
9-10 miles,0
10-100 miles,2
>100 miles,3
