name,count
discernable,111
willing,111
phoned,110
decending,110
compass,110
witnessed,110
orbiting,110
adult,109
heavily,109
writing,109
projected,109
opposed,109
create,109
claim,109
weirdest,108
swimming,108
arbitrary,108
spotting,108
tells,108
replied,108
gives,108
exception,108
trained,107
posted,107
hight,107
unable,107
behave,107
routine,107
flipped,107
performing,107
consisted,107
different,106
lived,106
responded,106
telephone,106
latter,106
touching,105
populated,105
dimmed,105
woman,105
gradually,105
visited,105
paying,105
clusters,105
unusually,105
account,105
shocked,104
tricks,104
Ridge,104
lifted,104
plastic,104
sleeping,104
BRIGHT,104
surprise,104
stationery,103
group,103
terms,103
objective,103
Phone,103
entered,103
Great,103
lightening,103
glasses,103
attempting,103
streak,102
security,102
CALLED,102
canyon,102
distinct,102
picking,102
except,102
shake,102
served,101
taping,101
brightened,101
assuming,101
university,100
strangest,100
maintain,100
balls,100
situated,100
suspected,99
pictures,99
limited,99
strange,99
mistaken,99
extended,99
fraction,99
beacons,99
standard,99
Boeing,98
distinctive,98
Department,98
perpendicular,98
sooner,98
material,98
Santa,98
twice,98
initially,98
lightsI,98
gathered,97
fainter,97
drifted,97
beneath,97
station,97
firey,97
seeing,97
consistent,97
faintly,97
fallen,97
Indian,97
interest,97
guessed,97
UNTIL,97
village,97
matched,96
distance,96
police,96
investigate,96
tracking,96
remotely,96
ignored,96
comes,96
military,96
National,96
people,96
skyMy,96
shorter,95
recognized,95
WATCHING,95
wouldnt,95
observing,95
constant,95
hopefully,95
record,95
prove,95
required,95
compelled,94
interested,94
telephoned,94
laser,94
sometimes,94
proceeding,94
taking,94
visual,94
obviously,94
particular,94
GROUP,94
chills,94
Magazine,94
implies,93
southbound,93
DIRECTLY,93
smell,93
fired,93
awakened,93
gigantic,93
windows,93
sharply,92
forming,92
CLOSER,92
aimed,92
lightI,92
perceived,92
camping,92
dance,92
classic,92
awoke,92
produce,92
assure,92
vertical,92
gentleman,92
Daylight,91
summer,91
voice,91
HEADING,91
seriously,91
oject,91
DRIVING,91
training,91
experienced,91
stays,91
earths,91
mylar,91
watched,91
brite,90
pasture,90
wanting,90
behaved,90
discuss,90
booms,90
International,90
parts,90
known,90
downtown,90
letter,90
attending,90
repeating,90
werent,90
travel,90
Newark,90
curving,90
Communicator,89
naked,89
headlight,89
meeting,89
flies,89
fully,89
remarked,89
optical,89
literally,88
estimation,88
distinctly,88
FRIEND,88
darker,88
Satellites,88
figures,88
lucky,88
broad,88
industry,87
giant,87
gazed,87
starting,87
Marine,87
racing,87
smoothly,87
southeastern,87
discussing,87
begun,87
called,87
glancing,87
becuase,86
precisely,86
occurred,86
carry,86
please,86
passes,86
adjacent,86
striking,85
rectangular,85
awaiting,85
Canon,85
reflection,85
explaining,85
start,85
turned,85
phenomenon,85
blurry,85
impressed,85
throughout,85
float,84
scheduled,84
exclaimed,84
brightness,84
sticking,84
practice,84
accept,84
blink,84
single,84
noticeably,84
standing,84
diffrent,84
ambient,84
incidents,84
distinguishable,83
private,83
verified,83
clean,83
operating,83
continuous,83
aliens,83
stranger,83
WHITE,83
notes,83
count,83
measure,83
beautiful,83
store,83
gravel,82
wasnt,82
WATCHED,82
scientific,82
share,82
music,82
basic,82
artificial,82
ideas,82
authorities,82
lower,82
searched,82
professional,82
SUDDENLY,82
finish,82
inverted,81
exterior,81
modern,81
Years,81
angled,81
picture,81
bizarre,81
becomes,81
included,81
second,81
fourth,81
reporter,81
somehow,81
appears,81
frozen,81
begins,80
clarify,80
planes,80
florida,80
distances,80
travelled,80
feeling,80
smaller,80
lowest,80
driveway,80
virtually,80
realizing,79
distracted,79
INVESTIGATORS,79
minutes,79
throught,79
dropped,79
glowing,79
conducted,79
LOOKING,79
grandmother,79
kitchen,79
checked,79
swooped,79
glint,79
convince,79
wispy,79
grown,79
screaming,79
scared,79
continue,79
sweeping,79
marker,79
turns,79
helped,78
navigational,78
confirmation,78
perform,78
talking,78
reminiscent,78
visually,78
chatting,78
hundreds,78
chairs,78
seated,78
COMMUNICATION,78
sorta,78
multicolored,78
practically,77
layed,77
siting,77
apartments,77
oldest,77
MISSOURI,77
puffy,77
brightly,77
flawed,77
companion,77
tryed,77
risen,77
BECAUSE,77
TOWARD,77
traversing,77
although,77
vague,77
moderate,77
dismiss,77
document,77
performed,77
crying,77
amongst,77
bench,77
photographing,76
anything,76
beach,76
consistant,76
loops,76
questioned,76
lunar,76
depending,76
periods,76
SEEING,76
satelites,76
taken,76
SHOOTING,76
happened,76
opportunity,76
adults,76
hospital,76
preparing,76
significantly,75
EXTREMELY,75
neighborhood,75
ahead,75
patches,75
table,75
brilliantly,75
aeroplane,75
affected,75
tight,75
Possible,75
proceded,75
family,75
altered,75
important,75
Nikon,75
friday,75
running,75
letting,75
unknown,75
influence,75
copies,75
WITNESSED,75
crystal,75
traverse,75
number,74
reporting,74
maneuvered,74
equidistant,74
LITTLE,74
hovers,74
including,74
airforce,74
slept,74
shutter,74
active,74
fiancee,74
mixed,74
immense,74
froze,74
mirror,74
subdivision,74
whilst,74
intently,74
shaft,74
estimating,74
peripheral,74
stationed,74
supervisor,74
ridge,74
walking,74
shimmer,73
fianc,73
accustomed,73
inform,73
assumption,73
neighboring,73
gradual,73
streams,73
objectI,73
comeing,73
merely,73
suspicion,73
globes,73
column,73
Canaveral,73
official,73
treetop,73
LIGHTS,73
pickup,73
STAYED,73
whenever,73
decended,73
irregular,73
loaded,72
flattened,72
Jacksonville,72
manmade,72
BEGAN,72
normally,72
amended,72
lives,72
knows,72
difficult,72
tinge,72
blend,72
eerie,72
STATIONARY,71
surface,71
identifying,71
brakes,71
drawn,71
exiting,71
developed,71
comets,71
atmosphere,71
reappear,71
magnitude,71
located,71
sound,71
elevated,71
views,71
responsible,71
however,71
RIGHT,71
blimps,70
major,70
underside,70
obscure,70
upper,70
appeard,70
Highway,70
shined,70
apparent,70
unlike,70
absolute,70
neighbours,70
beaming,70
thinks,70
slanted,69
forced,69
manage,69
bounced,69
moveing,69
SITTING,69
communication,69
close,69
daughters,69
alongside,69
triangler,69
intensely,69
young,69
protruding,69
doctor,69
ADDENDUM,69
attracted,69
lamps,69
bothered,69
spacing,69
distorted,68
becoming,68
streaks,68
CONTINUED,68
mostly,68
ANOTHER,68
exhibited,68
resembling,68
inland,68
associate,68
strike,68
bored,68
spoted,68
Marler,68
freinds,68
simular,68
oacute,68
typically,67
volume,67
casually,67
floated,67
stopped,67
School,67
binoculars,67
whirring,67
Downtown,67
uncle,67
Leonid,67
middle,67
vehicles,67
laterally,67
hotline,67
travels,67
showing,67
allowing,67
encourage,67
mdash,67
settled,67
wrong,67
Dublin,67
research,67
discernible,67
laugh,67
hurried,67
niece,67
cousins,67
originated,66
bought,66
beams,66
University,66
version,66
knocked,66
thereafter,66
sparkling,66
intermittent,66
indicated,66
dimly,66
needs,66
narrow,66
experiences,66
online,66
swift,66
details,66
doesnt,66
witch,66
vapour,65
suggests,65
sometime,65
recieved,65
Nuclear,65
married,65
whent,65
caller,65
finishing,65
individual,65
CORRESPONDENCE,65
reviewed,65
continually,65
specifically,65
youngest,65
offer,65
lightly,65
cousin,65
definition,65
accompanying,65
passengers,65
THEIR,65
scanning,65
pattern,65
project,65
grand,64
HOVERED,64
shoot,64
PASSED,64
aside,64
moons,64
batteries,64
hence,64
Digital,64
skylight,64
nearing,64
ONLINE,64
typing,64
studied,64
STREET,64
Sierra,64
approximatley,63
children,63
weaving,63
Gabel,63
comparing,63
sunday,63
definatly,63
buddies,63
separate,63
mothers,63
somthing,63
evening,63
rough,63
GLOWING,63
spending,63
naturally,63
divided,63
curved,63
crowd,63
understanding,63
relate,63
WHICH,63
sunroof,63
HUSBAND,63
Entered,63
LEAST,63
immediatly,63
happy,63
roommate,62
requested,62
wished,62
history,62
MUTUAL,62
stargazing,62
darkened,62
barrier,62
listened,62
projecting,62
concerning,62
Edwards,62
sideways,62
blast,62
viewed,62
fascinating,62
BRIGHTER,62
enthusiast,62
cruise,62
blinks,62
invited,62
sides,62
NETWORK,61
attention,61
captured,61
EXACT,61
interior,61
confident,61
bolted,61
enormous,61
FALLING,61
BEHIND,61
scientist,61
absence,61
corrected,61
obstructing,61
process,61
DIFFERENT,61
Rodighier,61
consistently,61
saturday,61
hiking,61
apparently,61
aspect,61
woken,61
surprised,60
trampoline,60
reveal,60
occured,60
STUDIES,60
skyWe,60
write,60
permission,60
gather,60
forgotten,60
minimal,60
keeps,60
safety,60
sporadic,60
cable,60
branch,60
polished,60
Stealth,60
vaguely,60
shinning,60
mentioning,60
Airforce,59
unusal,59
burned,59
differnt,59
valley,59
officers,59
resort,59
swooping,59
younger,59
sensed,59
skyIt,59
equal,59
rocking,59
unsure,59
incoming,59
flicker,59
interviewed,59
Naval,59
outdoor,59
panic,59
skipping,59
whereas,59
railroad,59
dramatic,59
completly,59
damage,59
ORIGINAL,59
descending,59
fleet,59
playing,59
catch,59
really,58
plume,58
filming,58
trucks,58
referred,58
presumed,58
strip,58
singular,58
slope,58
contrail,58
GOING,58
definitly,58
poles,58
BEGIN,58
hillside,58
HEARD,58
experience,58
campus,58
Redirect,58
flashed,58
seamed,58
skyAt,58
tails,58
shore,58
april,58
perfectly,58
shades,58
reflected,58
wavering,58
backing,58
disturbing,58
credible,58
upstairs,58
beyond,58
suggesting,58
amazement,58
ARTICLE,58
stoplight,58
packed,57
variety,57
interesting,57
veered,57
items,57
crashed,57
necessarily,57
progressed,57
licensed,57
suddenly,57
minds,57
oncoming,57
pushed,57
Golden,57
crash,57
helicopter,57
uncommon,57
transfer,57
videotaped,57
fires,57
straight,57
wobbled,57
FRONT,57
CHANGED,57
decrease,57
grandfather,57
stating,57
Regional,56
florescent,56
shrunk,56
plans,56
retrieve,56
primarily,56
hotel,56
growing,56
STRAIGHT,56
mentally,56
awaken,56
exercise,56
recollection,56
storm,56
eastern,56
cought,56
brillant,56
astonishment,56
Turnpike,56
killed,56
vicinity,56
stacked,56
garbage,56
LIGHT,55
speculate,55
displaying,55
distant,55
public,55
adjust,55
Sacramento,55
twords,55
simultaneously,55
wonder,55
arrangement,55
prior,55
loading,55
Orion,55
trust,55
marking,55
Instead,55
SUDDEN,55
flashing,55
trailed,55
rotors,55
gently,55
relationship,55
stronger,55
climbing,55
blanket,55
experimental,55
closer,55
vertically,55
surfaces,55
TRIANGULAR,55
backs,55
hoped,55
Grand,55
class,55
wonderful,54
Control,54
remainder,54
clear,54
SOMEONE,54
physically,54
clouded,54
neighbour,54
paths,54
presumably,54
paralell,54
postion,54
collide,54
Kennedy,54
handle,54
ABOUT,54
Falling,54
teenage,54
advised,54
drive,54
perimeter,54
blowing,54
regret,54
realy,54
hesitated,54
empty,54
careful,54
touch,54
Hudson,54
ALWAYS,54
intercept,54
ASKED,54
COULDN,54
temperature,54
elementary,54
replaced,54
decreased,54
attempt,54
excess,53
catching,53
AGAIN,53
corners,53
streaming,53
NEVER,53
turnpike,53
together,53
THERE,53
development,53
partly,53
readily,53
unlit,53
trash,53
booster,53
analysis,53
loosing,53
YEARS,53
satellites,53
dispersed,53
backward,53
coworker,53
offset,53
foggy,53
alternate,53
radius,53
hesitant,53
crosses,53
proceed,53
judged,53
unmoving,53
washing,53
Unexplained,53
bearing,53
jerky,52
Possibly,52
grounded,52
thicker,52
occuring,52
lookin,52
futher,52
helicoptor,52
brothers,52
facing,52
Hovering,52
equipment,52
everybody,52
Puget,52
Puerto,52
flapping,52
CLEARLY,52
restaurant,52
fluttering,52
absolutly,52
casting,52
STARTED,52
worth,52
CHANGE,52
precision,52
twards,52
effort,52
Rockford,52
final,52
exceptional,52
flare,52
population,52
ringing,52
embers,52
squares,52
strobing,52
exits,52
cruised,52
craft,52
eminating,51
design,51
hardly,51
Earth,51
GETTING,51
alittle,51
quietly,51
maybe,51
comfortable,51
geometric,51
combination,51
estimate,51
steadily,51
comming,51
individually,51
tapered,51
understand,51
suprised,51
worry,51
comercial,51
isolated,51
blasted,51
pizza,51
house,51
Flashes,51
extreamly,51
camcorder,51
diffused,51
discovered,51
passanger,51
abnormally,51
anomalous,51
starring,51
WITNESS,51
gathering,51
vector,51
winter,51
retrieved,51
percent,51
immediately,51
observer,51
Atlantic,51
prone,51
Vegas,51
COLOR,51
Mission,50
refer,50
insisted,50
switching,50
professionals,50
Route,50
practicing,50
callers,50
clearly,50
Government,50
Power,50
quite,50
vantage,50
prompted,50
restricted,50
WOULD,50
exciting,50
stream,50
alternated,50
lounge,50
examine,50
EVERY,50
bringing,50
drivers,50
properly,50
naval,50
difficulty,50
unseen,50
FRIENDS,50
settings,50
videotape,50
sites,50
departure,50
WHOLE,50
charge,50
extensive,50
Tinley,50
consisting,50
review,50
stuck,50
often,50
filling,50
begining,49
truck,49
unblinking,49
deeper,49
tests,49
refused,49
airplanes,49
tethered,49
route,49
commonly,49
easier,49
revealing,49
tumbling,49
coloring,49
Logan,49
tubular,49
upwards,49
trunk,49
coloured,49
swirling,49
lingered,49
swaying,49
firing,49
pocket,49
VIDEO,49
ANYTHING,49
Pacific,49
slowely,49
Prescott,49
Drive,49
sending,49
millions,49
Wichita,49
providing,49
broadcast,49
controller,49
education,49
feels,49
parent,49
discussion,49
flares,48
unfamiliar,48
Police,48
Blinking,48
longest,48
starlike,48
limit,48
zipping,48
thick,48
cigarettes,48
OBSERVED,48
bother,48
satalites,48
binocular,48
variation,48
series,48
clips,48
PLANES,48
emailed,48
descriptions,48
Bright,48
focused,48
Calgary,48
crafts,48
stretched,48
airborne,48
tracer,48
central,48
surprising,48
BECKER,48
stange,48
seemd,48
forms,48
rounds,48
backyard,48
everytime,48
noone,48
allegedly,48
service,48
startling,47
cheap,47
Newport,47
Parkway,47
candle,47
engines,47
roundish,47
slammed,47
brushed,47
verry,47
dashed,47
Queen,47
becouse,47
chose,47
Daily,47
believed,47
telescope,47
saucers,47
mintues,47
Fernando,47
speculated,47
adjusted,47
throwing,47
HIGHER,47
driver,47
Atilde,47
hunting,47
countless,47
BARBARA,47
zigzagged,47
stretching,47
lowering,47
garage,47
court,47
Grove,47
years,47
likes,47
COUPLE,47
APPROXIMATELY,47
county,47
church,47
scale,47
pressed,47
remained,47
systems,47
moderately,47
schedule,47
aboard,47
contacts,47
dipping,47
indeed,47
angle,47
reminded,47
skyOn,47
travelling,47
actions,47
characteristic,47
husbands,47
satalite,47
approach,47
Cedar,47
